nodes_removed,lcc_size,lcc_fraction
0,92,1.0
1,91,0.9891304347826086
2,89,0.967391304347826
3,88,0.9565217391304348
4,87,0.9456521739130435
5,86,0.9347826086956522
6,85,0.9239130434782609
7,84,0.9130434782608695
8,83,0.9021739130434783
9,82,0.8913043478260869
10,81,0.8804347826086957
11,80,0.8695652173913043
12,79,0.8586956521739131
13,78,0.8478260869565217
14,77,0.8369565217391305
15,72,0.782608695652174
16,71,0.7717391304347826
17,70,0.7608695652173914
18,67,0.7282608695652174
19,66,0.717391304347826
20,64,0.6956521739130435
21,62,0.6739130434782609
22,61,0.6630434782608695
23,60,0.6521739130434783
24,59,0.6413043478260869
25,58,0.6304347826086957
26,57,0.6195652173913043
27,56,0.6086956521739131
28,42,0.45652173913043476
29,41,0.44565217391304346
30,39,0.42391304347826086
31,37,0.40217391304347827
32,35,0.3804347826086957
33,34,0.3695652173913043
34,34,0.3695652173913043
35,19,0.20652173913043478
36,15,0.16304347826086957
37,15,0.16304347826086957
38,14,0.15217391304347827
39,14,0.15217391304347827
40,14,0.15217391304347827
41,14,0.15217391304347827
42,14,0.15217391304347827
43,14,0.15217391304347827
44,14,0.15217391304347827
45,14,0.15217391304347827
46,14,0.15217391304347827
47,12,0.13043478260869565
48,10,0.10869565217391304
49,7,0.07608695652173914
50,7,0.07608695652173914
51,7,0.07608695652173914
52,7,0.07608695652173914
53,7,0.07608695652173914
54,7,0.07608695652173914
55,7,0.07608695652173914
56,6,0.06521739130434782
57,6,0.06521739130434782
58,6,0.06521739130434782
59,5,0.05434782608695652
60,5,0.05434782608695652
61,5,0.05434782608695652
62,5,0.05434782608695652
63,4,0.043478260869565216
64,4,0.043478260869565216
65,4,0.043478260869565216
66,4,0.043478260869565216
67,4,0.043478260869565216
68,4,0.043478260869565216
69,3,0.03260869565217391
70,3,0.03260869565217391
71,3,0.03260869565217391
72,2,0.021739130434782608
73,2,0.021739130434782608
74,2,0.021739130434782608
75,2,0.021739130434782608
76,1,0.010869565217391304
77,1,0.010869565217391304
78,1,0.010869565217391304
79,1,0.010869565217391304
80,1,0.010869565217391304
81,1,0.010869565217391304
82,1,0.010869565217391304
83,1,0.010869565217391304
84,1,0.010869565217391304
85,1,0.010869565217391304
86,1,0.010869565217391304
87,1,0.010869565217391304
88,1,0.010869565217391304
89,1,0.010869565217391304
90,1,0.010869565217391304
91,1,0.010869565217391304
92,0,0.0
