src,tgt,length_km
301156,308494,20.424251297064494
307512,308494,0.39712759292540445
300429,308494,8.603904388811104
301194,308494,6.582811837689344
306768,308494,8.463991451363242
307039,307274,24.74751262416218
302187,307039,8.934375026390398
304450,307039,25.797594248339
307039,307373,1.0310529343281862
300390,307039,24.534324038154146
306369,307039,19.483807108969746
306224,307039,9.946294288937098
303169,307039,18.462894453279276
306279,307039,33.88363032318888
304073,307039,32.6174603383619
307039,310179,27.563959684013774
300390,306365,2.308139134481784
301558,304040,7.200990604184929
300232,310504,13.407233176992877
302187,310504,21.829554963809926
304137,310504,29.26554635054722
306844,310504,30.1660197771851
306369,310504,31.69416612550547
306060,310504,5.287657291836277
306224,310504,24.721898483629285
303169,310504,14.630154884785442
301541,310504,8.946438720587391
308806,310504,30.879291015757257
308907,310504,9.193904128044853
306279,310504,32.02485398976168
301614,310504,4.909121804780862
302798,310504,12.55435634480924
308269,310504,4.559223924235374
308471,310504,35.0797927561384
301156,302171,9.60033160823411
300144,301156,12.939664094928432
301156,310527,29.769568966856536
301156,303099,13.520633040437959
300429,301156,14.425840133275361
301156,301194,24.317171546887643
301105,301156,10.17836989259012
301156,309663,17.12986167617045
301100,301156,22.657908089060665
301156,306768,17.86354825921084
302164,307274,20.153235887084065
302164,303540,14.078695878400397
302164,304137,7.749828037759635
302164,304450,21.179665007737302
300390,302164,19.939108787559896
300627,302164,3.8300803170730666
302164,306844,5.435676032893881
302164,303169,17.187761236450186
302164,308471,11.082744900509772
302164,310179,16.1660948161496
302164,309758,5.5944772668956455
303540,307274,11.761665442060849
304137,307274,13.175706249618448
304450,307274,4.801399211576453
300390,307274,1.1338481760312669
300627,307274,22.253220926998917
306844,307274,18.606335197586265
303169,307274,8.901593535209853
307274,308806,17.572716151236623
304073,307274,22.02097734951632
307274,308471,21.77321789161777
306450,307274,26.026565211798374
307274,310179,6.567764647251225
307274,309758,24.04049727387324
303540,304137,10.00619358247925
300627,303540,16.178680918315248
303540,306844,12.5317951889026
303169,303540,5.995296345366255
303540,308806,11.619938247689287
303540,304073,15.08729373434874
303540,308471,15.82043998807044
303540,306450,23.120268021954786
303540,310179,13.077256981191056
303540,309758,17.965957265189573
300232,302187,9.335392439572024
300232,307564,15.832067956873962
300232,306369,19.18885771187115
300232,306060,8.752595037910261
300232,306224,12.996929156243922
300232,303169,12.455972301105739
300232,306279,20.921363370753166
300232,301614,14.181820256603022
300232,304073,15.75496131517719
300232,308269,15.729870208486846
300232,306450,17.236332010545112
300105,300232,22.409045069246293
303344,305780,0.8879405096420163
302923,303344,0.44526490500477833
301108,309703,2.4766812137587855
301108,307557,0.5382851253437774
301108,302923,1.7226527421214446
301105,306694,1.8048981097046022
302187,307373,9.648898084743378
302187,306369,12.098755720122922
302187,306060,17.211518829662015
302187,306224,5.606177297300513
302187,303169,9.932253471444184
302187,306279,26.498578934342067
301614,302187,22.604142043420065
302187,304073,24.084573564235892
302187,308269,24.1521919953039
302187,306450,25.65865379736217
308367,309853,1.3509430675133267
308581,309853,5.9158361937327975
309853,310179,6.461077909715863
302297,306091,0.7245175807489578
300829,301558,11.196418456793824
301558,307512,13.715793236608182
301558,308907,21.60708441350702
300648,301558,24.58479035814086
301558,310527,13.889199678311398
301194,301558,9.340133363022073
301558,309569,25.299412282970398
301558,310199,39.35214695746267
301558,307785,17.36530127381794
309156,310204,3.555636595180627
306623,310204,11.966641988584207
300627,310204,10.442090574162261
306844,310204,6.272684598859437
301543,310204,3.5776688370912364
306444,310204,13.726650254953961
303099,310204,17.93582796459645
301637,310204,9.037071937620167
308471,310204,11.56658917421115
307832,310204,1.335214131799969
309758,310204,12.593900864814747
309553,309703,1.8585179455326415
302923,309703,2.4279567308906853
306623,309156,8.538315673038577
300627,309156,7.0137642586166296
306844,309156,8.929132767345278
301543,309156,5.148406869336892
306444,309156,11.139568414694303
301637,309156,6.44999009736051
308471,309156,14.533987161584406
309156,309758,9.16557454926911
300558,303371,43.56985398500446
300558,301517,14.896786584443797
300558,306279,29.666982563297694
300408,300558,22.16647429190498
300558,305984,28.038178616496634
300558,300648,40.18015488218747
300829,303371,13.918116006386079
303371,305984,15.724559171577859
300648,303371,6.895055279778806
300829,309569,28.364981879469948
300829,310199,42.41771655396222
300627,306623,2.587242545608471
306623,306844,11.092655448756526
301543,306623,11.93614827860425
304073,306623,5.41447110533073
301637,306623,11.59573810493397
306623,309758,6.283401000685973
300648,307512,35.03836852742275
307512,307785,21.796783814353166
304137,304450,14.20213537027169
300390,304137,12.961579150094282
304137,307564,40.89204333180913
304137,306060,25.9771530874901
303169,304137,14.732140946297486
304137,308806,4.9501125002496495
304073,304137,14.962772879870043
304137,308581,12.340352778705567
304137,308471,9.150614240630805
300105,304137,47.469020444181496
304137,310179,9.122917825388422
304137,309758,11.63708942454882
300390,304450,4.587272112052284
300627,304450,23.279650047652158
304450,306844,19.632764318239502
304450,308540,1.5617901156369678
304450,308806,18.599145271889867
304073,304450,23.04740647016956
304450,308471,22.799647012271013
304450,310179,7.594193767904467
304450,309758,25.06692639452648
306369,307373,20.19833016732273
306224,307373,10.660817347290083
303169,307373,19.17741751163226
306279,307373,34.59815338154187
304073,307373,33.33198339671489
300390,300627,22.03909382747475
300390,306844,18.3922080980621
300390,308806,17.358589051712453
300390,304073,21.806850249992152
300390,308471,21.5590907920936
300390,310179,6.353637547727057
300390,309758,23.826370174349066
303303,308471,2.8906459346997155
300627,306844,8.589923585612171
300627,303169,19.287746276365045
300627,301543,10.411596864182306
300627,301637,11.452098218253212
300627,310179,18.266079856064447
300627,309758,3.7806691375416155
306844,307564,41.792516758446986
306369,307564,34.462703110370015
306060,307564,16.723284379438653
303169,307564,26.23476518550027
