src,tgt,length_km,path_nodes_count
300105,300232,22.409045069246293,131
300105,300408,2.00122657789198,23
300105,301541,16.680345465116847,81
300105,303169,32.8117422978726,174
300105,304073,34.35725439382627,180
300105,304137,47.46902044418152,274
300105,305984,16.256469923221406,131
300105,306060,23.300261491810993,134
300105,306279,10.494794152482092,31
300105,306844,48.36949387081937,281
300105,307564,12.460011728217548,76
300105,308471,53.283266849772716,308
300105,308806,49.082765109391545,283
300144,301105,2.8642036287216768,16
300144,301156,12.93966409492843,76
300144,302171,4.001331218764706,24
300144,303099,11.793987997477313,70
300144,309843,2.5350438056779776,48
300232,301614,14.181820256603022,113
300232,302187,9.335392439572024,52
300232,303169,12.455972301105739,87
300232,304073,15.75496131517719,98
300232,306060,8.752595037910261,54
300232,306224,12.996929156243922,88
300232,306279,20.921363370753166,165
300232,306369,19.18885771187115,129
300232,306450,17.236332010545112,141
300232,307564,15.80846474443695,97
300232,308269,15.729870208486846,105
300232,310504,13.407233176992875,103
300390,300627,22.03909382747475,122
300390,302164,19.939108787559892,118
300390,304073,21.806850249992152,114
300390,304137,12.961579150094279,75
300390,304450,4.587272112052284,24
300390,306365,2.3081391344817845,11
300390,306844,18.3922080980621,102
300390,307039,24.534324038154143,149
300390,307274,1.1338481760312669,11
300390,308471,21.5590907920936,132
300390,308806,17.358589051712453,107
300390,309758,23.826370174349066,133
300390,310179,6.353637547727057,39
300408,300558,22.166474291904976,119
300408,301517,9.92143805737456,58
300408,305984,17.56906839754622,187
300429,301156,14.425840133275358,90
300429,301194,12.82785376462796,55
300429,301214,20.09717856983318,114
300429,301636,14.266221790222394,83
300429,306768,7.75030083799086,38
300429,308494,8.603904388811104,44
300429,309569,10.150559591607669,60
300429,310527,18.280251184596843,104
300493,303620,5.858053704005098,29
300493,307693,10.647782224575685,46
300558,300648,40.18015488218747,243
300558,301517,14.896786584443797,92
300558,303371,43.56985398500446,280
300558,305984,28.038178616496634,158
300558,306279,29.666982563297694,123
300558,307564,36.03466184461197,191
300627,301543,10.464070323218333,60
300627,301637,11.452098218253212,67
300627,302164,3.830080317073067,23
300627,303169,19.287746276365045,121
300627,303540,16.17868091831525,79
300627,304450,23.279650047652158,125
300627,306623,2.587242545608471,12
300627,306844,8.589923585612171,38
300627,307274,22.25322092699892,136
300627,309156,7.013764258616629,32
300627,309758,3.7806691375416155,23
300627,310179,18.266079856064447,100
300627,310204,10.442090574162263,65
300648,301194,30.662708653836624,262
300648,301541,7.155646812024084,37
300648,301558,24.58479035814086,194
300648,302798,12.082566681749908,83
300648,303371,6.895055279778804,31
300648,305984,12.334860068760891,85
300648,307512,35.095889693413795,288
300648,308907,8.747285551746723,47
300829,301558,11.196418456793829,40
300829,303371,13.91811600638608,50
300829,309569,28.364981879469948,100
300829,310199,42.41932158048181,141
301100,301105,14.254077858832288,83
301100,301156,22.657908089060655,136
301100,301543,3.985848456495828,44
301100,301637,7.836856236517017,53
301100,302171,16.007655992659426,101
301100,309553,1.4972049897866662,11
301100,309663,6.423054660181421,43
301105,301156,10.178369892590117,58
301105,302171,2.3527557364934677,15
301105,303099,8.996755714359544,55
301105,306694,1.8048981097046024,18
301105,309663,8.72603144594208,57
301108,302923,1.7226527421214446,14
301108,307557,0.5382851253437774,6
301108,309703,2.4766812137587855,22
301156,301194,24.317171546887643,146
301156,302171,9.60033160823411,57
301156,303099,13.520633040437959,70
301156,306768,17.86354825921084,119
301156,308494,20.424251297064487,151
301156,309663,17.12986167617045,110
301156,310527,29.769568966856536,195
301194,301558,9.340133363022076,85
301194,306768,12.356911701186386,54
301194,307785,15.559520013958558,117
301194,308494,6.582811837689342,28
301194,310527,6.322476692253954,56
301214,301636,18.695232068019017,117
301214,306489,0.7744134788848472,13
301214,307693,5.023777408304147,30
301214,309569,12.784533613842193,78
301214,310199,1.4959671723131,14
301541,306060,8.272321871480875,47
301541,306279,24.608273001110387,68
301541,307564,9.061500726201116,45
301541,308907,2.2970785318538356,15
301541,310504,8.94643872058739,60
301543,301637,8.237296611018087,56
301543,303099,17.136052637994368,116
301543,306444,12.92687492835188,97
301543,306623,11.988621737640278,61
301543,307832,3.3805842117715796,21
301543,309156,5.20088032837292,39
301543,309758,12.615880613870818,73
301543,310204,3.5776688370912355,23
301558,304040,7.200990604184928,60
301558,307512,13.773314402599254,111
301558,307785,17.36530127381794,136
301558,308907,21.60708441350702,182
301558,309569,25.299412282970398,91
301558,310199,39.353751983982264,132
301558,310527,13.889199678311398,93
301614,302187,22.60414204342007,156
301614,303169,15.40474196439559,98
301614,304073,10.183886991971722,56
301614,306060,7.022388201312523,53
301614,306224,25.49648556323943,200
301614,306279,33.470272396532515,252
301614,306369,32.46875320511562,234
301614,306450,6.024247763139201,44
301614,308269,2.2540592123775576,16
301614,309042,5.7691651597007185,35
301614,310504,4.909121804780864,40
301636,307693,16.253194616257005,90
301636,309569,9.34851402767476,61
301636,310199,19.30344923723744,112
301637,303099,9.515492647085974,55
301637,306444,5.306314937443488,36
301637,306623,11.59573810493397,81
301637,309156,6.449990097360507,38
301637,309758,13.603908508905695,80
301637,310204,9.037071937620166,67
301745,303099,5.563615445438121,30
301745,305885,1.316103588070376,9
301745,306444,1.5528818750879851,16
302164,303169,17.187761236450186,117
302164,303540,14.078695878400397,75
302164,304137,7.749828037759635,53
302164,304450,21.179665007737302,121
302164,306844,5.435676032893881,31
302164,307274,20.153235887084065,132
302164,308471,11.082744900509772,69
302164,309758,5.5944772668956455,27
302164,310179,16.1660948161496,96
302171,303099,8.952783745744982,52
302171,309663,10.479609579769221,75
302187,303169,9.932253471444184,76
302187,304073,24.084573564235892,147
302187,306060,17.211518829662015,108
302187,306224,5.606177297300513,40
302187,306279,26.498578934342067,199
302187,306369,12.098755720122922,70
302187,306450,25.65865379736217,184
302187,307039,8.934375026390397,57
302187,307373,9.648898084743378,57
302187,308269,24.1521919953039,148
302187,310504,21.829554963809922,146
302297,306091,0.7245175807489577,9
302798,306060,11.934602047468273,93
302798,307785,3.2209531088944976,19
302798,308907,6.0509813605311695,51
302798,310504,12.554356344809241,102
302923,303344,0.4452649050047783,4
302923,309703,2.4279567308906853,25
303099,303899,7.19221544609699,25
303099,306444,5.3908176691008105,30
303099,309663,12.913886800380833,87
303099,310204,17.935827964596445,127
303169,303540,5.995296345366254,40
303169,304073,15.24692518773338,86
303169,304137,14.73214094629748,77
303169,306060,11.319874941181222,68
303169,306224,11.445173356968478,65
303169,306279,31.099171948040315,259
303169,306450,18.459253718337685,126
303169,306844,15.640860546952382,101
303169,307039,18.46289445327929,95
303169,307274,8.901593535209855,40
303169,307373,19.177417511632267,95
303169,307564,25.982464333527158,136
303169,308269,16.95279191627941,90
303169,308471,20.546387351888665,111
303169,308806,16.34588561150752,86
303169,309758,21.075022623239356,132
303169,310504,14.630154884785442,88
303303,308471,2.8906459346997155,15
303344,305780,0.8879405096420163,5
303371,305984,15.724559171577859,122
303540,304073,15.08729373434874,69
303540,304137,10.00619358247925,48
303540,306450,23.120268021954786,150
303540,306844,12.5317951889026,59
303540,307274,11.761665442060856,55
303540,308471,15.82043998807044,82
303540,308806,11.619938247689287,57
303540,309758,17.965957265189573,90
303540,310179,13.077256981191056,64
303620,308991,4.811090326998902,56
303620,309843,14.334136241013793,51
303899,308206,2.9529403900572664,24
304073,304137,14.962772879870037,76
304073,304450,23.047406470169552,117
304073,306060,12.83109927540137,75
304073,306224,25.59973924205111,140
304073,306279,36.03155108848005,237
304073,306369,34.04189426368977,219
304073,306450,9.107122188524091,60
304073,306623,5.414471105330731,30
304073,306844,15.8632463065079,83
304073,307039,32.617460338361916,170
304073,307274,22.02097734951632,128
304073,307373,33.33198339671489,170
304073,307564,27.527976429480823,142
304073,308471,20.777019285461222,110
304073,308806,16.57651754508007,85
304073,309042,13.077451018279895,74
304073,310179,18.03383627858184,92
304137,304450,14.20213537027169,78
304137,306060,25.9771530874901,168
304137,307274,13.17570624961845,89
304137,307564,40.63974247983604,236
304137,308471,9.150614240630805,53
304137,308581,12.340352778705567,74
304137,308806,4.9501125002496495,28
304137,309758,11.63708942454882,68
304137,310179,9.122917825388422,64
304137,310504,29.265546350547243,187
304450,306844,19.632764318239502,105
304450,307039,25.797594248339,147
304450,307274,4.801399211576452,38
304450,308471,22.799647012271013,135
304450,308540,1.5617901156369678,5
304450,308806,18.599145271889867,110
304450,309758,25.06692639452648,136
304450,310179,7.594193767904467,42
305984,307564,9.085979455269072,38
306060,306224,20.103862349481375,152
306060,306279,27.168488599117985,197
306060,306369,27.07612999135757,186
306060,306450,10.303216621058972,71
306060,306844,26.87762651412797,175
306060,307564,16.470983527465552,96
306060,308269,7.610294323330248,39
306060,308471,31.79139949308128,202
306060,308806,27.590897752700133,177
306060,308907,8.57114989972729,49
306060,310504,5.287657291836278,37
306224,306279,31.549801704801755,265
306224,306450,28.550997317181547,228
306224,307039,9.946294288937104,52
306224,307373,10.660817347290084,52
306224,308269,27.044535515123275,192
306224,310504,24.721898483629296,190
306279,306369,28.916114965836872,228
306279,306450,36.52478415047461,280
306279,307039,33.88363032318889,259
306279,307373,34.59815338154186,259
306279,307564,20.40168477311998,60
306279,308269,34.34749102125566,240
306279,310504,32.02485398976168,238
306369,306450,35.523264959057705,262
306369,307039,19.483807108969728,130
306369,307373,20.198330167322705,130
306369,307564,34.43909989793299,246
306369,308269,34.016803156999444,226
306369,310504,31.694166125505465,224
306444,308786,0.5803725849260367,6
306444,309156,11.139568414694303,79
306444,310204,13.72665025495396,108
306450,307274,26.026565211798378,150
306450,308269,7.364916606289871,95
306450,309042,6.872776533812243,88
306489,307693,5.242457067691311,24
306489,310199,0.8929586450584633,3
306623,306844,11.092655448756526,48
306623,309156,8.538315673038575,33
306623,309758,6.283401000685973,33
306623,310204,11.966641988584207,66
306768,308206,3.1081007962903637,14
306768,308494,8.463991451363238,59
306768,310527,17.80930912115527,103
306844,307274,18.606335197586272,116
306844,307564,41.54021590647389,243
306844,308806,1.3958202934805441,11
306844,309156,8.92913276734528,41
306844,309758,6.868222611780003,32
306844,310204,6.292780964195217,28
306844,310504,30.166019777185102,194
307039,307274,24.74751262416218,157
307039,307373,1.0310529343281862,6
307039,310179,27.563959684013774,162
307274,308471,21.77321789161777,146
307274,308806,17.572716151236623,121
307274,309758,24.04049727387324,147
307274,310179,6.567764647251225,53
307512,307785,21.796783814353166,172
307512,308494,0.39712759292540445,4
307557,307832,2.1350342993647904,12
307564,308471,46.45398888542723,270
307564,308806,42.253487145046066,245
307693,309569,11.760583185328045,79
307693,310199,4.6847154676214755,18
307785,310527,18.768709595661626,139
307832,310204,1.335214131799969,10
308269,309042,3.957598812737236,31
308269,310504,4.559223924235375,31
308367,309853,1.3509430675133267,11
308471,308581,20.62324288588192,113
308471,308806,5.13489034441339,30
308471,309156,14.225015768873972,79
308471,310179,17.40580793256477,103
308471,310204,11.451195697168579,67
308471,310504,35.079792756138424,221
308581,308806,16.42274114550076,88
308581,309758,23.117498761153847,124
308581,309853,5.915836193732798,61
308581,310179,3.811039680969933,17
308786,309663,16.2686845632156,137
308806,310179,13.205306192183606,78
308806,310504,30.879291015757275,196
308907,310504,9.193904128044853,59
309042,310527,3.3845904441578427,20
309156,309758,9.16557454926911,45
309156,310204,3.575732960516406,17
309553,309703,1.858517945532641,18
309758,310179,19.900063807836702,114
309758,310204,12.593900864814739,78
309853,310179,6.461077909715863,60
