length_bin_km,n_edges,share_edges
0-1,5,0.015723270440251572
1-2,19,0.059748427672955975
2-5,33,0.10377358490566038
5-10,64,0.20125786163522014
10-20,101,0.31761006289308175
20-50,87,0.27358490566037735
50-100,9,0.02830188679245283
100-200,0,0.0
200+,0,0.0
