id,name,city,kv,lines,degree,max_link,gt20,gt25
302297,TRISONIC,EL SEGUNDO,66,1,1,0.7245175807489578,0,0
308991,STATION T,LOS ANGELES,230,3,1,4.811090326998903,0,0
308540,LONG BEACH,LONG BEACH,230,4,1,1.5617901156369678,0,0
308367,FUEL,LONG BEACH,230,1,1,1.3509430675133267,0,0
303303,HUGHTRON,TORRANCE,66,1,1,2.8906459346997155,0,0
306694,COLORADO,SANTA MONICA,66,2,1,1.8048981097046024,0,0
304040,ARROYO,LA CA?ADA FLINTRIDGE,66,1,1,7.200990604184929,0,0
306365,ARCOGEN,CARSON,230,2,1,2.308139134481784,0,0
305780,THERMAS,EL SEGUNDO,66,0,1,0.8879405096420163,0,0
306091,DOUGLAS,EL SEGUNDO,66,1,1,0.7245175807489578,0,0
305885,LA BREA,VIEW PARK-WINDSOR HILLS,138,8,1,1.3161035880703758,0,0
