u,u_name,u_kv,u_lines,v,v_name,v_kv,v_lines,length_km
304073,STATION B (CENTURY),230,8,307274,CAMERON,69,1,22.02097734951632
302187,DEL AMO,230,10,310504,BANDINI,66,2,21.82955496380993
300390,HINSON,230,7,304073,STATION B (CENTURY),230,8,21.806850249992152
307512,GRAYSON,230,2,307785,WABASH,69,4,21.79678381435317
307274,CAMERON,69,1,308471,TORRANCE,66,2,21.77321789161777
301558,EAGLE ROCK,230,9,308907,NEWMARK,66,3,21.60708441350702
300390,HINSON,230,7,308471,TORRANCE,66,2,21.5590907920936
302164,BRIGHTON,115,2,304450,HARBORGEN,230,4,21.179665007737302
303169,LIGHTPIPE,230,9,309758,YUKON,66,5,21.07502262323936
300232,CENTER,230,7,306279,OLINDA,230,10,20.921363370753166
304073,STATION B (CENTURY),230,8,308471,TORRANCE,66,2,20.777019285461225
308471,TORRANCE,66,2,308581,STATION Q (HARBOR),138,3,20.623242885881904
303169,LIGHTPIPE,230,9,308471,TORRANCE,66,2,20.546387351888665
301156,BEVERLY,66,4,308494,AIRWAY,230,6,20.42425129706449
306279,OLINDA,230,10,307564,JOSE,66,0,20.40168477311998
306369,LA MIRADA,66,1,307373,HAYNES,230,6,20.19833016732273
302164,BRIGHTON,115,2,307274,CAMERON,69,1,20.153235887084065
306060,LAGUNA BELL,230,12,306224,LAKEWOOD,66,2,20.10386234948137
300429,STATION E (TOLUCA),500,15,301214,OLIVE,230,2,20.097178569833183
300390,HINSON,230,7,302164,BRIGHTON,115,2,19.939108787559896
309758,YUKON,66,5,310179,WILMINGTON (STATION C),138,8,19.90006380783669
304450,HARBORGEN,230,4,306844,LA FRESA,230,12,19.632764318239506
306369,LA MIRADA,66,1,307039,ALAMITOS,230,7,19.483807108969746
301636,SAN FERNANDO,66,1,310199,SYLMAR WEST,230,11,19.30344923723744
300627,IMPERIAL TERMINAL TOWER,138,4,303169,LIGHTPIPE,230,9,19.287746276365045
300232,CENTER,230,7,306369,LA MIRADA,66,1,19.18885771187115
303169,LIGHTPIPE,230,9,307373,HAYNES,230,6,19.17741751163226
307785,WABASH,69,4,310527,STATION A (ST. JOHN),230,5,18.768709595661623
301214,OLIVE,230,2,301636,SAN FERNANDO,66,1,18.695232068019017
306844,LA FRESA,230,12,307274,CAMERON,69,1,18.606335197586265
304450,HARBORGEN,230,4,308806,MOBILOIL,66,3,18.599145271889867
303169,LIGHTPIPE,230,9,307039,ALAMITOS,230,7,18.46289445327928
303169,LIGHTPIPE,230,9,306450,VERNON,66,3,18.459253718337685
300390,HINSON,230,7,306844,LA FRESA,230,12,18.3922080980621
300429,STATION E (TOLUCA),500,15,310527,STATION A (ST. JOHN),230,5,18.28025118459684
300627,IMPERIAL TERMINAL TOWER,138,4,310179,WILMINGTON (STATION C),138,8,18.266079856064447
304073,STATION B (CENTURY),230,8,310179,WILMINGTON (STATION C),138,8,18.03383627858184
303540,CARSON,66,1,309758,YUKON,66,5,17.965957265189573
303099,STATION D (FAIRFAX),138,8,310204,EL NIDO,230,7,17.93582796459645
301156,BEVERLY,66,4,306768,UNKNOWN306768,230,0,17.86354825921084
306768,UNKNOWN306768,230,0,310527,STATION A (ST. JOHN),230,5,17.809309121155266
307274,CAMERON,69,1,308806,MOBILOIL,66,3,17.572716151236623
300408,PUENTE,66,5,305984,RIO HONDO,230,8,17.56906839754622
308471,TORRANCE,66,2,310179,WILMINGTON (STATION C),138,8,17.40580793256477
301558,EAGLE ROCK,230,9,307785,WABASH,69,4,17.36530127381794
300390,HINSON,230,7,308806,MOBILOIL,66,3,17.358589051712453
300232,CENTER,230,7,306450,VERNON,66,3,17.236332010545112
302187,DEL AMO,230,10,306060,LAGUNA BELL,230,12,17.211518829662015
302164,BRIGHTON,115,2,303169,LIGHTPIPE,230,9,17.187761236450186
301543,SEPLUVEDA,66,0,303099,STATION D (FAIRFAX),138,8,17.136052637994368
301156,BEVERLY,66,4,309663,TAHITI,230,1,17.12986167617045
303169,LIGHTPIPE,230,9,308269,STATION F (VELASCO & KINETIC),230,7,16.95279191627941
300105,WALNUT,230,5,301541,MESA,230,9,16.680345465116837
304073,STATION B (CENTURY),230,8,308806,MOBILOIL,66,3,16.576517545080087
306060,LAGUNA BELL,230,12,307564,JOSE,66,0,16.470983527465545
308581,STATION Q (HARBOR),138,3,308806,MOBILOIL,66,3,16.422741145500755
303169,LIGHTPIPE,230,9,308806,MOBILOIL,66,3,16.34588561150752
308786,LA CIENEGA,230,3,309663,TAHITI,230,1,16.2686845632156
300105,WALNUT,230,5,305984,RIO HONDO,230,8,16.256469923221406
301636,SAN FERNANDO,66,1,307693,RINALDI,500,16,16.253194616256998
300627,IMPERIAL TERMINAL TOWER,138,4,303540,CARSON,66,1,16.178680918315248
302164,BRIGHTON,115,2,310179,WILMINGTON (STATION C),138,8,16.1660948161496
301100,UNKNOWN301100,230,1,302171,SAWTELLE,66,2,16.00765599265942
304073,STATION B (CENTURY),230,8,306844,LA FRESA,230,12,15.863246306507913
303540,CARSON,66,1,308471,TORRANCE,66,2,15.82043998807044
300232,CENTER,230,7,307564,JOSE,66,0,15.80846474443695
300232,CENTER,230,7,304073,STATION B (CENTURY),230,8,15.75496131517719
300232,CENTER,230,7,308269,STATION F (VELASCO & KINETIC),230,7,15.729870208486846
303371,GOODRICH,230,5,305984,RIO HONDO,230,8,15.72455917157786
