src,src_name,tgt,tgt_name,length_km,near_substation_id,near_substation_name,distance_to_path_px
301489,BULLIS,308216,ROLLING HILLS,29.76,303303,HUGHTRON,16.601328260112208
301489,BULLIS,308216,ROLLING HILLS,29.76,303169,LIGHTPIPE,20.936714164357312
301489,BULLIS,308216,ROLLING HILLS,29.76,303540,CARSON,21.093861166923
301489,BULLIS,308471,TORRANCE,22.19,308806,MOBILOIL,4.599999999999966
301489,BULLIS,308471,TORRANCE,22.19,304137,HALLDALE,13.243419938955734
301489,BULLIS,308471,TORRANCE,22.19,306844,LA FRESA,14.888982503851663
301489,BULLIS,308471,TORRANCE,22.19,303169,LIGHTPIPE,20.936714164357312
301489,BULLIS,308471,TORRANCE,22.19,303540,CARSON,21.093861166923
301489,BULLIS,308471,TORRANCE,22.19,303303,HUGHTRON,23.216937537095355
301489,BULLIS,308471,TORRANCE,22.19,308216,ROLLING HILLS,29.07824788394231
301489,BULLIS,308471,TORRANCE,22.19,305084,VICTORIA,49.82277892691257
301489,BULLIS,309758,YUKON,22.7,302164,BRIGHTON,11.891450710489417
301489,BULLIS,309758,YUKON,22.7,306844,LA FRESA,17.764292837036873
301489,BULLIS,309758,YUKON,22.7,303169,LIGHTPIPE,20.936714164357312
301489,BULLIS,309758,YUKON,22.7,303540,CARSON,21.093861166923
301489,BULLIS,309758,YUKON,22.7,300627,IMPERIAL TERMINAL TOWER,23.20996768631956
301489,BULLIS,309758,YUKON,22.7,308806,MOBILOIL,24.319673106355715
301489,BULLIS,309758,YUKON,22.7,304137,HALLDALE,28.400251199213134
301489,BULLIS,309758,YUKON,22.7,309156,FELTON,32.21319605379138
300105,WALNUT,301489,BULLIS,33.88,307564,JOSE,8.485499943607051
300105,WALNUT,301489,BULLIS,33.88,306060,LAGUNA BELL,19.170964723997454
300105,WALNUT,301489,BULLIS,33.88,300408,PUENTE,22.50843043116218
300105,WALNUT,301489,BULLIS,33.88,301541,MESA,38.07788991002527
300105,WALNUT,301489,BULLIS,33.88,303169,LIGHTPIPE,44.25953569571196
300105,WALNUT,301489,BULLIS,33.88,303540,CARSON,45.83780644838933
300105,WALNUT,301489,BULLIS,33.88,300232,CENTER,54.84130874418283
300105,WALNUT,301489,BULLIS,33.88,310504,BANDINI,57.72180584861767
301489,BULLIS,305984,RIO HONDO,35.46,307564,JOSE,0.4945647009172698
301489,BULLIS,305984,RIO HONDO,35.46,306060,LAGUNA BELL,19.170964723997454
301489,BULLIS,305984,RIO HONDO,35.46,301541,MESA,38.07788991002527
301489,BULLIS,305984,RIO HONDO,35.46,303169,LIGHTPIPE,44.25953569571196
301489,BULLIS,305984,RIO HONDO,35.46,303540,CARSON,45.83780644838933
301489,BULLIS,305984,RIO HONDO,35.46,300232,CENTER,54.84130874418283
301489,BULLIS,305984,RIO HONDO,35.46,310504,BANDINI,57.72180584861767
301489,BULLIS,305984,RIO HONDO,35.46,308907,NEWMARK,61.478357980674815
301489,BULLIS,306279,OLINDA,34.19,300232,CENTER,32.81168540477554
301489,BULLIS,306279,OLINDA,34.19,303169,LIGHTPIPE,32.97987999438194
301489,BULLIS,306279,OLINDA,34.19,306369,LA MIRADA,35.33048167930473
