src,tgt,length_km,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m
300105,306369,39.312458469078386,306279,OLINDA,114.7944424666183,10416.588451149435
300105,310504,25.558090079575827,301541,MESA,233.78623432412041,16710.322168207957
300144,300429,24.96433012287862,301156,BEVERLY,245.9532031166341,10821.568727382759
300144,301194,34.85566153649089,301156,BEVERLY,245.9532031166341,10821.568727382759
300144,308494,30.96274128666773,301156,BEVERLY,245.9532031166341,10821.568727382759
300144,309042,43.674889242924,310527,STATION A (ST. JOHN),168.56063250182225,40256.46896910813
300144,310527,40.3080589564598,301156,BEVERLY,245.9532031166341,10821.568727382759
300232,300408,24.107178926023543,300105,WALNUT,247.560498613121,22276.010689399434
300232,305984,24.22119522593189,307564,JOSE,43.330792141920675,15146.528198208327
300390,303169,10.005077258339742,307274,CAMERON,5.407243247752024,1104.4356897056148
300390,303540,12.86514916519074,307274,CAMERON,5.407243247752024,1104.4356897056148
300390,306450,27.130048934928265,307274,CAMERON,5.407243247752024,1104.4356897056148
300390,308540,6.114239116206833,304450,HARBORGEN,92.64880905457912,4565.204412447797
300408,301541,18.378479321894087,300105,WALNUT,247.560498613121,1831.1682366241057
300408,303169,34.509876154649845,300105,WALNUT,247.560498613121,1831.1682366241057
300408,304073,36.05538825060351,300105,WALNUT,247.560498613121,1831.1682366241057
300408,304137,49.16715430095878,300105,WALNUT,247.560498613121,1831.1682366241057
300408,306060,24.998395348588236,300105,WALNUT,247.560498613121,1831.1682366241057
300408,306844,50.06762772759663,300105,WALNUT,247.560498613121,1831.1682366241057
300408,307564,14.158145584994788,300105,WALNUT,247.560498613121,1831.1682366241057
300408,308471,54.98140070654998,300105,WALNUT,247.560498613121,1831.1682366241057
300408,308806,50.78089896616881,300105,WALNUT,247.560498613121,1831.1682366241057
300408,310504,27.256223936353067,301541,MESA,233.78623432412041,18408.456024985197
300429,301100,34.68257411701084,301156,BEVERLY,245.9532031166341,14142.761395495865
300429,301105,22.203035920540312,301156,BEVERLY,245.9532031166341,14142.761395495865
300429,302171,21.624997636184304,301156,BEVERLY,245.9532031166341,14142.761395495865
300429,307693,17.36870914341035,301636,SAN FERNANDO,171.65626216075583,14389.090311746484
300429,309042,21.647081471061064,310527,STATION A (ST. JOHN),168.56063250182225,18228.661197245172
300429,309663,29.154527704120625,301156,BEVERLY,245.9532031166341,14142.761395495865
300429,309843,27.484450779612605,300144,STATION 11,17.930268039182533,24949.986274310966
300429,310199,20.4406369861926,301636,SAN FERNANDO,171.65626216075583,14389.090311746484
300558,300829,57.38486651064409,303371,GOODRICH,64.3142625731781,43505.63260384526
300627,302297,9.781264420835805,306091,DOUGLAS,255.89397057221652,9748.561515766074
300627,306091,9.606554741608422,302297,TRISONIC,212.75626097453238,9435.109560865405
300627,306365,24.186562564435174,300390,HINSON,127.45723735120436,22030.867525496895
300627,307557,13.392326919521652,310204,EL NIDO,191.06278975995133,10251.089919713122
300627,308540,24.82933104181415,304450,HARBORGEN,92.64880905457912,23280.296338055112
300648,300829,20.710067805418422,303371,GOODRICH,64.3142625731781,6830.833898619609
300829,301541,27.786013377378822,300648,ROSEMEAD,57.16190098559964,20668.227101386372
300829,305984,29.539571697217472,303371,GOODRICH,64.3142625731781,13879.233906798807
300829,308907,29.377652117101462,300648,ROSEMEAD,57.16190098559964,20668.227101386372
