nodes_removed,lcc_size,lcc_fraction
0,92,1.0
1,91,0.9891304347826086
2,83,0.9021739130434783
3,82,0.8913043478260869
4,80,0.8695652173913043
5,80,0.8695652173913043
6,79,0.8586956521739131
7,78,0.8478260869565217
8,77,0.8369565217391305
9,75,0.8152173913043478
10,74,0.8043478260869565
11,73,0.7934782608695652
12,72,0.782608695652174
13,71,0.7717391304347826
14,67,0.7282608695652174
15,65,0.7065217391304348
16,63,0.6847826086956522
17,58,0.6304347826086957
18,57,0.6195652173913043
19,56,0.6086956521739131
20,55,0.5978260869565217
21,45,0.4891304347826087
22,40,0.43478260869565216
23,39,0.42391304347826086
24,38,0.41304347826086957
25,38,0.41304347826086957
26,37,0.40217391304347827
27,36,0.391304347826087
28,35,0.3804347826086957
29,32,0.34782608695652173
30,31,0.33695652173913043
31,31,0.33695652173913043
32,30,0.32608695652173914
33,30,0.32608695652173914
34,28,0.30434782608695654
35,28,0.30434782608695654
36,28,0.30434782608695654
37,28,0.30434782608695654
38,27,0.29347826086956524
39,23,0.25
40,23,0.25
41,23,0.25
42,22,0.2391304347826087
43,22,0.2391304347826087
44,21,0.22826086956521738
45,19,0.20652173913043478
46,19,0.20652173913043478
47,17,0.18478260869565216
48,14,0.15217391304347827
49,14,0.15217391304347827
50,13,0.14130434782608695
51,13,0.14130434782608695
52,12,0.13043478260869565
53,11,0.11956521739130435
54,11,0.11956521739130435
55,7,0.07608695652173914
56,7,0.07608695652173914
57,7,0.07608695652173914
58,4,0.043478260869565216
59,4,0.043478260869565216
60,4,0.043478260869565216
61,3,0.03260869565217391
62,3,0.03260869565217391
63,3,0.03260869565217391
64,3,0.03260869565217391
65,3,0.03260869565217391
66,3,0.03260869565217391
67,3,0.03260869565217391
68,3,0.03260869565217391
69,3,0.03260869565217391
70,3,0.03260869565217391
71,2,0.021739130434782608
72,2,0.021739130434782608
73,2,0.021739130434782608
74,2,0.021739130434782608
75,2,0.021739130434782608
76,1,0.010869565217391304
77,1,0.010869565217391304
78,1,0.010869565217391304
79,1,0.010869565217391304
80,1,0.010869565217391304
81,1,0.010869565217391304
82,1,0.010869565217391304
83,1,0.010869565217391304
84,1,0.010869565217391304
85,1,0.010869565217391304
86,1,0.010869565217391304
87,1,0.010869565217391304
88,1,0.010869565217391304
89,1,0.010869565217391304
90,1,0.010869565217391304
91,1,0.010869565217391304
92,0,0.0
