substation_id,degree,NAME,CITY,Owner,MAX_VOLT,LINES,role_key,role_text,is_source,source_role_score,MAX_VOLT_N,LINES_N,is_role_hub,is_voltage_hub,is_line_hub,hub_evidence_count,sanity_flag,threshold
301100,6,UNKNOWN301100,LOS ANGELES,LADWP,230,1,transit,transit transit_hub_not_source,False,0.6,230,1,True,True,False,2,ok,le_20km
309569,6,STATION M(VALLEY),LOS ANGELES,LADWP,230,7,core,core in_basin_generation_proxy,True,1.0,230,7,True,True,True,3,ok,le_20km
306091,6,DOUGLAS,EL SEGUNDO,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_20km
300648,6,ROSEMEAD,ROSEMEAD,SCE,66,4,,,,,66,4,False,False,False,0,ok,le_20km
301194,6,STATION G (ATWATER),LOS ANGELES,LADWP,230,8,,,,,230,8,False,True,True,2,ok,le_20km
301541,6,MESA,MONTEREY PARK,SCE,230,9,core,core import_interface_proxy,True,1.0,230,9,True,True,True,3,ok,le_20km
301745,6,WINDSOR HILLS,VIEW PARK-WINDSOR HILLS,SCE,66,0,transit,transit transit_hub_not_source,False,0.6,66,0,True,False,False,1,ok,le_20km
305984,6,RIO HONDO,IRWINDALE,SCE,230,8,core,core import_interface_proxy,True,1.0,230,8,True,True,True,3,ok,le_20km
306844,15,LA FRESA,TORRANCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_25km
303169,15,LIGHTPIPE,LONG BEACH,SCE,230,9,transit,transit transit_hub_not_source,False,0.6,230,9,True,True,True,3,ok,le_25km
302164,14,BRIGHTON,GARDENA,SCE,115,2,,,,,115,2,False,False,False,0,ok,le_25km
310179,14,WILMINGTON (STATION C),LOS ANGELES,LADWP,138,8,transit,transit transit_hub_not_source,False,0.6,138,8,True,True,True,3,ok,le_25km
303540,13,CARSON,COMPTON,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_25km
300390,12,HINSON,LONG BEACH,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_25km
308471,12,TORRANCE,TORRANCE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_25km
304450,11,HARBORGEN,LOS ANGELES,SCE,230,4,core,core in_basin_generation_proxy,True,1.0,230,4,True,True,False,2,ok,le_25km
304137,11,HALLDALE,LOS ANGELES,LADWP,138,3,,,,,138,3,False,True,False,1,ok,le_25km
309758,11,YUKON,HAWTHORNE,SCE,66,5,,,,,66,5,False,False,False,0,ok,le_25km
306060,11,LAGUNA BELL,COMMERCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_25km
309156,10,FELTON,DEL AIRE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_25km
300232,10,CENTER,NORWALK,SCE,230,7,,,,,230,7,False,True,True,2,ok,le_25km
300429,9,STATION E (TOLUCA),LOS ANGELES,LADWP,500,15,transit,transit transit_hub_not_source,False,0.6,500,15,True,True,True,3,ok,le_25km
308806,9,MOBILOIL,TORRANCE,SCE,66,3,,,,,66,3,False,False,False,0,ok,le_25km
301105,9,STATION K (OLYMPIC),LOS ANGELES,LADWP,230,8,transit,transit transit_hub_not_source,False,0.6,230,8,True,True,True,3,ok,le_25km
301543,9,SEPLUVEDA,EL SEGUNDO,SCE,66,0,,,,,66,0,False,False,False,0,ok,le_25km
310204,8,EL NIDO,HAWTHORNE,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_25km
301637,8,STATION N (AIRPORT),LOS ANGELES,LADWP,138,4,,,,,138,4,False,True,False,1,ok,le_25km
302187,8,DEL AMO,CERRITOS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_25km
301614,8,PULPGEN,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_25km
306450,7,VERNON,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_25km
300648,7,ROSEMEAD,ROSEMEAD,SCE,66,4,,,,,66,4,False,False,False,0,ok,le_25km
302297,7,TRISONIC,EL SEGUNDO,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_25km
308786,7,LA CIENEGA,LADERA HEIGHTS,SCE,230,3,transit,transit transit_hub_not_source,False,0.6,230,3,True,True,False,2,ok,le_25km
301558,7,EAGLE ROCK,GLENDALE,SCE,230,9,,,,,230,9,False,True,True,2,ok,le_25km
308907,7,NEWMARK,MONTEREY PARK,SCE,66,3,transit,transit transit_hub_not_source,False,0.6,66,3,True,False,False,1,ok,le_25km
309569,6,STATION M(VALLEY),LOS ANGELES,LADWP,230,7,core,core in_basin_generation_proxy,True,1.0,230,7,True,True,True,3,ok,le_25km
301194,6,STATION G (ATWATER),LOS ANGELES,LADWP,230,8,,,,,230,8,False,True,True,2,ok,le_25km
310504,6,BANDINI,VERNON,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_25km
303169,15,LIGHTPIPE,LONG BEACH,SCE,230,9,transit,transit transit_hub_not_source,False,0.6,230,9,True,True,True,3,ok,le_30km
310179,15,WILMINGTON (STATION C),LOS ANGELES,LADWP,138,8,transit,transit transit_hub_not_source,False,0.6,138,8,True,True,True,3,ok,le_30km
306844,15,LA FRESA,TORRANCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_30km
302164,14,BRIGHTON,GARDENA,SCE,115,2,,,,,115,2,False,False,False,0,ok,le_30km
303540,14,CARSON,COMPTON,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_30km
306060,14,LAGUNA BELL,COMMERCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_30km
304450,13,HARBORGEN,LOS ANGELES,SCE,230,4,core,core in_basin_generation_proxy,True,1.0,230,4,True,True,False,2,ok,le_30km
300390,12,HINSON,LONG BEACH,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_30km
300232,12,CENTER,NORWALK,SCE,230,7,,,,,230,7,False,True,True,2,ok,le_30km
304137,12,HALLDALE,LOS ANGELES,LADWP,138,3,,,,,138,3,False,True,False,1,ok,le_30km
309758,12,YUKON,HAWTHORNE,SCE,66,5,,,,,66,5,False,False,False,0,ok,le_30km
308471,12,TORRANCE,TORRANCE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_30km
300429,10,STATION E (TOLUCA),LOS ANGELES,LADWP,500,15,transit,transit transit_hub_not_source,False,0.6,500,15,True,True,True,3,ok,le_30km
309156,10,FELTON,DEL AIRE,SCE,66,2,,,,,66,2,False,False,False,0,ok,le_30km
302187,9,DEL AMO,CERRITOS,SCE,230,10,transit,transit transit_hub_not_source,False,0.6,230,10,True,True,True,3,ok,le_30km
301614,9,PULPGEN,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_30km
308806,9,MOBILOIL,TORRANCE,SCE,66,3,,,,,66,3,False,False,False,0,ok,le_30km
301543,9,SEPLUVEDA,EL SEGUNDO,SCE,66,0,,,,,66,0,False,False,False,0,ok,le_30km
301105,9,STATION K (OLYMPIC),LOS ANGELES,LADWP,230,8,transit,transit transit_hub_not_source,False,0.6,230,8,True,True,True,3,ok,le_30km
306450,8,VERNON,VERNON,Other,66,3,,,,,66,3,False,False,False,0,ok,le_30km
308786,8,LA CIENEGA,LADERA HEIGHTS,SCE,230,3,transit,transit transit_hub_not_source,False,0.6,230,3,True,True,False,2,ok,le_30km
301558,8,EAGLE ROCK,GLENDALE,SCE,230,9,,,,,230,9,False,True,True,2,ok,le_30km
310204,8,EL NIDO,HAWTHORNE,SCE,230,7,transit,transit transit_hub_not_source,False,0.6,230,7,True,True,True,3,ok,le_30km
301637,8,STATION N (AIRPORT),LOS ANGELES,LADWP,138,4,,,,,138,4,False,True,False,1,ok,le_30km
308907,7,NEWMARK,MONTEREY PARK,SCE,66,3,transit,transit transit_hub_not_source,False,0.6,66,3,True,False,False,1,ok,le_30km
307039,7,ALAMITOS,LONG BEACH,SCE,230,7,core,core in_basin_generation_proxy,True,1.0,230,7,True,True,True,3,ok,le_30km
302297,7,TRISONIC,EL SEGUNDO,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_30km
300648,7,ROSEMEAD,ROSEMEAD,SCE,66,4,,,,,66,4,False,False,False,0,ok,le_30km
305984,7,RIO HONDO,IRWINDALE,SCE,230,8,core,core import_interface_proxy,True,1.0,230,8,True,True,True,3,ok,le_30km
309663,6,TAHITI,MARINA DEL REY,SCE,230,1,,,,,230,1,False,True,False,1,ok,le_30km
302164,16,BRIGHTON,GARDENA,SCE,115,2,,,,,115,2,False,False,False,0,ok,le_35km
303169,16,LIGHTPIPE,LONG BEACH,SCE,230,9,transit,transit transit_hub_not_source,False,0.6,230,9,True,True,True,3,ok,le_35km
306844,16,LA FRESA,TORRANCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_35km
300232,15,CENTER,NORWALK,SCE,230,7,,,,,230,7,False,True,True,2,ok,le_35km
310179,15,WILMINGTON (STATION C),LOS ANGELES,LADWP,138,8,transit,transit transit_hub_not_source,False,0.6,138,8,True,True,True,3,ok,le_35km
304137,15,HALLDALE,LOS ANGELES,LADWP,138,3,,,,,138,3,False,True,False,1,ok,le_35km
303540,14,CARSON,COMPTON,SCE,66,1,,,,,66,1,False,False,False,0,ok,le_35km
306060,14,LAGUNA BELL,COMMERCE,SCE,230,12,transit,transit transit_hub_not_source,False,0.6,230,12,True,True,True,3,ok,le_35km
