tolerance_m,line_count_before,line_count_after,split_lines,cut_points,unique_substations_cut,min_distance_m,median_distance_m,max_distance_m,cuts_gt100m,cuts_gt150m,cuts_gt200m,cuts_gt250m
100,1952,1977,22,25,14,5.445418194737013,58.517797212606595,97.60218781349676,0,0,0,0
150,1952,1985,27,33,17,5.445418194737013,78.07272994288898,141.50773728875205,8,0,0,0
200,1952,1997,39,45,22,5.445418194737013,92.60372883138697,193.82472608510398,20,12,0,0
225,1952,1999,41,47,23,5.445418194737013,94.79847007720538,218.5563504808197,22,14,2,0
250,1952,2003,45,51,26,5.445418194737013,102.68069760772475,247.5653535474383,26,18,6,0
275,1952,2009,51,57,29,5.445418194737013,109.55107876754866,272.526766582125,32,24,12,6
300,1952,2011,53,59,31,5.445418194737013,112.07546694972302,291.5501543301971,34,26,14,8
