nodes_removed,lcc_size,lcc_fraction
0,92,1.0
1,91,0.9891304347826086
2,90,0.9782608695652174
3,89,0.967391304347826
4,88,0.9565217391304348
5,86,0.9347826086956522
6,85,0.9239130434782609
7,84,0.9130434782608695
8,83,0.9021739130434783
9,82,0.8913043478260869
10,81,0.8804347826086957
11,80,0.8695652173913043
12,79,0.8586956521739131
13,78,0.8478260869565217
14,77,0.8369565217391305
15,75,0.8152173913043478
16,74,0.8043478260869565
17,73,0.7934782608695652
18,68,0.7391304347826086
19,66,0.717391304347826
20,63,0.6847826086956522
21,62,0.6739130434782609
22,49,0.532608695652174
23,48,0.5217391304347826
24,45,0.4891304347826087
25,44,0.4782608695652174
26,43,0.4673913043478261
27,42,0.45652173913043476
28,42,0.45652173913043476
29,42,0.45652173913043476
30,42,0.45652173913043476
31,42,0.45652173913043476
32,41,0.44565217391304346
33,40,0.43478260869565216
34,40,0.43478260869565216
35,40,0.43478260869565216
36,40,0.43478260869565216
37,39,0.42391304347826086
38,38,0.41304347826086957
39,37,0.40217391304347827
40,30,0.32608695652173914
41,29,0.31521739130434784
42,29,0.31521739130434784
43,28,0.30434782608695654
44,28,0.30434782608695654
45,27,0.29347826086956524
46,24,0.2608695652173913
47,23,0.25
48,13,0.14130434782608695
49,12,0.13043478260869565
50,12,0.13043478260869565
51,12,0.13043478260869565
52,12,0.13043478260869565
53,11,0.11956521739130435
54,9,0.09782608695652174
55,9,0.09782608695652174
56,9,0.09782608695652174
57,9,0.09782608695652174
58,9,0.09782608695652174
59,8,0.08695652173913043
60,7,0.07608695652173914
61,7,0.07608695652173914
62,7,0.07608695652173914
63,7,0.07608695652173914
64,7,0.07608695652173914
65,7,0.07608695652173914
66,7,0.07608695652173914
67,7,0.07608695652173914
68,7,0.07608695652173914
69,7,0.07608695652173914
70,7,0.07608695652173914
71,7,0.07608695652173914
72,7,0.07608695652173914
73,7,0.07608695652173914
74,6,0.06521739130434782
75,6,0.06521739130434782
76,6,0.06521739130434782
77,6,0.06521739130434782
78,6,0.06521739130434782
79,6,0.06521739130434782
80,6,0.06521739130434782
81,6,0.06521739130434782
82,6,0.06521739130434782
83,6,0.06521739130434782
84,6,0.06521739130434782
85,5,0.05434782608695652
86,3,0.03260869565217391
87,1,0.010869565217391304
88,1,0.010869565217391304
89,1,0.010869565217391304
90,1,0.010869565217391304
91,1,0.010869565217391304
92,0,0.0
