HIFLD_ID,degree,NAME,LINES,max_link_km,links_gt20km,links_gt25km,mean_link_km
304073,24,STATION B (CENTURY),8,36.03155108848006,12,7,20.724344579116124
303169,23,LIGHTPIPE,9,32.81174229787261,5,3,17.09102290260259
306060,20,LAGUNA BELL,12,31.79139949308128,8,6,16.773676057350112
308471,18,TORRANCE,2,53.28326684977264,10,4,21.213800445031396
306844,17,LA FRESA,12,48.36949387081934,4,4,17.42498690758357
306279,17,OLINDA,10,36.52478415047461,16,13,28.95329355083162
309758,17,YUKON,5,25.06692639452648,5,1,14.651090293527588
304137,16,HALLDALE,3,47.469020444181496,4,4,17.39643158424806
310504,16,BANDINI,2,35.0797927561384,8,6,19.321825858650417
308806,15,MOBILOIL,3,49.0827651093915,4,4,19.265873558522582
307274,15,CAMERON,1,26.02656521179837,7,1,16.235750385041456
300627,15,IMPERIAL TERMINAL TOWER,4,23.27965004765216,3,0,12.616378348919476
307564,14,JOSE,0,46.45398888542723,9,8,27.011447276931882
310179,14,WILMINGTON (STATION C),8,27.56395968401377,1,1,13.109216923395909
300105,13,WALNUT,5,53.28326684977264,8,6,28.382745951834693
306450,13,VERNON,3,36.52478415047461,6,5,19.290184530733566
302187,13,DEL AMO,10,26.498578934342067,6,2,16.738082012900726
304450,13,HARBORGEN,4,25.797594248339,6,2,16.319199180635902
300390,13,HINSON,7,24.534324038154143,5,0,15.138470087675756
300232,13,CENTER,7,22.409045069246293,2,0,15.24452590761112
310204,13,EL NIDO,7,17.93582796459645,0,0,8.441679536226385
306369,12,LA MIRADA,1,35.523264959057705,9,8,27.42883143948183
301614,12,PULPGEN,3,33.47027239653252,4,3,14.98242371354907
306224,12,LAKEWOOD,2,31.549801704801755,7,5,19.476892635187323
303540,12,CARSON,1,23.120268021954782,1,0,13.936956799497374
303099,12,STATION D (FAIRFAX),8,17.93582796459645,0,0,11.280442987027099
301543,12,SEPLUVEDA,0,17.136052637994368,0,0,8.023175904976219
302297,12,TRISONIC,1,16.45324673561183,0,0,7.665071655605434
308269,11,STATION F (VELASCO & KINETIC),7,34.34749102125566,4,3,16.180888790219893
307039,11,ALAMITOS,7,33.88363032318888,6,4,20.636627733465872
301156,11,BEVERLY,4,29.769568966856536,4,1,17.529740782246964
302164,11,BRIGHTON,2,21.179665007737302,2,0,12.945215288046677
301558,10,EAGLE ROCK,9,39.35375198398226,4,2,18.361039681732997
309156,10,FELTON,2,14.225015768873972,0,0,7.87560492440781
301637,10,STATION N (AIRPORT),4,13.603908508905697,0,0,9.058925800777367
300648,9,ROSEMEAD,4,40.18015488218747,4,3,19.748773109071024
306623,9,GRAMERCY,6,11.988621737640278,0,0,8.97476704887072
301194,8,STATION G (ATWATER),8,30.662708653836624,2,1,14.746198446682818
300429,8,STATION E (TOLUCA),15,20.097178569833183,1,0,13.300263782620672
306444,8,STANHILL,0,13.72665025495396,0,0,7.858443711315977
300558,7,GANESHA,5,43.56985398500446,6,5,30.650441823992427
307373,7,HAYNES,6,34.59815338154187,3,2,18.378093260510486
310527,7,STATION A (ST. JOHN),5,29.769568966856536,1,1,15.460586526141922
301541,7,MESA,9,24.608273001110387,1,0,11.003086446910645
301100,7,UNKNOWN301100,1,22.657908089060665,1,0,10.380372326219042
301105,7,STATION K (OLYMPIC),8,14.25407785883228,0,0,7.025298912377681
310199,6,SYLMAR WEST,11,42.41932158048181,2,2,18.025027347782423
309569,6,STATION M(VALLEY),7,28.364981879469948,2,2,16.284764096815504
305984,6,RIO HONDO,8,28.038178616496637,1,1,16.501519272145348
308581,6,STATION Q (HARBOR),3,23.117498761153847,2,0,13.705118574324134
308907,6,NEWMARK,3,21.60708441350702,1,0,9.41124731423515
301214,6,OLIVE,2,20.097178569833183,1,0,9.811850385199415
306768,6,UNKNOWN306768,0,17.86354825921084,0,0,11.225360361199494
309663,6,TAHITI,1,17.12986167617045,0,0,11.990188120943268
307693,6,RINALDI,16,16.253194616256998,0,0,8.935418328296278
302171,6,SAWTELLE,2,16.00765599265942,0,0,8.565744646944317
307785,5,WABASH,4,21.79678381435317,1,0,15.342253561337156
308494,5,AIRWAY,6,20.42425129706449,1,0,8.894417313570717
301636,5,SAN FERNANDO,1,19.30344923723744,0,0,15.573322347882122
309042,5,RIVER,9,13.077451018279897,0,0,6.612316393737588
300144,5,STATION 11,1,12.939664094928432,0,0,6.826846149114021
302798,5,REPETTO,2,12.55435634480924,0,0,9.16869190869062
307557,5,ROSECRANS,1,6.12097647134209,0,0,3.329769438484908
303371,4,GOODRICH,5,43.56985398500446,1,1,20.0268961106868
300829,4,GOULD,2,42.41932158048181,2,2,23.974709480782913
307512,4,GRAYSON,2,35.09588969341382,2,1,17.76577887582291
300408,4,PUENTE,5,22.16647429190498,1,0,12.914551831179436
307832,4,UNKNOWN307832,0,4.628491278429972,0,0,2.869830980341578
303344,4,CHEVGEN,2,3.258742776924915,0,0,1.821728578112423
309703,4,EL SEGUNDO,2,2.6949661208779827,0,0,2.3645305027650236
303620,3,TARZANA(STATION U),7,14.334136241013791,0,0,8.334426757339264
309853,3,DOCK,2,6.461077909715863,0,0,4.575952390320663
301745,3,WINDSOR HILLS,0,5.563615445438121,0,0,2.81086696953216
306489,3,SYLMAR EAST,1,5.242457067691309,0,0,2.30327639721154
309553,3,STATION L (SCATTERGOOD),2,3.258742776924915,0,0,2.2048219040814074
301108,3,CHEVMAIN,5,2.476681213758785,0,0,1.5792063604080022
302923,3,UNKNOWN302923,1,2.4279567308906853,0,0,1.5319581260056359
308786,2,LA CIENEGA,3,16.2686845632156,0,0,8.424528574070818
301517,2,NOGALES,0,14.896786584443795,0,0,12.409112320909177
309843,2,KENTER CANYON,2,14.334136241013791,0,0,8.434590023345883
300493,2,STATION J,4,10.647782224575687,0,0,8.252917964290393
303899,2,STATION H (HOLLYWOOD),4,7.19221544609699,0,0,5.072577918077128
308206,2,NICHOLS CANYON,3,3.108100796290364,0,0,3.0305205931738155
304040,1,ARROYO,1,7.200990604184929,0,0,7.200990604184929
308991,1,STATION T,3,4.811090326998903,0,0,4.811090326998903
303303,1,HUGHTRON,1,2.8906459346997155,0,0,2.8906459346997155
306365,1,ARCOGEN,2,2.308139134481784,0,0,2.308139134481784
306694,1,COLORADO,2,1.8048981097046024,0,0,1.8048981097046024
308540,1,LONG BEACH,4,1.5617901156369678,0,0,1.5617901156369678
308367,1,FUEL,1,1.3509430675133267,0,0,1.3509430675133267
305885,1,LA BREA,8,1.3161035880703758,0,0,1.3161035880703758
305780,1,THERMAS,0,0.8879405096420163,0,0,0.8879405096420163
306091,1,DOUGLAS,1,0.7245175807489578,0,0,0.7245175807489578
