secondary_tolerance_m,primary_snap_endpoints,secondary_snap_endpoints,secondary_rejected_endpoints,outside_secondary_tolerance_endpoints,other_endpoint_rows,secondary_unique_substations,secondary_max_distance_m,secondary_median_distance_m,lines_after_merge,lines_after_split,split_cut_points,physical_nodes,physical_edges,physical_components,physical_largest_component,physical_second_component,registered_substations_within100m,substations_over50m_to_graph,substations_over100m_to_graph,max_substation_to_graph_dist_m
300,456,112,11,3325,0,38,296.4226845241529,208.2153693365589,1952,1977,25,64634,66895,41,63348,451,93,1,0,80.91052821446081
375,456,135,17,3296,0,44,362.54563799561,220.46264746545944,1952,1977,25,64629,66895,39,63385,451,93,1,0,80.91052821446081
