src,tgt,length_km,path_nodes_count,decision,blocker_tolerance_m,debug_search_radius_m,nearest_internal_substation_id,nearest_internal_substation_name,nearest_internal_distance_to_path_m,nearest_internal_distance_along_path_m,path_length_km,within_blocker_tolerance
301156,308494,20.424251297064494,151,accepted,300.0,1000.0,307512,GRAYSON,339.5939889748625,77.33555105302494,20.424251297064494,False
307512,308494,0.39712759292540445,4,accepted,300.0,1000.0,,,,,0.39712759292540445,False
308494,309843,33.48286194340174,259,blocked_by_near_substation,300.0,1000.0,300144,STATION 11,17.930268039182533,30948.3974381001,33.48286194340174,True
302171,308494,27.623408799973436,195,blocked_by_near_substation,300.0,1000.0,301156,BEVERLY,245.9532031166341,20141.172559284998,27.623408799973436,True
300144,308494,30.962741286667754,214,blocked_by_near_substation,300.0,1000.0,301156,BEVERLY,245.9532031166341,20141.172559284998,30.962741286667754,True
300429,308494,8.603904388811104,44,accepted,300.0,1000.0,307512,GRAYSON,339.5939889748625,77.33555105302494,8.603904388811104,False
301194,308494,6.582811837689344,28,accepted,300.0,1000.0,307512,GRAYSON,302.49848797839854,517.2786859999949,6.582811837689344,False
301105,308494,28.201447084329445,196,blocked_by_near_substation,300.0,1000.0,301156,BEVERLY,245.9532031166341,20141.172559284998,28.201447084329445,True
306768,308494,8.463991451363242,59,accepted,300.0,1000.0,307512,GRAYSON,339.5939889748625,77.33555105302494,8.463991451363242,False
306365,307039,26.684057398032753,153,blocked_by_near_substation,300.0,1000.0,300390,HINSON,127.45723735120436,24528.362359094477,26.684057398032753,True
307039,307274,24.74751262416218,157,accepted,300.0,1000.0,300390,HINSON,371.5600951153317,24403.12123732706,24.74751262416218,False
302187,307039,8.934375026390398,57,accepted,300.0,1000.0,,,,,8.934375026390398,False
304450,307039,25.797594248339,147,accepted,300.0,1000.0,,,,,25.797594248339,False
307039,307373,1.0310529343281862,6,accepted,300.0,1000.0,,,,,1.0310529343281862,False
300390,307039,24.534324038154146,149,accepted,300.0,1000.0,,,,,24.534324038154146,False
306369,307039,19.483807108969746,130,accepted,300.0,1000.0,,,,,19.483807108969746,False
306224,307039,9.946294288937098,52,accepted,300.0,1000.0,,,,,9.946294288937098,False
303169,307039,18.462894453279276,95,accepted,300.0,1000.0,302187,DEL AMO,621.250627807325,8627.40827867307,18.462894453279276,False
307039,308540,27.29071200355553,150,blocked_by_near_substation,300.0,1000.0,304450,HARBORGEN,92.64880905457912,25741.67729979649,27.29071200355553,True
306279,307039,33.88363032318888,259,accepted,300.0,1000.0,,,,,33.88363032318888,False
304073,307039,32.6174603383619,170,accepted,300.0,1000.0,302187,DEL AMO,621.250627807325,8627.40827867307,32.6174603383619,False
307039,310179,27.563959684013774,162,accepted,300.0,1000.0,,,,,27.563959684013774,False
302164,306365,22.08657752452031,126,blocked_by_near_substation,300.0,1000.0,300390,HINSON,127.45723735120436,2155.6950389382805,22.08657752452031,True
304137,306365,15.109047887054698,83,blocked_by_near_substation,300.0,1000.0,300390,HINSON,127.45723735120436,2155.6950389382805,15.109047887054698,True
304450,306365,6.73474084901271,32,blocked_by_near_substation,300.0,1000.0,300390,HINSON,127.45723735120436,2155.6950389382805,6.73474084901271,True
