substation_id,degree,betweenness_centrality,closeness_centrality,impact_centrality,impact_population
300144,17,0.004782445902400085,0.532608695652174,0.0008249828082685607,0.01276829647168024
300429,22,0.005674624810818573,0.5697674418604651,0.0008184906716309939,0.024008947381978108
300493,2,0.0036426382738667107,0.3712121212121212,0.1969835310523799,0.0341434334830706
300589,27,0.03368727878100252,0.6621621621621622,0.0020164583519411607,0.04151688959945596
300601,11,0.00504793595142848,0.4666666666666667,0.0,0.005650558021322526
300704,18,0.05238194534111257,0.5632183908045977,0.00029025454807564394,0.008748767700128755
301100,11,0.020101689974555317,0.49,0.0,0.00522068530852268
301105,18,0.006074121828668961,0.5384615384615384,0.0008477303031827839,0.018953962270493924
301194,29,0.046625269322793206,0.6901408450704225,0.0023255822590108628,0.01774105909750734
301332,27,0.03368727878100252,0.6621621621621622,0.0020164583519496305,0.01769829560641946
301555,3,0.0,0.3769230769230769,0.0,0.00312986298470458
301636,25,0.00831168847466795,0.5975609756097561,0.001310500027646119,0.028061724580894072
301637,8,0.004966954905211874,0.4375,0.0,0.011793945616950616
303099,10,0.062220632736100276,0.494949494949495,0.1999599557121381,0.045588341208006665
303265,6,9.448223733938019e-05,0.3983739837398374,0.0,0.018772219612008454
303487,20,0.004739795750989513,0.5568181818181818,0.0008124445571592916,0.02310057125622177
303620,3,0.0427764724310777,0.3712121212121212,0.9999999999999625,0.08062562268384163
303776,11,0.04229408951111608,0.5051546391752577,1.0000000000000009,0.03991584059935566
303858,10,0.0014777629805038225,0.5,0.0,0.0175792088618696
303899,2,0.00436178334943104,0.34507042253521125,0.0,0.034542770329352886
304073,5,0.0016502696381465037,0.4666666666666667,0.0,0.04527751923804175
304137,9,0.000607385811467444,0.4083333333333333,0.0,0.0057020779647654314
304217,25,0.00831168847466795,0.5975609756097561,0.001310500027648354,0.05031339500237537
304450,26,0.0732048004139357,0.6363636363636364,0.0016191696847794787,0.0010811053546831558
305021,17,0.004782445902400085,0.532608695652174,0.0008249828082551503,0.012464839999136465
305781,1,0.0,0.33793103448275863,0.0,0.02007771920284524
306012,25,0.02483905133981158,0.5833333333333334,0.0017419484040817252,0.05641346082457867
306063,3,0.0,0.3769230769230769,0.0,0.0036669733725060417
306152,21,0.008400670969617281,0.5568181818181818,0.0,0.018727795201807212
306489,20,0.007843461974908287,0.5444444444444444,0.0,0.0069661135529371235
306623,12,0.02203495026153278,0.5212765957446809,0.0,0.03271358025581443
306691,19,0.005067362312397146,0.5384615384615384,0.0,0.007152860553879028
306768,19,0.041538631722238054,0.5268817204301075,0.23120774902770425,0.014292991543857379
307693,19,0.04407033843485362,0.550561797752809,0.4259090013321151,0.013872191784485644
307800,23,0.01670483992697021,0.5764705882352941,0.0013427004278558513,0.024203085431019858
308206,2,0.006072271512658195,0.3656716417910448,0.0,0.01741585437377021
308269,25,0.044987773214087805,0.6282051282051282,0.0009824071625191982,0.01840677931823047
308325,12,0.016159227325251366,0.494949494949495,0.0,0.026570209311336534
308581,21,0.10795498690140669,0.5833333333333334,0.0021503703212326065,0.012250101865990841
308991,1,0.0,0.2722222222222222,0.0,0.04577788779757423
309042,29,0.04628096712791941,0.6901408450704225,0.002230472096070892,0.03414584510287005
309284,12,0.0100297268229498,0.4803921568627451,0.0,0.004373529010816365
309553,6,0.0,0.3951612903225806,0.0,0.003358895940766182
309569,26,0.019265138298295643,0.6049382716049383,0.00131110907913127,0.02330022676165308
309722,7,0.0,0.4016393442622951,0.0,0.0036309592064043272
309843,18,0.0804809059099512,0.550561797752809,0.5699131425528539,0.008437060377388242
310179,16,0.04158982622337746,0.5444444444444444,0.001946045141326794,0.008789616263820034
310199,19,0.005067362312397146,0.5384615384615384,0.0,0.006116928505372568
310442,25,0.00831168847466795,0.5975609756097561,0.0013105000276658816,0.02582437875058733
310527,29,0.046625269322793206,0.6901408450704225,0.002325582259009451,0.024970622457320613
