src,src_name,tgt,tgt_name,length_km,path_nodes_count,near_other_substations_le_3px,near_other_substations_le_5px,near_other_substations_le_8px,near_other_substations_le_12px,nearest_other_1,nearest_other_2,nearest_other_3
304731,REDONDO,310504,BANDINI,36.79,238,2,2,2,3,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),303169 LIGHTPIPE (10.88px)
304731,REDONDO,306060,LAGUNA BELL,33.5,219,2,2,2,3,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),303169 LIGHTPIPE (10.88px)
301489,BULLIS,308216,ROLLING HILLS,29.76,208,2,2,2,3,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304731 REDONDO (10.20px)
305084,VICTORIA,306268,WESTEX,29.64,173,1,2,2,2,308806 MOBILOIL (1.67px),303169 LIGHTPIPE (3.30px),304137 HALLDALE (13.24px)
306268,WESTEX,308471,TORRANCE,29.63,169,0,2,2,2,303169 LIGHTPIPE (3.30px),308806 MOBILOIL (4.60px),304137 HALLDALE (13.24px)
304073,STATION B (CENTURY),308216,ROLLING HILLS,28.34,179,2,2,2,3,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304731 REDONDO (10.20px)
303169,LIGHTPIPE,308216,ROLLING HILLS,28.11,180,2,2,2,3,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304731 REDONDO (10.20px)
301489,BULLIS,304731,REDONDO,23.9,156,2,2,2,2,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304137 HALLDALE (13.24px)
303540,CARSON,308216,ROLLING HILLS,23.38,151,2,2,2,3,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304731 REDONDO (10.20px)
308216,ROLLING HILLS,308540,LONG BEACH,22.83,152,2,2,2,3,304450 HARBORGEN (1.16px),308367 FUEL (2.03px),306365 ARCOGEN (11.54px)
304450,HARBORGEN,305084,VICTORIA,22.8,139,1,1,2,3,308806 MOBILOIL (1.67px),304137 HALLDALE (7.00px),306365 ARCOGEN (11.54px)
304450,HARBORGEN,308471,TORRANCE,22.8,135,0,1,2,3,308806 MOBILOIL (4.60px),304137 HALLDALE (7.00px),306365 ARCOGEN (11.54px)
304073,STATION B (CENTURY),304731,REDONDO,22.49,127,2,2,2,2,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304137 HALLDALE (13.24px)
303169,LIGHTPIPE,304731,REDONDO,22.26,128,2,2,2,2,308806 MOBILOIL (1.67px),305084 VICTORIA (2.38px),304137 HALLDALE (13.24px)
306365,ARCOGEN,308216,ROLLING HILLS,22.18,153,1,1,2,2,300390 HINSON (1.59px),307274 CAMERON (7.49px),310179 WILMINGTON (STATION C) (12.68px)
301637,STATION N (AIRPORT),308471,TORRANCE,20.48,136,1,1,2,2,310204 EL NIDO (2.11px),309156 FELTON (5.68px),305084 VICTORIA (12.45px)
300105,WALNUT,305084,VICTORIA,53.29,312,1,1,1,3,308806 MOBILOIL (1.67px),307564 JOSE (8.49px),303169 LIGHTPIPE (10.88px)
300105,WALNUT,308471,TORRANCE,53.28,308,0,1,1,3,308806 MOBILOIL (4.60px),307564 JOSE (8.49px),303169 LIGHTPIPE (10.88px)
305084,VICTORIA,307564,JOSE,46.46,273,1,1,1,2,308806 MOBILOIL (1.67px),303169 LIGHTPIPE (10.88px),304137 HALLDALE (13.24px)
307564,JOSE,308471,TORRANCE,46.45,269,0,1,1,2,308806 MOBILOIL (4.60px),303169 LIGHTPIPE (10.88px),304137 HALLDALE (13.24px)
300105,WALNUT,306268,WESTEX,41.85,244,0,0,1,2,303169 LIGHTPIPE (6.63px),307564 JOSE (8.49px),306060 LAGUNA BELL (19.17px)
307039,ALAMITOS,308216,ROLLING HILLS,41.25,268,0,0,1,3,306268 WESTEX (5.56px),307373 HAYNES (10.95px),306365 ARCOGEN (11.54px)
306268,WESTEX,306279,OLINDA,39.08,310,0,0,1,1,303169 LIGHTPIPE (6.69px),300232 CENTER (32.81px),306369 LA MIRADA (35.33px)
300408,PUENTE,301489,BULLIS,35.58,211,1,1,1,2,300105 WALNUT (2.80px),307564 JOSE (8.49px),306060 LAGUNA BELL (19.17px)
301489,BULLIS,305984,RIO HONDO,35.46,178,1,1,1,1,307564 JOSE (0.49px),306060 LAGUNA BELL (19.17px),301541 MESA (38.08px)
305084,VICTORIA,310504,BANDINI,35.08,225,1,1,1,2,308806 MOBILOIL (1.67px),303169 LIGHTPIPE (10.88px),304137 HALLDALE (13.24px)
308471,TORRANCE,310504,BANDINI,35.08,221,0,1,1,2,308806 MOBILOIL (4.60px),303169 LIGHTPIPE (10.88px),304137 HALLDALE (13.24px)
306268,WESTEX,307564,JOSE,35.02,205,0,0,1,1,303169 LIGHTPIPE (6.63px),306060 LAGUNA BELL (19.17px),301541 MESA (38.08px)
305084,VICTORIA,306060,LAGUNA BELL,31.8,206,1,1,1,2,308806 MOBILOIL (1.67px),303169 LIGHTPIPE (10.88px),304137 HALLDALE (13.24px)
306060,LAGUNA BELL,308471,TORRANCE,31.79,202,0,1,1,2,308806 MOBILOIL (4.60px),303169 LIGHTPIPE (10.88px),304137 HALLDALE (13.24px)
306268,WESTEX,309758,YUKON,30.16,190,0,1,1,2,303169 LIGHTPIPE (3.30px),302164 BRIGHTON (11.89px),306844 LA FRESA (17.76px)
300627,IMPERIAL TERMINAL TOWER,306268,WESTEX,28.37,179,0,1,1,1,303169 LIGHTPIPE (3.30px),303540 CARSON (20.74px),301489 BULLIS (23.75px)
306268,WESTEX,306450,VERNON,27.54,192,0,0,1,1,303169 LIGHTPIPE (6.63px),301614 PULPGEN (16.01px),308269 STATION F (VELASCO & KINETIC) (28.08px)
302164,BRIGHTON,306268,WESTEX,26.27,175,0,1,1,1,303169 LIGHTPIPE (3.30px),303540 CARSON (20.74px),301489 BULLIS (23.75px)
306268,WESTEX,308269,STATION F (VELASCO & KINETIC),26.03,156,0,0,1,2,303169 LIGHTPIPE (6.63px),310504 BANDINI (10.53px),301614 PULPGEN (12.74px)
306268,WESTEX,308806,MOBILOIL,25.43,144,0,1,1,1,303169 LIGHTPIPE (3.30px),304137 HALLDALE (13.24px),306844 LA FRESA (14.12px)
306268,WESTEX,306844,LA FRESA,24.73,159,0,1,1,1,303169 LIGHTPIPE (3.30px),308806 MOBILOIL (15.45px),303540 CARSON (20.74px)
301614,PULPGEN,306268,WESTEX,24.49,164,0,0,1,1,303169 LIGHTPIPE (6.63px),306450 VERNON (15.20px),308269 STATION F (VELASCO & KINETIC) (21.51px)
304073,STATION B (CENTURY),306268,WESTEX,24.34,153,0,0,1,1,303169 LIGHTPIPE (6.63px),301489 BULLIS (26.63px),307274 CAMERON (47.82px)
306268,WESTEX,310504,BANDINI,23.71,154,0,0,1,1,303169 LIGHTPIPE (6.63px),306060 LAGUNA BELL (23.70px),301614 PULPGEN (29.16px)
301489,BULLIS,305084,VICTORIA,22.2,143,1,1,1,1,308806 MOBILOIL (1.67px),304137 HALLDALE (13.24px),306844 LA FRESA (13.78px)
301489,BULLIS,308471,TORRANCE,22.19,139,0,1,1,1,308806 MOBILOIL (4.60px),304137 HALLDALE (13.24px),306844 LA FRESA (14.89px)
304073,STATION B (CENTURY),305084,VICTORIA,20.78,114,1,1,1,1,308806 MOBILOIL (1.67px),304137 HALLDALE (13.24px),306844 LA FRESA (13.78px)
304073,STATION B (CENTURY),308471,TORRANCE,20.78,110,0,1,1,1,308806 MOBILOIL (4.60px),304137 HALLDALE (13.24px),306844 LA FRESA (14.89px)
303169,LIGHTPIPE,305084,VICTORIA,20.55,115,1,1,1,1,308806 MOBILOIL (1.67px),304137 HALLDALE (13.24px),306844 LA FRESA (13.78px)
303169,LIGHTPIPE,308471,TORRANCE,20.55,111,0,1,1,1,308806 MOBILOIL (4.60px),304137 HALLDALE (13.24px),306844 LA FRESA (14.89px)
300232,CENTER,306268,WESTEX,20.43,138,0,0,1,1,303169 LIGHTPIPE (6.69px),307274 CAMERON (47.82px),306224 LAKEWOOD (49.98px)
306060,LAGUNA BELL,306268,WESTEX,20.36,138,0,0,1,1,303169 LIGHTPIPE (6.63px),301489 BULLIS (38.38px),310504 BANDINI (39.71px)
307274,CAMERON,308216,ROLLING HILLS,20.25,158,0,1,1,2,300390 HINSON (4.43px),306365 ARCOGEN (11.54px),310179 WILMINGTON (STATION C) (12.68px)
300390,HINSON,308216,ROLLING HILLS,20.04,145,0,0,1,2,307274 CAMERON (6.18px),306365 ARCOGEN (11.54px),310179 WILMINGTON (STATION C) (12.68px)
301489,BULLIS,306279,OLINDA,34.19,279,0,0,0,0,300232 CENTER (32.81px),303169 LIGHTPIPE (32.98px),306369 LA MIRADA (35.33px)
300105,WALNUT,301489,BULLIS,33.88,191,0,0,0,1,307564 JOSE (8.49px),306060 LAGUNA BELL (19.17px),300408 PUENTE (22.51px)
306268,WESTEX,308216,ROLLING HILLS,29.94,202,0,0,0,1,306365 ARCOGEN (11.54px),310179 WILMINGTON (STATION C) (12.68px),303303 HUGHTRON (14.63px)
306268,WESTEX,306369,LA MIRADA,28.29,188,0,0,0,0,307039 ALAMITOS (22.63px),302187 DEL AMO (29.08px),307373 HAYNES (33.56px)
301489,BULLIS,307564,JOSE,27.05,152,0,0,0,0,306060 LAGUNA BELL (19.17px),301541 MESA (38.08px),303169 LIGHTPIPE (44.26px)
304137,HALLDALE,306268,WESTEX,22.86,132,0,0,0,1,306365 ARCOGEN (11.54px),310179 WILMINGTON (STATION C) (12.72px),300390 HINSON (17.50px)
301489,BULLIS,309758,YUKON,22.7,141,0,0,0,1,302164 BRIGHTON (11.89px),306844 LA FRESA (17.76px),303169 LIGHTPIPE (20.94px)
304450,HARBORGEN,308216,ROLLING HILLS,21.28,148,0,0,0,1,306365 ARCOGEN (11.54px),310179 WILMINGTON (STATION C) (12.68px),303303 HUGHTRON (14.63px)
