line_row_index,line_part_index,endpoint_type,original_x,original_y,repaired_x,repaired_y,repair_type,cluster_id,nearest_substation_id,nearest_substation_name,nearest_distance_m,second_nearest_substation_id,second_nearest_distance_m,snap_decision_reason,endpoint_key
0,0,start,188081.39683214555,-462168.2471368569,188081.39683214555,-462168.2471368569,none,,306369,LA MIRADA,7098.503914067965,302187,11999.625503200845,outside_secondary_tolerance,0:0:start
0,0,end,187401.92161907104,-464328.9898977657,187401.92161907104,-464328.9898977657,none,,306369,LA MIRADA,8579.374545310155,302187,11700.571532045193,outside_secondary_tolerance,0:0:end
1,0,start,191736.23796295116,-464269.00857151765,191736.23796295116,-464269.00857151765,none,,306369,LA MIRADA,11123.474655459599,306279,14227.610636159437,outside_secondary_tolerance,1:0:start
1,0,end,194517.06338103843,-465057.61200751923,194517.06338103843,-465057.61200751923,none,,306369,LA MIRADA,13747.34429453776,306279,15211.097427129025,outside_secondary_tolerance,1:0:end
2,0,start,193393.02766506036,-460851.7466930398,193393.02766506036,-460851.7466930398,none,,306369,LA MIRADA,10603.204436188633,306279,10887.645073308415,outside_secondary_tolerance,2:0:start
2,0,end,193485.36726702988,-460985.36129284743,193485.36726702988,-460985.36129284743,none,,306369,LA MIRADA,10741.721301426134,306279,11031.773003948372,outside_secondary_tolerance,2:0:end
3,0,start,193831.41060938613,-460977.1556977974,193831.41060938613,-460977.1556977974,none,,306369,LA MIRADA,11055.248772961466,306279,11073.497590750108,outside_secondary_tolerance,3:0:start
3,0,end,194651.3056946815,-464706.6536225602,194651.3056946815,-464706.6536225602,none,,306369,LA MIRADA,13641.956016270202,306279,14887.55199546186,outside_secondary_tolerance,3:0:end
4,0,start,194188.0220643942,-463241.5865238146,194188.0220643942,-463241.5865238146,none,,306369,LA MIRADA,12431.483398701515,306279,13365.82247250287,outside_secondary_tolerance,4:0:start
4,0,end,194607.6181155445,-464729.80712118046,194607.6181155445,-464729.80712118046,none,,306369,LA MIRADA,13620.654813547291,306279,14902.842600603042,outside_secondary_tolerance,4:0:end
5,0,start,194198.35248869142,-463369.469290419,194198.35248869142,-463369.469290419,none,,306369,LA MIRADA,12508.968763315353,306279,13493.727409984183,outside_secondary_tolerance,5:0:start
5,0,end,194605.51137943493,-464661.83365909476,194605.51137943493,-464661.83365909476,none,,306369,LA MIRADA,13578.492376905708,306279,14835.508475803945,outside_secondary_tolerance,5:0:end
6,0,start,193361.08319459937,-462772.80349312676,193361.08319459937,-462772.80349312676,none,,306369,LA MIRADA,11482.098135466902,306279,12793.256273046714,outside_secondary_tolerance,6:0:start
