line_row_index,substation_id,substation_name,distance_to_line_m,distance_along_line_m,line_length_m,cut_x,cut_y
73,301614,PULPGEN,109.55107876754866,10289.523259472046,12422.11250774237,165616.39337898028,-444828.9612022153
75,301745,WINDSOR HILLS,52.68301495894283,728.7782739214935,3135.0335465650105,151538.35652134955,-445333.7851728685
76,301745,WINDSOR HILLS,70.67156429555502,2417.6645891511575,3130.5256119166634,151525.3604393623,-445346.3172403369
90,306768,UNKNOWN306768,80.93798804720586,3648.464894118174,6756.596142681393,153327.1808426333,-431039.48031121615
105,301214,OLIVE,141.50773728875205,221.88211729103364,1346.7899808225475,139799.6040904738,-410226.88091933925
105,306489,SYLMAR EAST,112.07546694972302,327.2309009791838,1346.7899808225475,139706.49219738363,-410276.16115462326
120,301214,OLIVE,84.31404286333452,208.38550039340322,669.6505003208301,139785.96445943892,-410324.83483648393
121,301214,OLIVE,97.60218781349676,196.6549213076475,649.0645460207943,139776.98602514807,-410311.4737288286
153,307564,JOSE,43.32880375725121,26873.5126519215,66127.65413925555,182287.96764402709,-440115.81858412665
163,300144,STATION 11,12.904446006506632,2534.1662726413474,5397.469021650169,140703.378003333,-439372.5810715934
171,300144,STATION 11,17.904433880921665,2534.614852983764,5397.198947038757,140706.80963688923,-439368.94462141773
177,300144,STATION 11,7.904476193494372,2535.0839297871184,5399.330579235853,140699.9463794559,-439376.2175060692
179,305885,LA BREA,52.690774229650664,4282.859431988803,5075.3404984056415,151639.97329903653,-446055.77747299743
180,305885,LA BREA,57.238602773648125,4272.402779171976,5071.342015864364,151644.5211240459,-446055.83424183715
181,305885,LA BREA,86.30524327719495,828.1297843837352,9316.620549196688,151673.57238381417,-446057.4316341506
182,305885,LA BREA,80.21476785994018,818.0180945961889,9307.11370968111,151667.4831753639,-446057.3070121633
338,307274,CAMERON,35.93001463954053,8822.184629427244,10102.191987174656,165100.73382722223,-464674.40137047047
339,307274,CAMERON,11.928115851534237,8844.383572097935,9597.588512232596,165081.873313312,-464659.5562398818
346,307274,CAMERON,5.445418194737013,1104.5423464282026,8437.545222543555,165068.1820074106,-464648.8611156325
354,304450,HARBORGEN,92.60372883138697,2864.133085070113,4413.148542509463,164309.35327234378,-469146.38899144914
379,301108,CHEVMAIN,58.517797212606595,428.046005569523,2910.756077277125,147806.9074294356,-455772.02491581347
391,300648,ROSEMEAD,57.20781611223575,7801.532215666619,28937.611097293462,176973.24589108265,-434156.29851131706
391,303371,GOODRICH,64.32594778210647,14590.546236837312,28937.611097293462,176353.50887560303,-427607.3155014781
391,300829,GOULD,83.57918123977252,28434.745221605488,28937.611097293462,167002.21113669558,-420071.61970025534
436,306444,STANHILL,78.07272994288898,503.80149508633144,19281.23018691664,150255.41509084238,-444902.5850852458
436,305885,LA BREA,139.71996037829302,2748.993793304116,19281.23018691664,151562.02173248227,-446193.2193060955
436,309156,FELTON,94.79847007720538,11663.11573015946,19281.23018691664,151557.63709618652,-454226.72049285984
437,306444,STANHILL,78.07272994288898,502.24229545846583,14331.713823459497,150255.41509084238,-444902.5850852458
457,300648,ROSEMEAD,103.81895691141345,7757.52259787913,28489.41989639172,177019.83228369075,-434154.778453438
457,303371,GOODRICH,102.68069760772475,14539.817486694903,28489.41989639172,176391.81522485742,-427610.90727554046
1523,308540,LONG BEACH,120.86800666702915,313.2345462257416,370.37813679547475,164364.88223180102,-470733.2876710049
1936,300648,ROSEMEAD,103.81896104498712,7257.547034276098,14141.047857115052,177019.83228764887,-434154.77844815486
1941,300829,GOULD,15.040960449567473,14116.842360719993,44367.574907770206,167017.25353820765,-419999.51747766556
