substation_id,degree
302164,20.0
308471,18.0
303169,17.0
304137,17.0
306844,17.0
303540,16.0
306450,16.0
300232,15.0
310179,15.0
308806,15.0
301614,15.0
306279,15.0
306060,14.0
309758,14.0
309042,13.0
304450,13.0
300390,12.0
300105,12.0
300429,11.0
301105,10.0
309156,10.0
308786,10.0
301558,10.0
301543,9.0
308494,9.0
302187,9.0
307039,8.0
300648,8.0
310199,8.0
301637,8.0
310204,8.0
306369,8.0
301194,7.0
302297,7.0
307564,7.0
306224,7.0
305984,7.0
309663,7.0
303371,7.0
308907,7.0
306091,6.0
310504,6.0
301745,6.0
301100,6.0
306489,6.0
308269,6.0
301541,6.0
301156,6.0
307693,6.0
302171,6.0
309569,6.0
307785,5.0
309703,5.0
300558,5.0
302798,5.0
304073,5.0
306768,4.0
301636,4.0
303344,4.0
300408,4.0
306444,4.0
301108,4.0
307373,4.0
300829,4.0
309553,4.0
307512,3.0
309853,3.0
306623,3.0
303099,3.0
300627,3.0
303620,3.0
302923,3.0
310527,3.0
303899,2.0
308367,2.0
300493,2.0
308206,2.0
308581,2.0
309843,2.0
307274,2.0
307557,2.0
301517,2.0
307832,2.0
306694,1.0
306365,1.0
305885,1.0
303303,1.0
305780,1.0
308991,1.0
304040,1.0
308540,1.0
301214,1.0
