node,node_name,neighbor,neighbor_name,neighbor_city,neighbor_voltage,neighbor_lines,length_km,path_nodes_count,path_segments_count,bbox
304731,REDONDO,308216,ROLLING HILLS,TORRANCE,66,1,7.79,67,66,"[349.51, 611.9, 388.52, 669.31]"
304731,REDONDO,306844,LA FRESA,TORRANCE,230,12,7.11,56,55,"[349.51, 591.54, 413.41, 618.4]"
304731,REDONDO,308806,MOBILOIL,TORRANCE,66,3,6.2,44,43,"[349.51, 605.32, 413.68, 618.4]"
304731,REDONDO,305084,VICTORIA,REDONDO BEACH,66,3,2.17,20,19,"[349.51, 604.89, 365.57, 618.4]"
305084,VICTORIA,300408,PUENTE,INDUSTRY,66,5,54.99,332,331,"[364.31, 391.5, 882.43, 607.41]"
305084,VICTORIA,305984,RIO HONDO,IRWINDALE,230,8,54.87,299,298,"[364.31, 300.98, 824.49, 607.41]"
305084,VICTORIA,300105,WALNUT,INDUSTRY,230,5,53.29,312,311,"[364.31, 391.5, 859.94, 607.41]"
305084,VICTORIA,307564,JOSE,AVOCADO HEIGHTS,66,0,46.46,273,272,"[364.31, 383.67, 775.28, 607.41]"
305084,VICTORIA,310504,BANDINI,VERNON,66,2,35.08,225,224,"[364.31, 430.94, 605.82, 607.41]"
305084,VICTORIA,306060,LAGUNA BELL,COMMERCE,230,12,31.8,206,205,"[364.31, 460.53, 629.4, 607.41]"
305084,VICTORIA,306268,WESTEX,SIGNAL HILL,66,2,29.64,173,172,"[364.31, 577.69, 606.42, 663.35]"
305084,VICTORIA,308540,LONG BEACH,LONG BEACH,230,4,24.35,143,142,"[364.31, 604.89, 543.16, 719.95]"
305084,VICTORIA,306365,ARCOGEN,CARSON,230,2,23.71,144,143,"[364.31, 604.89, 542.7, 671.93]"
305084,VICTORIA,303099,STATION D (FAIRFAX),LOS ANGELES,138,8,22.8,157,156,"[364.84, 384.19, 375.49, 604.89]"
305084,VICTORIA,304450,HARBORGEN,LOS ANGELES,230,4,22.8,139,138,"[364.31, 604.89, 542.68, 703.34]"
305084,VICTORIA,301489,BULLIS,COMPTON,66,2,22.2,143,142,"[364.31, 554.07, 577.27, 607.41]"
