nodes_removed,lcc_size,lcc_fraction
0,92,1.0
1,90,0.9782608695652174
2,88,0.9565217391304348
3,86,0.9347826086956522
4,84,0.9130434782608695
5,82,0.8913043478260869
6,79,0.8586956521739131
7,74,0.8043478260869565
8,73,0.7934782608695652
9,71,0.7717391304347826
10,69,0.75
11,67,0.7282608695652174
12,66,0.717391304347826
13,65,0.7065217391304348
14,64,0.6956521739130435
15,63,0.6847826086956522
16,62,0.6739130434782609
17,61,0.6630434782608695
18,60,0.6521739130434783
19,59,0.6413043478260869
20,57,0.6195652173913043
21,57,0.6195652173913043
22,54,0.5869565217391305
23,50,0.5434782608695652
24,50,0.5434782608695652
25,48,0.5217391304347826
26,47,0.5108695652173914
27,45,0.4891304347826087
28,44,0.4782608695652174
29,44,0.4782608695652174
30,44,0.4782608695652174
31,42,0.45652173913043476
32,41,0.44565217391304346
33,37,0.40217391304347827
34,37,0.40217391304347827
35,36,0.391304347826087
36,36,0.391304347826087
37,36,0.391304347826087
38,36,0.391304347826087
39,36,0.391304347826087
40,36,0.391304347826087
41,36,0.391304347826087
42,36,0.391304347826087
43,36,0.391304347826087
44,36,0.391304347826087
45,36,0.391304347826087
46,36,0.391304347826087
47,33,0.358695652173913
48,33,0.358695652173913
49,33,0.358695652173913
50,33,0.358695652173913
51,32,0.34782608695652173
52,31,0.33695652173913043
53,31,0.33695652173913043
54,30,0.32608695652173914
55,29,0.31521739130434784
56,29,0.31521739130434784
57,29,0.31521739130434784
58,29,0.31521739130434784
59,29,0.31521739130434784
60,28,0.30434782608695654
61,26,0.2826086956521739
62,25,0.2717391304347826
63,24,0.2608695652173913
64,22,0.2391304347826087
65,21,0.22826086956521738
66,18,0.1956521739130435
67,17,0.18478260869565216
68,16,0.17391304347826086
69,15,0.16304347826086957
70,8,0.08695652173913043
71,7,0.07608695652173914
72,6,0.06521739130434782
73,6,0.06521739130434782
74,6,0.06521739130434782
75,6,0.06521739130434782
76,6,0.06521739130434782
77,6,0.06521739130434782
78,6,0.06521739130434782
79,6,0.06521739130434782
80,4,0.043478260869565216
81,4,0.043478260869565216
82,4,0.043478260869565216
83,4,0.043478260869565216
84,4,0.043478260869565216
85,2,0.021739130434782608
86,2,0.021739130434782608
87,2,0.021739130434782608
88,2,0.021739130434782608
89,2,0.021739130434782608
90,1,0.010869565217391304
91,1,0.010869565217391304
92,0,0.0
