substation_id,NAME,CITY,degree,mean_link_km,median_link_km,max_link_km,links_gt20km,links_gt25km,links_gt30km,MAX_VOLT_N,LINES_N,sanity_flag_old,long_edge_load,current_suspicion
309042,RIVER,LOS ANGELES,16,21.762234700402914,20.07538237417998,46.19500989965798,8,5,5,230,9,ok,0.5,ok
307557,ROSECRANS,EL SEGUNDO,16,9.669605598884809,9.180588185278417,20.88606430995584,1,0,0,66,1,ok,0.0625,ok
306369,LA MIRADA,LA MIRADA,15,29.30691942144931,31.694166125505465,42.85183037942791,12,11,8,66,1,ok,0.8,ok
307039,ALAMITOS,LONG BEACH,15,22.32789735390567,24.747512624162173,41.24754988492209,9,7,3,230,7,ok,0.6,ok
301100,UNKNOWN301100,LOS ANGELES,15,12.444358527978466,12.736684693045108,34.68257411701085,2,1,1,230,1,ok,0.13333333333333333,ok
302164,BRIGHTON,GARDENA,15,15.486287466661325,17.187761236450186,26.273110172355302,5,1,0,115,2,ok,0.3333333333333333,ok
301745,WINDSOR HILLS,VIEW PARK-WINDSOR HILLS,15,9.698968893423858,11.82589360015952,17.40179660969173,0,0,0,66,0,ok,0.0,ok
308269,STATION F (VELASCO & KINETIC),LOS ANGELES,14,16.589919500104056,15.843298746587248,34.34749102125566,5,4,2,230,7,ok,0.35714285714285715,ok
301614,PULPGEN,VERNON,14,15.581173971495692,14.02182168893745,33.470272396532515,5,3,2,66,3,ok,0.35714285714285715,ok
302187,DEL AMO,CERRITOS,14,16.76945007055897,17.19437682488909,26.498578934342067,6,2,0,230,10,ok,0.42857142857142855,ok
306623,GRAMERCY,LOS ANGELES,14,9.853217287553566,11.106590538328742,14.916878333943597,0,0,0,138,6,ok,0.0,ok
309156,FELTON,DEL AIRE,14,8.005203228261294,8.093648170180778,14.225015768873972,0,0,0,66,2,ok,0.0,ok
301194,STATION G (ATWATER),LOS ANGELES,13,20.269310358911202,15.55952001395855,37.37578219322489,6,5,5,230,8,ok,0.46153846153846156,ok
306224,LAKEWOOD,LONG BEACH,13,19.362441456266154,20.103862349481386,31.549801704801755,7,5,1,66,2,ok,0.5384615384615384,ok
301105,STATION K (OLYMPIC),LOS ANGELES,13,16.57948429295306,10.17836989259012,40.91359504058567,5,4,3,230,8,ok,0.38461538461538464,ok
301156,BEVERLY,BEVERLY HILLS,13,18.571025585361518,17.12986167617045,33.13639925332075,5,2,1,66,4,ok,0.38461538461538464,ok
302171,SAWTELLE,LOS ANGELES,12,17.99874487242617,13.24363278621432,40.33555675622966,5,4,3,66,2,ok,0.4166666666666667,ok
301541,MESA,MONTEREY PARK,12,14.430202476308468,15.325673158428033,27.786013377378826,2,1,0,230,9,ok,0.16666666666666666,ok
309843,KENTER CANYON,LOS ANGELES,11,22.357073004106528,15.45978475166242,46.19500989965798,5,5,4,230,2,ok,0.45454545454545453,ok
310527,STATION A (ST. JOHN),LOS ANGELES,11,24.17053049786673,18.768709595661623,42.82817961319381,5,5,4,230,5,ok,0.45454545454545453,ok
301558,EAGLE ROCK,GLENDALE,11,18.260584252918687,17.256029964775617,39.35375198398226,4,2,1,230,9,ok,0.36363636363636365,ok
300144,STATION 11,LOS ANGELES,10,20.889991189099117,18.951997108903527,43.674889242924,5,4,4,138,1,ok,0.5,ok
300648,ROSEMEAD,ROSEMEAD,10,19.84490257870576,16.522463937089658,40.18015488218747,5,3,3,66,4,ok,0.5,ok
308581,STATION Q (HARBOR),LOS ANGELES,10,16.1810124484419,18.308631582151,23.11749876115385,4,0,0,138,3,ok,0.4,ok
300829,GOULD,LA CA?ADA FLINTRIDGE,9,28.966334381210217,28.364981879469948,57.38486651064409,7,6,2,230,2,ok,0.7777777777777778,ok
308494,AIRWAY,GLENDALE,9,18.3047272980251,20.424251297064487,33.48286194340174,5,4,2,230,6,ok,0.5555555555555556,ok
