metric,length_km
count,318.0
min,0.3971275929254044
p25,6.905263236754952
median,13.811682564535484
p75,23.2418112521205
p90,36.00344883263118
p95,42.10790207420338
p99,54.85684100607773
max,58.9341252369355
mean,16.77222219428982
