AUC,T50,T80,rule
0.9786099061109587,6.0,14.0,centrality-first
0.97851951854851,6.0,14.0,impact-first
0.9783960774734379,6.0,14.0,betweenness-first
0.9784578691430148,7.0,15.0,degree-first
0.9785791711882914,5.0,14.0,closeness-first
0.9779985894961011,6.0,15.0,hospital-first
0.9782805236339842,6.0,17.0,random
