time_hr,centrality-first,impact-first,betweenness-first,degree-first,closeness-first,hospital-first,random
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.028025555805018566,0.0,0.03933494632366076,0.060908901072130595,0.02929869851566913,0.0,0.036572572542148386
2.0,0.13898760098831386,0.06899148234609503,0.17352418740504513,0.17223415843693704,0.1742206838135525,0.0,0.1556549045380897
3.0,0.29351592554869177,0.19634048025011197,0.2960548942779171,0.2962487819875946,0.29470826030991815,0.16282538079061082,0.2613348363048319
4.0,0.41558436480872674,0.30237509677159613,0.3993051058038253,0.330216272436194,0.35385228235936056,0.2939335839321131,0.31477452531099503
5.0,0.4751894038038422,0.47608037295272626,0.4503466583584889,0.42931532472752465,0.5161617996351651,0.48279128840800606,0.45355324468241887
6.0,0.5285976259358507,0.5695700217671738,0.5285976259358507,0.4991314594828006,0.5401038553141235,0.5695700217671738,0.5654405337668325
7.0,0.5596754005716175,0.5893825894457908,0.5285976259358507,0.5285976259358507,0.5695700217671738,0.5695700217671738,0.5893825894457908
8.0,0.6278091917844777,0.6690078235874481,0.6278091917844777,0.676708672482853,0.649195255908831,0.6690078235874481,0.6107686535701442
9.0,0.7055783503039321,0.7253909179825493,0.6749179408384376,0.6980947366072064,0.6980947366072064,0.6980947366072064,0.7291863522500367
10.0,0.7253909179825493,0.7563477476315741,0.7253909179825493,0.6980947366072064,0.6980947366072064,0.6980947366072064,0.7291863522500367
11.0,0.7253909179825493,0.7563477476315741,0.7253909179825493,0.7253909179825493,0.6980947366072064,0.6980947366072064,0.7563477476315741
12.0,0.7253909179825493,0.7563477476315741,0.7253909179825493,0.7253909179825493,0.7253909179825493,0.7253909179825493,0.7563477476315741
13.0,0.7540561412716651,0.7850129709206899,0.7850129709206899,0.7850129709206899,0.7850129709206899,0.7850129709206899,0.7563477476315741
14.0,0.8136878055366769,0.8136878055366769,0.8136878055366769,0.7850129709206899,0.8136878055366769,0.7850129709206899,0.7563477476315741
