Stage,Crew_ID,Crew_Origin_ID,Substation_ID,Start_Time,End_Time,Duration,Travel_Time
Stage4_Northridge_centrality-first,0,D01,310199,0.4349255116619659,33.07389507012179,32.63896955845983,0.4349255116619659
Stage4_Northridge_centrality-first,1,D02,303344,0.3493779568882461,2.737464942443066,2.38808698555482,0.3493779568882461
Stage4_Northridge_centrality-first,2,D02,301558,0.2435238787950405,2.6852953352734943,2.441771456478454,0.2435238787950405
Stage4_Northridge_centrality-first,3,D02,301105,0.2571593411381854,20.417935218647308,20.160775877509124,0.2571593411381854
Stage4_Northridge_centrality-first,4,D02,303620,0.391829570313094,26.51924412045523,26.127414550142138,0.391829570313094
Stage4_Northridge_centrality-first,5,D02,309553,0.3580708467927005,4.185689219914935,3.8276183731222346,0.3580708467927005
Stage4_Northridge_centrality-first,6,D02,301100,0.3290885352928175,4.8376843647473615,4.508595829454544,0.3290885352928175
Stage4_Northridge_centrality-first,7,D02,300390,0.3504958140326241,1.3631937464628812,1.0126979324302572,0.3504958140326241
Stage4_Northridge_centrality-first,8,D02,308471,0.3926347160720397,1.5216542292430915,1.1290195131710519,0.3926347160720397
Stage4_Northridge_centrality-first,9,D02,303099,0.1686100346685886,8.799776688393873,8.631166653725284,0.1686100346685886
Stage4_Northridge_centrality-first,10,D02,301543,0.3232940073091869,2.7215322516866745,2.3982382443774877,0.3232940073091869
Stage4_Northridge_centrality-first,11,D02,309663,0.3139700623461909,9.5965432848432,9.282573222497009,0.3139700623461909
Stage4_Northridge_centrality-first,12,D03,301637,0.2579348658670665,3.4197375833961083,3.1618027175290417,0.2579348658670665
Stage4_Northridge_centrality-first,13,D04,302297,0.4418706317465299,2.5202872639284486,2.0784166321819186,0.4418706317465299
Stage4_Northridge_centrality-first,14,D04,302164,0.5046595337400043,1.6177938468479942,1.1131343131079898,0.5046595337400043
Stage4_Northridge_centrality-first,15,D04,300429,0.1769893257114166,27.17859193595737,27.001602610245953,0.1769893257114166
Stage4_Northridge_centrality-first,16,D04,309758,0.4709475689281812,2.0237439968298796,1.5527964279016984,0.4709475689281812
Stage4_Northridge_centrality-first,17,D04,308494,0.257634917252396,12.690973553054803,12.433338635802407,0.257634917252396
Stage4_Northridge_centrality-first,18,D04,309156,0.4321143606831696,1.9192103650782455,1.4870960043950758,0.4321143606831696
Stage4_Northridge_centrality-first,19,D04,309843,0.2828040889681025,14.960817436414942,14.67801334744684,0.2828040889681025
Stage4_Northridge_centrality-first,20,D04,308786,0.3787864062901878,8.789701564591407,8.41091515830122,0.3787864062901878
