time_hr,centrality-first,impact-first,betweenness-first,degree-first,closeness-first,hospital-first,random
0.0,0.025301380357044462,0.025301380357044462,0.025301380357044462,0.025301380357044462,0.025301380357044462,0.025301380357044462,0.025301380357044462
0.05,0.025301380357044462,0.025301380357044462,0.025301380357044462,0.0253117272129551,0.0253117272129551,0.025301380357044462,0.02530148071181648
0.1,0.025301380357044462,0.025309895913251026,0.025301380357044462,0.025359146676276503,0.025349388961498603,0.025309895913251026,0.025302522354216248
0.15000000000000002,0.025301380357044462,0.02533043783147611,0.025301380357044462,0.025409439422851326,0.025387790151964545,0.02533184391093649,0.025303586207709585
0.2,0.025303725431152075,0.025351375151565235,0.025301380357044462,0.025470230597629342,0.02543842813353965,0.02536139643570992,0.02530467265331409
0.25,0.025315050022946872,0.02537271378121248,0.025307135360952516,0.02553537195073028,0.025493256650176044,0.025391517651723886,0.025305782074991873
0.30000000000000004,0.025331047301908972,0.025432926975421752,0.02531745269984767,0.025606495086629655,0.025590310863438943,0.025457316743592816,0.025306914859514203
0.35000000000000003,0.025347404754445066,0.025514323023487842,0.02532799895367422,0.025687766140582057,0.025696174780896208,0.025546700058286576,0.025316610650055006
0.4,0.025364429674569894,0.02566149863653157,0.02533877819160671,0.025770604991711937,0.025804177377246936,0.025664041538233047,0.02534364009415786
0.45,0.025389798339193394,0.02581742511203493,0.025358956435357034,0.025856927495098346,0.025917421913349274,0.025783790956633162,0.025377906809232242
0.5,0.025418144488057584,0.02598230972937003,0.02538083511318465,0.02594647321708756,0.026033328380561493,0.025910069338975408,0.025419122895013187
0.55,0.025448901571248725,0.026158758115707538,0.02540499999567831,0.02603772461545956,0.026151544389537436,0.026044812070573145,0.025461164426110593
0.6000000000000001,0.025484239228788882,0.026354424540066035,0.02543361884788159,0.02615475337653759,0.026274630060742536,0.02619790163058045,0.02550404439808364
0.65,0.025523964536690917,0.026554160557139283,0.02546282467496999,0.026285512231747066,0.026400923056825426,0.02635428369708903,0.02554777589111549
0.7000000000000001,0.02556507710364003,0.026766192525181486,0.025495192103759997,0.02641884770678638,0.026529707855002575,0.026517745329628695,0.025592525002411583
0.75,0.025608100152235587,0.026987305684486013,0.025540805575984704,0.026563476638809105,0.026661022058230864,0.026708916357501084,0.025666132368702216
0.8,0.02565624238942565,0.027221733971939367,0.025589855009421677,0.02671477943568814,0.02679923944772507,0.026916777250548744,0.025765605990254285
0.8500000000000001,0.025736303305494375,0.027489250062150455,0.02566822328088058,0.026869020735500754,0.02694439811531084,0.027157170810879837,0.025872254779121275
0.9,0.025846115354546874,0.027771369947661433,0.025776351221042465,0.027045227552285077,0.027116648245175314,0.0274116047602115,0.025989421673482588
0.9500000000000001,0.02596519065182948,0.02805918694043114,0.02589200685500117,0.027230177191304262,0.027298616102067772,0.02767116414459881,0.026124163492524194
1.0,0.026090209968863586,0.028352788491141423,0.026013375361656592,0.02741868716640597,0.027484067697274937,0.027941793430494487,0.026262054677371426
1.05,0.02621770382536389,0.02865226237225509,0.02613931676911218,0.027610809187313925,0.02767305264703203,0.02821863650314158,0.026402810091518118
1.1,0.026347709631782085,0.02896993842588405,0.026267771137484963,0.027806595155400203,0.027871027968291894,0.028513219489123116,0.026546476006404106
1.1500000000000001,0.026480264978623373,0.029310889797885528,0.026398911861686834,0.028006097142034538,0.028077551056312322,0.028827239877850932,0.0266938793027924
1.2000000000000002,0.026615407623319723,0.029666159910082743,0.026532849042549905,0.028209367366063595,0.028287961535627557,0.029152705463689813,0.026844880333448787
1.25,0.026753175476657384,0.03002847656332768,0.026669420432757267,0.028416458171785758,0.02850231260410921,0.02950438225109051,0.026998958109096687
1.3,0.026893606588764343,0.03039794286440353,0.026808664929032548,0.028627422006267677,0.028720657527005655,0.029866723645855034,0.0271561601135881
1.35,0.027036739134664672,0.030774662085338956,0.026950621565088408,0.02884231139601715,0.02894304961265354,0.030236201458548394,0.027316533985431317
1.4000000000000001,0.027182611399407294,0.03115873760946533,0.027095329495858526,0.0290611789230283,0.029169542187632715,0.030612919552005718,0.02748012749392245
1.4500000000000002,0.027331261762778284,0.03155027287608285,0.027242827981254936,0.029284077200216932,0.029400188571387674,0.030996981964500504,0.027647204692754435
1.5,0.027482728683606468,0.03194937132379043,0.027393156369460818,0.029511058846266265,0.029635042050340545,0.03138849285614942,0.027818518011796158
1.55,0.02763705068367306,0.03235613633253914,0.02754635407976993,0.029742176459904297,0.02987415585152197,0.03178755645390649,0.027993221990376408
1.6,0.027794266331237508,0.032770671164473436,0.027702460584985402,0.02997748259363662,0.030117583115748137,0.032194276995199236,0.028171365200323817
1.6500000000000001,0.02795441422419222,0.03319307890362948,0.02786151539339143,0.030217029726959957,0.03036548068996363,0.03260875867026403,0.028352996218334904
1.7000000000000002,0.028117532972860272,0.033623462394563486,0.02802773226782021,0.030465044476590628,0.030625822759414428,0.033031105563242756,0.028538163597495246
1.75,0.0282854107577737,0.034061924179988656,0.02819997649411662,0.030720404856023287,0.030893729026069235,0.03346142159210736,0.028726915838154597
1.8,0.028467822550383354,0.03450856643750187,0.028386894904670775,0.030991770290103228,0.03117786106298387,0.03389981044748351,0.02891930135818911
1.85,0.028653642422634306,0.034963490915486686,0.0285773646331768,0.031268030360784134,0.031467110573417834,0.03434637553044871,0.02911536846268651
1.9000000000000001,0.028842915083114887,0.03542679886828224,0.028771433460453577,0.031549245143921226,0.0317615397269973,0.03480121988938491,0.029315165313092584
1.9500000000000002,0.029035685214901533,0.03589859099071141,0.028969149154713658,0.03183547454050034,0.032061210490390846,0.03526444615596933,0.029518739895859104
2.0,0.029231997453888988,0.03637896735206506,0.029170559447601947,0.032126778243639596,0.03236618459383661,0.03573615648039134,0.02972613999063636
2.0500000000000003,0.02943189636673818,0.03686802732964204,0.02937571200977714,0.032423215705151415,0.03267652349731033,0.03621645246588677,0.029937413138054828
2.1,0.02963542642846225,0.03736586954194733,0.029584654426059356,0.03272484610170407,0.032992288356374515,0.0367054351026847,0.030152606607143063
2.15,0.029842631999671715,0.03787259178165382,0.02979743417016816,0.03303172830062252,0.0333135399877498,0.0372032047014649,0.03037176736243069
2.2,0.030053557303501142,0.03838829094843427,0.030014098579077022,0.033343920825370146,0.03364033883465031,0.03770986082642658,0.03059494203078699
2.25,0.030268246402240365,0.038913062981772925,0.03023469482701105,0.03366148182075436,0.03397274493192629,0.038225502228072826,0.030822176868047522
2.3000000000000003,0.03048674317369438,0.03944700279386685,0.030459269899116223,0.03398446901790013,0.03431081787105792,0.03875022677581605,0.031053517725482573
2.35,0.03070909128729648,0.039990204202728585,0.030687870564829314,0.03431293969903665,0.0346546167650445,0.03928413139051296,0.031289010016162466
2.4000000000000004,0.03093533418000058,0.04054275986560238,0.0309205433509789,0.03464695066214328,0.03500420021323456,0.039827311977038496,0.03152869868127631
2.45,0.03116551503197879,0.041104761212806255,0.031157334514648572,0.03498655818550186,0.03535962626614198,0.040379863357009715,0.03177262815646116
2.5,0.03139967674215119,0.04167629838211243,0.0313982900158346,0.03533181799220299,0.035720952390294186,0.0409418792017716,0.03202084233820017
2.5500000000000003,0.03163786190357552,0.04225746015377792,0.03164345548993098,0.035682785214654775,0.03608823543315827,0.04151345196575705,0.03227338455034808
