AUC,T50,T80,rule
0.9560483176952496,20.85,29.75,centrality-first
0.9645880910381405,15.55,25.450000000000003,impact-first
0.9569225437794109,20.200000000000003,29.35,betweenness-first
0.9574501970314929,20.05,30.05,degree-first
0.9576697635597833,19.950000000000003,30.05,closeness-first
0.9676058545986547,15.100000000000001,22.5,hospital-first
0.9541649378269023,21.8,31.1,random
