tract_id,scenario,cluster,T50,T80,Init_Supply,Grid_Degree,Grid_Impact,Grid_Betweenness,Redundancy_HHI,Pre_1970_Ratio,Pop_Density,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4,NRI_BUILDVALUE,NRI_RISK_SCORE,PC1,PC2,PC3,PC4,PC5
6037101110,2pc50,0,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.774818401937046,9100.32164171324,0.5451,0.4706,0.2738,0.7327,477686853.0,65.48779907720116,-0.5335101346755445,0.34400042934771524,-0.6400759248654116,-0.6214792189334059,-0.1735971019980352
6037101122,2pc50,0,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.6278906797477225,4078.8696561108586,0.4445,0.2972,0.1327,0.1759,508893146.0,78.24406602292727,-1.9649603056618319,0.7804871760156438,-0.2197464039609622,-0.8956107833618332,-0.23300235619597887
6037101220,2pc50,2,35.85,43.650000000000006,0.003,4.0,0.0,0.0,1.0,0.6479591836734694,12900.175871537456,0.8138,0.7043,0.4151,0.307,308118718.0,53.225039242734155,-0.16606219730335345,-0.3866267657324475,-1.6177439242759535,-1.8235222331060947,-0.4855275347145572
6037101221,2pc50,2,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.35958683021304066,27466.413320315693,0.7796,0.8904,0.3104,0.9294,293556702.0,56.0600294915093,1.0714127880496545,-0.898398918269773,-0.7238781766211273,0.03720647389591478,-1.3962642158456315
6037101222,2pc50,2,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.37475149105367794,24527.471401351282,0.8608,0.7279,0.3847,0.7175,330877313.0,65.22023498073537,0.8310381011353669,-0.6702221274742888,-0.4625031239564208,-0.09543758422958697,-1.210675216998366
6037101300,2pc50,0,35.85,43.650000000000006,0.003,4.0,0.0,0.0,1.0,0.6466710613052077,4086.0049675773353,0.3591,0.8355,0.089,0.5235,598307238.0,65.9717927983637,-1.1850636451508623,-0.04359928909206964,-0.2898607205822454,-1.909189649653243,-0.3791985979760523
6037101400,2pc50,2,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.6793692509855453,1432.4852611006836,0.6863,0.7886,0.2508,0.8426,571614065.0,78.90405746087619,0.1598498334544569,0.25400460521066365,0.5615801090308569,-0.7525897064288583,0.13122124220086964
6037102103,2pc50,0,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.7563451776649747,4003.442210447964,0.6576,0.4792,0.0443,0.3091,190458517.0,40.67687770537031,-1.5148962053869621,0.5928050359817669,-2.3101048041429686,-0.992940469665321,-0.10943999771651014
6037102104,2pc50,1,35.85,45.55,0.0,11.0,0.008624654097759,0.1005409844443874,1.0,0.34960516870064606,6296.890227660158,0.4274,0.5859,0.1489,0.7493,592179566.0,85.83694049374495,-0.5606122675405447,1.7017653996273183,0.9328401822877462,1.5266066258771587,-1.2928300093730845
6037102105,2pc50,1,35.85,45.55,0.0,11.0,0.008624654097759,0.1005409844443874,1.0,0.7773913043478261,8462.282059438263,0.499,0.1834,0.6634,0.1255,154021783.0,36.58136326880084,-1.184675786548084,2.472733977947468,-3.2046495619401583,0.724227329505932,-0.2978482446320308
6037102107,2pc50,0,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.6041666666666666,717.6935180575862,0.5668,0.66,0.2136,0.4715,586756779.0,87.839509109071,-0.7434162147554613,0.5355355440866281,0.7635136682067567,-0.9117900782730226,0.10423231415762263
6037103101,2pc50,0,35.9,44.8,0.0,6.0,0.0007368366179866,0.0206269693073873,1.0,0.7756345177664975,3478.317872694317,0.4201,0.1789,0.2173,0.0649,361913569.0,57.38239071493126,-2.311677077301099,1.0276748973441296,-1.6947595172135692,-1.1281982235999852,0.01445483120822277
