tract_id,scenario,cluster,SlowVulnerable_Hotspot_Rank,SlowVulnerable_Hotspot_Score,T80,Pre_1970_Ratio,NRI_RISK_SCORE,Hotspot_SVI_Score,Hotspot_T80_RankPct,Hotspot_Pre1970_RankPct,Hotspot_NRI_Risk_RankPct,Hotspot_SVI_RankPct,T50,Init_Supply
6037234600,2pc50,2,1,3.4311015118790498,61.35,0.9022270505160239,92.28582980545117,0.795225,0.8673866090712743,0.9442764578833693,0.8367170626349892,0.7827213822894169,56.75,0.0
6037543100,2pc50,1,2,3.4209503239740817,58.85,0.8373684210526315,98.93806783047138,0.8570749999999999,0.713390928725702,0.8518358531317495,0.9714902807775379,0.8842332613390929,38.5,0.0005
6037191710,2pc50,2,3,3.4138228941684665,56.75,0.8893414799728445,95.62502972934404,0.87935,0.6678185745140389,0.9248380129589633,0.9088552915766739,0.9123110151187905,56.75,0.0
6037232200,2pc50,2,4,3.3053995680345576,61.35,0.9071588366890381,82.79027731532133,0.921075,0.8673866090712743,0.9511879049676026,0.5300215982721382,0.9568034557235421,37.7,0.0
6037222002,2pc50,2,5,3.30280777537797,61.35,0.8542538354253836,85.84288636255529,0.891275,0.8673866090712743,0.8768898488120951,0.6328293736501079,0.9257019438444924,37.6,0.0
6037572202,2pc50,2,6,3.2900647948164146,60.75,0.8957388939256573,98.38391285734671,0.645725,0.8516198704103671,0.934341252699784,0.9602591792656587,0.5438444924406047,37.75,0.0001589503432919
6037235202,2pc50,2,7,3.2855291576673866,61.35,0.7942105263157895,90.49731246729773,0.838175,0.8673866090712743,0.7732181425485961,0.7904967602591793,0.854427645788337,56.75,0.0
6037224020,2pc50,1,8,3.2697624190064793,43.8,0.8479125248508946,99.50887123626504,0.9398,0.4321814254859611,0.8699784017278618,0.9866090712742981,0.9809935205183585,35.85,0.0
6037232500,2pc50,2,9,3.2669546436285097,61.35,0.8065146579804561,89.06435808400323,0.84165,0.8673866090712743,0.7987041036717063,0.7416846652267819,0.8591792656587472,56.75,0.0
6037237202,2pc50,2,10,3.249676025917927,47.55,0.7686335403726708,96.79874423250723,0.939825,0.6099352051835853,0.7265658747300215,0.9317494600431966,0.9814254859611231,35.800000000000004,0.0
