time_hr,Northridge__DS4_24_8_baseline__tract_mean,Northridge__DS4_24_8_baseline__population_weighted,Northridge__DS4_24_8_baseline__svi_population_weighted,SanFernando__DS4_24_8_baseline__tract_mean,SanFernando__DS4_24_8_baseline__population_weighted,SanFernando__DS4_24_8_baseline__svi_population_weighted,LongBeach__DS4_24_8_baseline__tract_mean,LongBeach__DS4_24_8_baseline__population_weighted,LongBeach__DS4_24_8_baseline__svi_population_weighted,2pc50__DS4_24_8_baseline__tract_mean,2pc50__DS4_24_8_baseline__population_weighted,2pc50__DS4_24_8_baseline__svi_population_weighted,Northridge__DS4_36_12__tract_mean,Northridge__DS4_36_12__population_weighted,Northridge__DS4_36_12__svi_population_weighted,SanFernando__DS4_36_12__tract_mean,SanFernando__DS4_36_12__population_weighted,SanFernando__DS4_36_12__svi_population_weighted,LongBeach__DS4_36_12__tract_mean,LongBeach__DS4_36_12__population_weighted,LongBeach__DS4_36_12__svi_population_weighted,2pc50__DS4_36_12__tract_mean,2pc50__DS4_36_12__population_weighted,2pc50__DS4_36_12__svi_population_weighted,Northridge__DS4_48_16__tract_mean,Northridge__DS4_48_16__population_weighted,Northridge__DS4_48_16__svi_population_weighted,SanFernando__DS4_48_16__tract_mean,SanFernando__DS4_48_16__population_weighted,SanFernando__DS4_48_16__svi_population_weighted,LongBeach__DS4_48_16__tract_mean,LongBeach__DS4_48_16__population_weighted,LongBeach__DS4_48_16__svi_population_weighted,2pc50__DS4_48_16__tract_mean,2pc50__DS4_48_16__population_weighted,2pc50__DS4_48_16__svi_population_weighted
0.0,0.34258115,0.36484852,0.37223947,0.56025225,0.5705569,0.57325715,0.5498308,0.5386042,0.526427,0.0006375907,0.0006266941,0.0006033615,0.34258115,0.36484852,0.37223947,0.56025225,0.5705569,0.57325715,0.5498308,0.5386042,0.526427,0.0006375907,0.0006266941,0.0006033615,0.34258115,0.36484852,0.37223947,0.56025225,0.5705569,0.57325715,0.5498308,0.5386042,0.526427,0.0006375907,0.0006266941,0.0006033615
0.05,0.3433891,0.36569962,0.37312052,0.56118673,0.5714953,0.5742144,0.5507053,0.53945565,0.5272775,0.0006396025,0.0006287098,0.00060529757,0.3433891,0.36569962,0.37312052,0.56118673,0.5714953,0.5742144,0.5507053,0.53945565,0.5272775,0.0006396025,0.0006287098,0.00060529757,0.3433891,0.36569962,0.37312052,0.56118673,0.5714953,0.5742144,0.5507053,0.53945565,0.5272775,0.0006396025,0.0006287098,0.00060529757
0.1,0.34436595,0.36672866,0.37418577,0.56231654,0.57262987,0.5753717,0.5517627,0.540485,0.5283058,0.00064203487,0.0006311469,0.0006076384,0.34436595,0.36672866,0.37418577,0.56231654,0.57262987,0.5753717,0.5517627,0.540485,0.5283058,0.00064203487,0.0006311469,0.0006076384,0.34436595,0.36672866,0.37418577,0.56231654,0.57262987,0.5753717,0.5517627,0.540485,0.5283058,0.00064203487,0.0006311469,0.0006076384
0.15000000000000002,0.3455353,0.36796045,0.37546092,0.5636689,0.57398796,0.5767571,0.55302846,0.54171723,0.5295368,0.0006449465,0.0006340642,0.00061044045,0.3455353,0.36796045,0.37546092,0.5636689,0.57398796,0.5767571,0.55302846,0.54171723,0.5295368,0.0006449465,0.0006340642,0.00061044045,0.3455353,0.36796045,0.37546092,0.5636689,0.57398796,0.5767571,0.55302846,0.54171723,0.5295368,0.0006449465,0.0006340642,0.00061044045
0.2,0.34692112,0.3694203,0.37697217,0.56527174,0.5755975,0.57839894,0.55452853,0.5431776,0.5309956,0.0006483973,0.0006375216,0.0006137613,0.34692112,0.3694203,0.37697217,0.56527174,0.5755975,0.57839894,0.55452853,0.5431776,0.5309956,0.0006483973,0.0006375216,0.0006137613,0.34692112,0.3694203,0.37697217,0.56527174,0.5755975,0.57839894,0.55452853,0.5431776,0.5309956,0.0006483973,0.0006375216,0.0006137613
0.25,0.3485472,0.3711332,0.37874535,0.5671524,0.5774861,0.58032537,0.55628866,0.5448911,0.53270733,0.00065244624,0.00064157834,0.0006176578,0.3485472,0.3711332,0.37874535,0.5671524,0.5774861,0.58032537,0.55628866,0.5448911,0.53270733,0.00065244624,0.00064157834,0.0006176578,0.3485472,0.3711332,0.37874535,0.5671524,0.5774861,0.58032537,0.55628866,0.5448911,0.53270733,0.00065244624,0.00064157834,0.0006176578
0.30000000000000004,0.35043615,0.37312308,0.38080525,0.5693371,0.57968,0.58256334,0.5583334,0.54688174,0.53469586,0.0006571498,0.00064629107,0.0006221843,0.35043615,0.37312308,0.38080525,0.5693371,0.57968,0.58256334,0.5583334,0.54688174,0.53469586,0.0006571498,0.00064629107,0.0006221843,0.35043615,0.37312308,0.38080525,0.5693371,0.57968,0.58256334,0.5583334,0.54688174,0.53469586,0.0006571498,0.00064629107,0.0006221843
0.35000000000000003,0.35260874,0.3754117,0.38317445,0.5718498,0.5822034,0.5851373,0.5606851,0.54917115,0.5369829,0.0006625596,0.00065171125,0.00062739046,0.35260874,0.3754117,0.38317445,0.5718498,0.5822034,0.5851373,0.5606851,0.54917115,0.5369829,0.0006625596,0.00065171125,0.00062739046,0.35260874,0.3754117,0.38317445,0.5718498,0.5822034,0.5851373,0.5606851,0.54917115,0.5369829,0.0006625596,0.00065171125,0.00062739046
0.4,0.3550827,0.37801778,0.38587224,0.57471114,0.5850767,0.5880683,0.563363,0.55177814,0.5395872,0.00066871976,0.00065788336,0.00063331873,0.3550827,0.37801778,0.38587224,0.57471114,0.5850767,0.5880683,0.563363,0.55177814,0.5395872,0.00066871976,0.00065788336,0.00063331873,0.3550827,0.37801778,0.38587224,0.57471114,0.5850767,0.5880683,0.563363,0.55177814,0.5395872,0.00066871976,0.00065788336,0.00063331873
0.45,0.35787174,0.38095582,0.3889137,0.5779369,0.5883161,0.5913726,0.566382,0.55471724,0.5425232,0.0006756646,0.0006648416,0.00064000214,0.35787174,0.38095582,0.3889137,0.5779369,0.5883161,0.5913726,0.566382,0.55471724,0.5425232,0.0006756646,0.0006648416,0.00064000214,0.35787174,0.38095582,0.3889137,0.5779369,0.5883161,0.5913726,0.566382,0.55471724,0.5425232,0.0006756646,0.0006648416,0.00064000214
