variant,scenario,curve,ds4_mean_hr,ds4_std_hr,t0_supply,t50_hr,t80_hr,t95_hr,auc_0_480hr,final_supply,repair_task_threshold_hr,repair_task_count,ds4_prob_mean_by_sub,ds4_prob_max_sub,baseline_t50_hr,baseline_t80_hr,baseline_t95_hr,baseline_auc_0_480hr,baseline_repair_task_count,delta_t50_hr,delta_t80_hr,delta_t95_hr,delta_auc_0_480hr,delta_repair_task_count
DS4_36_12,LongBeach,tract_mean,36.0,12.0,0.5498307739931481,0.0,9.15,20.85,0.9901105902884167,1.0,1.0,61,0.05070652173913043,0.587,0.0,9.15,20.85,0.991458589817938,61,0.0,0.0,0.0,-0.0013479995295212488,0
DS4_36_12,LongBeach,population_weighted,36.0,12.0,0.5386042280562674,0.0,11.8,35.6,0.9894276877146755,1.0,1.0,61,0.05070652173913043,0.587,0.0,11.8,23.75,0.9909157919788031,61,0.0,0.0,11.850000000000001,-0.0014881042641275988,0
DS4_36_12,LongBeach,svi_population_weighted,36.0,12.0,0.5264269845321845,0.0,11.8,35.6,0.9889729321711288,0.9999999999999998,1.0,61,0.05070652173913043,0.587,0.0,11.8,23.75,0.9905344867958527,61,0.0,0.0,11.850000000000001,-0.0015615546247238488,0
DS4_36_12,2pc50,tract_mean,36.0,12.0,0.0006375907051701348,35.6,41.95,53.1,0.9287173915402168,1.0,1.0,92,0.6320978260869563,0.992,23.75,28.0,35.4,0.9505998527982019,92,11.850000000000001,13.950000000000003,17.700000000000003,-0.021882461257985097,0
DS4_36_12,2pc50,population_weighted,36.0,12.0,0.000626694114389449,35.6,41.900000000000006,53.050000000000004,0.9291325126159561,1.0,1.0,92,0.6320978260869563,0.992,23.75,27.950000000000003,35.35,0.9508034874361634,92,11.850000000000001,13.950000000000003,17.700000000000003,-0.0216709748202073,0
DS4_36_12,2pc50,svi_population_weighted,36.0,12.0,0.0006033614976597349,35.6,41.85,53.0,0.9295675307557302,0.9999999999999998,1.0,92,0.6320978260869563,0.992,23.75,27.900000000000002,35.35,0.9510113417230436,92,11.850000000000001,13.95,17.65,-0.021443810967313404,0
DS4_48_16,Northridge,tract_mean,48.0,16.0,0.34258116269083516,5.75,15.350000000000001,52.75,0.973638720141807,1.0,1.0,77,0.10022826086956524,0.983,5.75,15.350000000000001,26.400000000000002,0.9828442822858943,77,0.0,0.0,26.349999999999998,-0.009205562144087298,0
DS4_48_16,Northridge,population_weighted,48.0,16.0,0.3648485267899578,1.9500000000000002,14.25,51.75,0.9752396665453137,1.0,1.0,77,0.10022826086956524,0.983,1.9500000000000002,14.25,25.900000000000002,0.9838907005667994,77,0.0,0.0,25.849999999999998,-0.008651034021485704,0
DS4_48_16,Northridge,svi_population_weighted,48.0,16.0,0.37223946745452496,1.6500000000000001,13.3,50.6,0.9765494532739486,0.9999999999999998,1.0,77,0.10022826086956524,0.983,1.6500000000000001,13.3,25.3,0.9845773053792138,77,0.0,0.0,25.3,-0.008027852105265243,0
DS4_48_16,SanFernando,tract_mean,48.0,16.0,0.5602522746210363,0.0,6.3500000000000005,17.2,0.9901788227855761,1.0,1.0,33,0.04465217391304348,0.82,0.0,6.3500000000000005,17.2,0.9924338814565726,33,0.0,0.0,0.0,-0.0022550586709965126,0
DS4_48_16,SanFernando,population_weighted,48.0,16.0,0.5705569074048629,0.0,5.8500000000000005,16.75,0.9905426302202129,1.0,1.0,33,0.04465217391304348,0.82,0.0,5.8500000000000005,16.75,0.9927094301325584,33,0.0,0.0,0.0,-0.002166799912345474,0
DS4_48_16,SanFernando,svi_population_weighted,48.0,16.0,0.5732571702627214,0.0,5.75,16.650000000000002,0.9906696383195298,0.9999999999999998,1.0,33,0.04465217391304348,0.82,0.0,5.75,16.650000000000002,0.9928203524796456,33,0.0,0.0,0.0,-0.0021507141601158075,0
DS4_48_16,LongBeach,tract_mean,48.0,16.0,0.5498307739931481,0.0,9.15,20.85,0.9887625846941063,1.0,1.0,61,0.05070652173913043,0.587,0.0,9.15,20.85,0.991458589817938,61,0.0,0.0,0.0,-0.002696005123831724,0
DS4_48_16,LongBeach,population_weighted,48.0,16.0,0.5386042280562674,0.0,11.8,47.45,0.9879395771464893,1.0,1.0,61,0.05070652173913043,0.587,0.0,11.8,23.75,0.9909157919788031,61,0.0,0.0,23.700000000000003,-0.002976214832313806,0
DS4_48_16,LongBeach,svi_population_weighted,48.0,16.0,0.5264269845321845,0.0,11.8,47.45,0.9874113709560045,0.9999999999999998,1.0,61,0.05070652173913043,0.587,0.0,11.8,23.75,0.9905344867958527,61,0.0,0.0,23.700000000000003,-0.003123115839848145,0
DS4_48_16,2pc50,tract_mean,48.0,16.0,0.0006375907051701348,47.45,55.95,70.75,0.9068344595827358,1.0,1.0,92,0.6320978260869563,0.992,23.75,28.0,35.4,0.9505998527982019,92,23.700000000000003,27.950000000000003,35.35,-0.04376539321546613,0
DS4_48_16,2pc50,population_weighted,48.0,16.0,0.000626694114389449,47.45,55.85,70.7,0.9074610788832814,1.0,1.0,92,0.6320978260869563,0.992,23.75,27.950000000000003,35.35,0.9508034874361634,92,23.700000000000003,27.9,35.35,-0.04334240855288196,0
DS4_48_16,2pc50,svi_population_weighted,48.0,16.0,0.0006033614976597349,47.45,55.800000000000004,70.7,0.9081232848978718,0.9999999999999998,1.0,92,0.6320978260869563,0.992,23.75,27.900000000000002,35.35,0.9510113417230436,92,23.700000000000003,27.900000000000002,35.35,-0.04288805682517183,0
