substation_id,sub_value_base,node_importance_score,node_importance_s_ref,node_importance_bonus,sub_value_final,importance_role_score,importance_voltage_score,importance_lines_score,importance_table_matched
300105,0.6065910615818602,0.20166666666666672,0.3825535660449748,0.0771483024857366,0.6837393640675967,0.0,0.8,0.4166666666666667,False
300232,2.362731568241588,0.21833333333333338,0.3825535660449748,0.08352419525315286,2.446255763494741,0.0,0.8,0.5833333333333334,False
300390,0.2124183216654236,0.6383333333333334,0.3825535660449748,0.2441966929920423,0.4566150146574659,0.6,0.8,0.5833333333333334,True
300627,0.365640293899397,0.5533333333333333,0.3825535660449748,0.2116796398782194,0.5773199337776164,0.6,0.5,0.3333333333333333,True
301100,0.02054756835503494,0.5883333333333334,0.3825535660449748,0.22506901468979354,0.24561658304482847,0.6,0.8,0.08333333333333333,True
301105,0.3944844692643412,0.6466666666666667,0.3825535660449748,0.2473846393757504,0.6418691086400916,0.6,0.8,0.6666666666666666,True
301108,0.05257651792641032,0.20166666666666672,0.3825535660449748,0.0771483024857366,0.12972482041214692,0.0,0.8,0.4166666666666667,False
301541,0.7330791794974983,0.935,0.3825535660449748,0.3576875842520515,1.0907667637495497,1.0,0.8,0.75,True
301543,0.01906399527228985,0.04000000000000001,0.3825535660449748,0.015302142641798995,0.034366137914088844,0.0,0.2,0.0,False
301614,0.6858205173335425,0.065,0.3825535660449748,0.024865981792923365,0.7106864991264659,0.0,0.2,0.25,False
301637,0.5299546382023343,0.13333333333333333,0.3825535660449748,0.051007142139329976,0.5809617803416643,0.0,0.5,0.3333333333333333,False
301745,0.3638479466209586,0.45999999999999996,0.3825535660449748,0.1759746403806884,0.539822587001647,0.6,0.2,0.0,True
302164,0.765538701188895,0.11666666666666667,0.3825535660449748,0.04463124937191373,0.8101699505608088,0.0,0.5,0.16666666666666666,False
302187,1.1744772531137182,0.6633333333333334,0.3825535660449748,0.2537605321431667,1.4282377852568848,0.6,0.8,0.8333333333333334,True
302297,0.007585210437254978,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.026075299462762096,0.0,0.2,0.08333333333333333,False
302923,0.0,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.01849008902550712,0.0,0.2,0.08333333333333333,False
303099,1.81652046868582,0.5866666666666667,0.3825535660449748,0.2244314254130519,2.040951894098872,0.6,0.5,0.6666666666666666,True
303169,1.6386561579133079,0.655,0.3825535660449748,0.2505725857594585,1.8892287436727664,0.6,0.8,0.75,True
303303,0.6572537054549166,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.6757437944804237,0.0,0.2,0.08333333333333333,False
303344,0.0021667310190412476,0.05666666666666667,0.3825535660449748,0.02167803540921524,0.02384476642825649,0.0,0.2,0.16666666666666666,False
303540,0.6491104785813147,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.6676005676068217,0.0,0.2,0.08333333333333333,False
304073,2.3333333333139805,0.6466666666666667,0.3825535660449748,0.2473846393757504,2.580717972689731,0.6,0.8,0.6666666666666666,True
304137,0.4916411875575576,0.125,0.3825535660449748,0.04781919575562185,0.5394603833131795,0.0,0.5,0.25,False
304450,0.4692457571961906,0.8933333333333333,0.3825535660449748,0.34174785233351085,0.8109936095297015,1.0,0.8,0.3333333333333333,True
305780,0.011544017407745518,0.04000000000000001,0.3825535660449748,0.015302142641798995,0.026846160049544515,0.0,0.2,0.0,False
305885,0.5041954767371609,0.16666666666666669,0.3825535660449748,0.06375892767416248,0.5679544044113234,0.0,0.5,0.6666666666666666,False
306060,0.9586660772835491,0.68,0.3825535660449748,0.26013642491058286,1.218802502194132,0.6,0.8,1.0,True
306091,0.026901195903664007,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.045391284929171126,0.0,0.2,0.08333333333333333,False
306224,0.6977682176760553,0.05666666666666667,0.3825535660449748,0.02167803540921524,0.7194462530852705,0.0,0.2,0.16666666666666666,False
306279,0.11890922201749513,0.6633333333333334,0.3825535660449748,0.2537605321431667,0.37266975416066184,0.6,0.8,0.8333333333333334,True
306365,0.11459018991859174,0.1766666666666667,0.3825535660449748,0.06758446333461222,0.18217465325320398,0.0,0.8,0.16666666666666666,False
306369,0.793105544009258,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.8115956330347651,0.0,0.2,0.08333333333333333,False
306444,0.23297136771692128,0.04000000000000001,0.3825535660449748,0.015302142641798995,0.24827351035872028,0.0,0.2,0.0,False
306450,0.927722357640892,0.065,0.3825535660449748,0.024865981792923365,0.9525883394338153,0.0,0.2,0.25,False
306623,0.729519871004762,0.5700000000000001,0.3825535660449748,0.21805553264563568,0.9475754036503977,0.6,0.5,0.5,True
306844,0.21818043700793505,0.68,0.3825535660449748,0.26013642491058286,0.4783168619185179,0.6,0.8,1.0,True
307039,0.25096023060396716,0.9183333333333333,0.3825535660449748,0.3513116914846352,0.6022719220886024,1.0,0.8,0.5833333333333334,True
307274,0.44831911171371175,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.4668092007392189,0.0,0.2,0.08333333333333333,False
307373,0.16717947203516817,0.91,0.3825535660449748,0.3481237451009271,0.5153032171360953,1.0,0.8,0.5,True
307557,0.02838941882402823,0.04833333333333334,0.3825535660449748,0.01849008902550712,0.046879507849535346,0.0,0.2,0.08333333333333333,False
307564,1.1769618629836684,0.04000000000000001,0.3825535660449748,0.015302142641798995,1.1922640056254674,0.0,0.2,0.0,False
307832,0.11107159426714755,0.16000000000000003,0.3825535660449748,0.06120857056719598,0.17228016483434352,0.0,0.8,0.0,False
308269,0.5017140717206499,0.6383333333333334,0.3825535660449748,0.2441966929920423,0.7459107647126921,0.6,0.8,0.5833333333333334,True
308367,0.1782977839483315,0.16833333333333336,0.3825535660449748,0.0643965169509041,0.2426943008992356,0.0,0.8,0.08333333333333333,False
308471,0.7453608609034089,0.05666666666666667,0.3825535660449748,0.02167803540921524,0.7670388963126241,0.0,0.2,0.16666666666666666,False
308540,0.35134554472877394,0.8933333333333333,0.3825535660449748,0.34174785233351085,0.6930933970622848,1.0,0.8,0.3333333333333333,True
308581,0.9493328856923555,0.825,0.3825535660449748,0.3156066919871042,1.2649395776794599,1.0,0.5,0.25,True
308786,0.250193187939772,0.6050000000000001,0.3825535660449748,0.2314449074572098,0.4816380953969818,0.6,0.8,0.25,True
308806,0.11702470672472903,0.065,0.3825535660449748,0.024865981792923365,0.1418906885176524,0.0,0.2,0.25,False
309042,1.7686697775895934,0.23500000000000004,0.3825535660449748,0.08990008802056909,1.8585698656101626,0.0,0.8,0.75,False
309156,0.42314119784361065,0.05666666666666667,0.3825535660449748,0.02167803540921524,0.4448192332528259,0.0,0.2,0.16666666666666666,False
309553,0.013383830404940397,0.8766666666666667,0.3825535660449748,0.3353719595660946,0.348755789971035,1.0,0.8,0.16666666666666666,True
309663,0.6536545328605822,0.16833333333333336,0.3825535660449748,0.0643965169509041,0.7180510498114863,0.0,0.8,0.08333333333333333,False
