,GA_Balanced
0.0,0.02534149799935983
0.05,0.02535465904470556
0.1,0.025413564783787097
0.15000000000000002,0.025488946969330822
0.2,0.025565794782707218
0.25,0.025644130230107805
0.30000000000000004,0.02573222864392051
0.35000000000000003,0.025831328164142204
0.4,0.02595426812231956
0.45,0.02608078623077811
0.5,0.02621067993417881
0.55,0.026356514258801894
0.6000000000000001,0.026516562491328072
0.65,0.026680134502149552
0.7000000000000001,0.026846763072865078
0.75,0.027041288573160988
0.8,0.027252527515773808
0.8500000000000001,0.027468583378148805
0.9,0.027694897202601248
0.9500000000000001,0.02792730505927655
1.0,0.0281677454117576
1.05,0.028412786822344605
1.1,0.02866249552336731
1.1500000000000001,0.028916937983317743
1.2000000000000002,0.029179887662660862
1.25,0.029452282188949682
1.3,0.029729776665348727
1.35,0.030012440846097596
1.4000000000000001,0.030300344599885065
1.4500000000000002,0.030593786742475374
1.5,0.030894170709054636
1.55,0.031200046412000762
1.6,0.03151186300663311
1.6500000000000001,0.03183109269885386
1.7000000000000002,0.03215607616211119
1.75,0.032486884883167755
1.8,0.03282359020434611
1.85,0.03316626328558386
1.9000000000000001,0.03351497506585735
1.9500000000000002,0.03386979622401462
2.0,0.034230797139060645
2.0500000000000003,0.03459804784993995
2.1,0.03497161801486365
2.15,0.03535157687023027
2.2,0.03573799318919064
2.25,0.03613093523991004
2.3000000000000003,0.03653047074358121
2.35,0.03693666683224392
2.4000000000000004,0.0373495900064677
2.45,0.03776930609295577
2.5,0.038195880202128475
2.5500000000000003,0.03862937668574615
2.6,0.03906985909463088
2.6500000000000004,0.039517390136548224
2.7,0.03997203163430846
2.75,0.040433844484148676
2.8000000000000003,0.040902888614455644
2.85,0.0413792229448889
2.9000000000000004,0.04186290534596387
2.95,0.04235399259915267
3.0,0.042852540357560275
3.0500000000000003,0.043358603107231795
3.1,0.04387223412914536
3.1500000000000004,0.044393485461943716
3.2,0.044922407865455274
3.25,0.045459050785053745
3.3000000000000003,0.04600346231690349
3.35,0.046555689174134336
3.4000000000000004,0.04711577665398874
3.45,0.0476837686059798
3.5,0.04825970740109732
3.5500000000000003,0.048843633902094986
3.6,0.04943558743488975
3.6500000000000004,0.05003560576110083
3.7,0.05064372505175217
3.75,0.051259979862160576
3.8000000000000003,0.051884403108026014
3.85,0.052517026042739716
3.9000000000000004,0.0531578782359206
3.95,0.05380698755318781
4.0,0.054464380137174424
4.05,0.05513008038978299
4.1000000000000005,0.05580411095568122
4.15,0.056486492707032265
4.2,0.05717724472945196
4.25,0.057876384309180975
4.3,0.05858392692145853
4.3500000000000005,0.059299886220079694
4.4,0.06002427402811808
4.45,0.060757100329790634
4.5,0.061498373263441056
4.55,0.06224809911561473
4.6000000000000005,0.06300628231619737
4.65,0.06377292543458651
4.7,0.06454802917686454
4.75,0.06533159238393979
4.800000000000001,0.06612361203062132
4.8500000000000005,0.06692408322559242
4.9,0.06773299921224621
4.95,0.0685503513703473
5.0,0.06937612921848219
5.050000000000001,0.07021032041726138
5.1000000000000005,0.0710529107732367
5.15,0.07190388424349625
5.2,0.07276322294090223
5.25,0.0736309071399347
5.300000000000001,0.07450691528310761
5.3500000000000005,0.07539122398792343
5.4,0.07628380805433393
5.45,0.07718464047267615
5.5,0.07809369243205415
5.550000000000001,0.07901093332913922
5.6000000000000005,0.0799363307773617
5.65,0.08086985061647116
5.7,0.08181145692244218
5.75,0.08276111201770603
5.800000000000001,0.08371877648169015
5.8500000000000005,0.08468440916164938
5.9,0.08565796718377572
5.95,0.086639405964575
6.0,0.08762867922250124
6.050000000000001,0.08862573898984166
6.1000000000000005,0.08963053562484755
6.15,0.090643017824109
6.2,0.09166313263517153
6.25,0.09269082546939746
6.300000000000001,0.09372604011507452
6.3500000000000005,0.09476871875077746
6.4,0.09581880195898942
6.45,0.09687622873999191
6.5,0.09794093652603336
6.550000000000001,0.09901286119578814
6.6000000000000005,0.10009193708911826
6.65,0.10117809702215316
6.7,0.10227127230270067
6.75,0.10337139274600624
6.800000000000001,0.1044783866908767
6.8500000000000005,0.10559218101618488
6.9,0.10671270115777343
6.95,0.10783987112577431
7.0,0.10897361352236226
7.050000000000001,0.11011384955995943
