,GA_Efficiency
0.0,0.30940698174434966
0.05,0.30940698174434966
0.1,0.30944200417438017
0.15000000000000002,0.3095087099876444
0.2,0.3095928247679053
0.25,0.30968045774482855
0.30000000000000004,0.3097869514776517
0.35000000000000003,0.3099332185662449
0.4,0.310195237989361
0.45,0.31048831305323615
0.5,0.3107938176043135
0.55,0.31111818996879037
0.6000000000000001,0.3114841699127162
0.65,0.3118656062449337
0.7000000000000001,0.3122852272576173
0.75,0.3127328575677405
0.8,0.31319846964173104
0.8500000000000001,0.31374476378117955
0.9,0.3143333424257929
0.9500000000000001,0.31494532875896974
1.0,0.3155813669249266
1.05,0.3162421014076348
1.1,0.3169281759343363
1.1500000000000001,0.31764023233497446
1.2000000000000002,0.31838538549169576
1.25,0.3191659892623315
1.3,0.319975049283948
1.35,0.3208132050540688
1.4000000000000001,0.32168108808295115
1.4500000000000002,0.3225793205122509
1.5,0.32350851370430334
1.55,0.3244692668051809
1.6,0.3254621652848958
1.6500000000000001,0.32648777945833013
1.7000000000000002,0.3275466629906703
1.75,0.32863935139131395
1.8,0.3297663605003994
1.85,0.3309281849722728
1.9000000000000001,0.3321252967603663
1.9500000000000002,0.33335814360810023
2.0,0.33462714755054707
2.0500000000000003,0.3359327034317074
2.1,0.3372751774423388
2.15,0.3386549056833499
2.2,0.34007219275983075
2.25,0.3415323395050892
2.3000000000000003,0.34303157699404485
2.35,0.344569379022401
2.4000000000000004,0.34614592142439105
2.45,0.3477613422795647
2.5,0.3494157407839886
2.5500000000000003,0.351109176186345
2.6,0.35284166679365436
2.6500000000000004,0.354613189051199
2.7,0.35642367670106556
2.75,0.3582730200235313
2.8000000000000003,0.36016106516531066
2.85,0.3620876135584448
2.9000000000000004,0.3640524214333653
2.95,0.36605519942938575
3.0,0.36809561230558724
3.0500000000000003,0.37018679578350977
3.1,0.37231596992300525
3.1500000000000004,0.3744819720928505
3.2,0.37668429522693536
3.25,0.3789223866513452
3.3000000000000003,0.3811956484304317
3.35,0.383503437823735
3.4000000000000004,0.3858450678538348
3.45,0.38822009191794565
3.5,0.39063751877023345
3.5500000000000003,0.3930866711849609
3.6,0.3955666963589335
3.6500000000000004,0.3980767017532214
3.7,0.40061575630432356
3.75,0.40318289173535393
3.8000000000000003,0.40581307819948165
3.85,0.4084886096322417
3.9000000000000004,0.41119165285083614
3.95,0.4139211932839332
4.0,0.4166761881895027
4.05,0.41945556838083453
4.1000000000000005,0.42225824001552104
4.15,0.42508308644191706
4.2,0.42792897009736197
4.25,0.4307947344522446
4.3,0.4336792059938157
4.3500000000000005,0.4365821501639797
4.4,0.4395096518798963
4.45,0.44245254206182477
4.5,0.445409606885584
4.55,0.4483833524041526
4.6000000000000005,0.45137430272300344
4.65,0.4543822011132366
4.7,0.4573999276546309
4.75,0.46042627209166176
4.800000000000001,0.4634629970463314
4.8500000000000005,0.46651334197222594
4.9,0.46957454799936504
4.95,0.47265018998263986
5.0,0.4757293618935785
5.050000000000001,0.47881092800817093
5.1000000000000005,0.4818937678356249
5.15,0.4849767777583817
5.2,0.4880588726014926
5.25,0.4911389871272224
5.300000000000001,0.49421607745110463
5.3500000000000005,0.49728912237602124
5.4,0.5003571246412688
5.45,0.5034191120839434
5.5,0.5064741387103799
5.550000000000001,0.5095212856757698
5.6000000000000005,0.5125786351213475
5.65,0.5156273978445461
