,GA_Balanced
0.0,0.5264269845321845
0.05,0.5268319643340502
0.1,0.527398916159652
0.15000000000000002,0.5281164142835313
0.2,0.5290139308204604
0.25,0.5301167682173118
0.30000000000000004,0.5314551316844164
0.35000000000000003,0.533046569479507
0.4,0.5349113438877755
0.45,0.5370835954151354
0.5,0.5395629386161971
0.55,0.5423530486534204
0.6000000000000001,0.5454500678582732
0.65,0.5488590952386667
0.7000000000000001,0.552587393367466
0.75,0.5566188597505097
0.8,0.5609342488754958
0.8500000000000001,0.565509681693072
0.9,0.570316481693836
0.9500000000000001,0.5753203787082697
1.0,0.5804822195506025
1.05,0.5857589068851731
1.1,0.5911044967799839
1.1500000000000001,0.5964714409420834
1.2000000000000002,0.6018117944110674
1.25,0.6070785899158038
1.3,0.6122269941658878
1.35,0.617215471102626
1.4000000000000001,0.6220067639021021
1.4500000000000002,0.6265686554738648
1.5,0.6308745557304306
1.55,0.6349039113386714
1.6,0.6386423663327021
1.6500000000000001,0.6420812847330335
1.7000000000000002,0.6452184188938044
1.75,0.6480558022082465
1.8,0.6506006514530862
1.85,0.6528642623851898
1.9000000000000001,0.6548610209602266
1.9500000000000002,0.6566079461223048
2.0,0.6581238534939473
2.0500000000000003,0.65942867651098
2.1,0.660542799905743
2.15,0.661486563057547
2.2,0.6622797472286588
2.25,0.6629412211260639
2.3000000000000003,0.6634886587593605
2.35,0.6639383411398976
2.4000000000000004,0.6643050358948133
2.45,0.6646019558493543
2.5,0.6648407511716292
2.5500000000000003,0.6650315570649871
2.6,0.6651831155233534
2.6500000000000004,0.6653028238241727
2.7,0.6653969253733047
2.75,0.6654705805165785
2.8000000000000003,0.6655280462457354
2.85,0.6655727806317839
2.9000000000000004,0.6656075520787073
2.95,0.6656345828404846
3.0,0.6656556208953492
3.0500000000000003,0.6656720362588507
3.1,0.6656848763136035
3.1500000000000004,0.665694980300934
3.2,0.6657029572388395
3.25,0.6657092873989106
3.3000000000000003,0.6657143382768718
3.35,0.6657183852149668
3.4000000000000004,0.6657216378843341
3.45,0.6657242628978147
3.5,0.6657263824450932
3.5500000000000003,0.6657280884902034
3.6,0.6657294591911043
3.6500000000000004,0.6657305672986663
3.7,0.6657314508017906
3.75,0.6657321535034333
3.8000000000000003,0.6657327099036232
3.85,0.6657331491113692
3.9000000000000004,0.6657334912623136
3.95,0.6657337569574673
4.0,0.6657339607957588
4.05,0.6657341170157935
4.1000000000000005,0.665734234487916
4.15,0.6657343232356174
4.2,0.66573438868555
4.25,0.6657344369851356
4.3,0.6657344722394986
4.3500000000000005,0.6657344978970479
4.4,0.6657345161713961
4.45,0.6657345290875142
4.5,0.6657345381719671
4.55,0.6657345445106565
4.6000000000000005,0.6657345488670632
4.65,0.6657345518480264
4.7,0.6657345538668796
4.75,0.6657345552199706
4.800000000000001,0.6657345561116901
4.8500000000000005,0.6657345567085258
4.9,0.6657345570918927
4.95,0.665734557333435
5.0,0.6657345574898172
5.050000000000001,0.6657345575906499
5.1000000000000005,0.665734557656429
5.15,0.6657345576979675
5.2,0.6657345577249114
5.25,0.6657345577303176
5.300000000000001,0.6657345577470322
5.3500000000000005,0.6657345577497353
5.4,0.6657345577497353
5.45,0.6657345577524385
5.5,0.6657345577524385
5.550000000000001,0.6657345577524385
5.6000000000000005,0.6657345577524385
5.65,0.6657345577524385
5.7,0.6657345577524385
5.75,0.6754964273873182
5.800000000000001,0.6809812366443424
5.8500000000000005,0.6865202854576629
5.9,0.6917820520263966
5.95,0.6997914898393575
6.0,0.7082335058687967
6.050000000000001,0.7136228890260953
6.1000000000000005,0.7195012262978302
6.15,0.7280799526478088
6.2,0.7319904580040376
6.25,0.7343704689480622
6.300000000000001,0.7350419960472241
6.3500000000000005,0.7364542397346743
6.4,0.7388713504377451
6.45,0.7406244335405797
6.5,0.7413344169090225
6.550000000000001,0.7420433883201153
6.6000000000000005,0.7427511527345629
6.65,0.7434575170993641
6.7,0.744162288577412
6.75,0.744865276411451
6.800000000000001,0.7455662923234634
6.8500000000000005,0.7462651473067998
6.9,0.7469616553136376
6.95,0.7476556300865149
7.0,0.7483468917762135
7.050000000000001,0.7490352622310636
7.1000000000000005,0.7497205592420491
7.15,0.7504026105647288
7.2,0.7510812435507195
7.25,0.7517562878253243
7.300000000000001,0.752489371319873
7.3500000000000005,0.7531574575523574
7.4,0.7540935907419903
7.45,0.7547566738975084
7.5,0.7554153705112938
7.550000000000001,0.7560890563799498
7.6000000000000005,0.756738764526448
7.65,0.7573836392152062
7.7,0.7580235410976459
7.75,0.7586583321320736
7.800000000000001,0.7592878788826016
7.8500000000000005,0.7599120535513028
7.9,0.7605307303907598
7.95,0.761143787455483
8.0,0.7617511090393081
8.05,0.7623525809472875
8.1,0.7629480958893285
8.15,0.7635375504167481
8.200000000000001,0.7641208450659919
8.25,0.7646978838653022
8.3,0.7652685762210867
8.35,0.7658328353659145
8.4,0.7663905817518007
8.450000000000001,0.7669417358879616
8.5,0.7674862264543215
8.55,0.7680239849590251
8.6,0.7685549484454159
8.65,0.7690790578733915
8.700000000000001,0.7695962567498924
8.75,0.7701064977070582
8.8,0.7706097341415112
8.85,0.7711059266714878
8.9,0.7715950351973351
8.950000000000001,0.7720770311486629
9.0,0.7725518848823014
9.05,0.7730195736319808
9.1,0.7734800770804146
9.15,0.7739333821224197
9.200000000000001,0.7743794781255653
9.25,0.7748183547068119
9.3,0.7752500153351736
9.35,0.7756744567079383
9.4,0.7760916862483006
9.450000000000001,0.7765017125737432
9.5,0.7769045486942412
9.55,0.777300210929108
9.600000000000001,0.7776887220205
9.65,0.7780701021389745
9.700000000000001,0.7784443812612822
9.75,0.7788115911555411
9.8,0.7791717626725854
9.850000000000001,0.7795249348599131
9.9,0.7798711491842357
9.950000000000001,0.7802104457552382
10.0,0.7805428747468595
10.05,0.7808684829459032
10.100000000000001,0.7811873222403021
10.15,0.7814994472060383
10.200000000000001,0.781804915972713
10.25,0.7821037867894585
10.3,0.7823961216329115
10.350000000000001,0.7826819846112127
10.4,0.7829614416251256
10.450000000000001,0.7832345617668215
10.5,0.7835014133102747
10.55,0.7837620693455989
10.600000000000001,0.784016603917884
10.65,0.7842650888059595
10.700000000000001,0.7845076053966875
10.75,0.7847442288749653
10.8,0.784975040174291
10.850000000000001,0.7852001166791396
10.9,0.785419545414098
10.950000000000001,0.7856334057541043
11.0,0.7858417804065945
11.05,0.7860447569997604
11.100000000000001,0.7862424189567857
11.15,0.786434853345652
11.200000000000001,0.7866221451200872
11.25,0.7868043829200866
11.3,0.7869816539192296
11.350000000000001,0.7871540458775627
11.4,0.7873216449044202
11.450000000000001,0.787484542234607
11.5,0.7876428228617356
11.55,0.7877965781929688
11.600000000000001,0.787945895735594
11.65,0.788090862357109
11.700000000000001,0.788231566299481
11.75,0.7883680958134278
11.8,0.7890842702493975
11.850000000000001,0.7896324652900527
11.9,0.7897662601979674
11.950000000000001,0.8016193731499712
12.0,0.8022372271077884
12.05,0.8253211308554464
12.100000000000001,0.8289828908274116
12.15,0.8451612694847738
12.200000000000001,0.855114109185033
12.25,0.8581287169057011
12.3,0.8637266795959377
12.350000000000001,0.8644631748179409
12.4,0.8666087274843193
12.450000000000001,0.8692883067593402
12.5,0.8701427369238539
12.55,0.8741080250073385
