,GA_HospFirst
0.0,0.0006033614976597349
0.05,0.0006033614976597349
0.1,0.0006033614976597349
0.15000000000000002,0.0006033744007462706
0.2,0.0006034543624163329
0.25,0.0006035914110994558
0.30000000000000004,0.0006039713446269458
0.35000000000000003,0.0006047793717585605
0.4,0.0006063510421341503
0.45,0.0006083159434849363
0.5,0.0006106967462561534
0.55,0.000613490272821987
0.6000000000000001,0.0006167360350024673
0.65,0.0006204704716561969
0.7000000000000001,0.0006247251204446122
0.75,0.0006297582539828881
0.8,0.0006355195015835581
0.8500000000000001,0.0006420083819085696
0.9,0.0006491700294676957
0.9500000000000001,0.0006570014611129649
1.0,0.0006654868427876548
1.05,0.0006745968966441647
1.1,0.0006842887383289575
1.1500000000000001,0.0006945063144138998
1.2000000000000002,0.0007051811863608051
1.25,0.0007162339913974404
1.3,0.0007275761532086898
1.35,0.0007391121169054933
1.4000000000000001,0.0007507418103081864
1.4500000000000002,0.0007623632319789252
1.5,0.0007738751651180191
1.55,0.0007851798352069468
1.6,0.0007961852821296717
1.6500000000000001,0.0008068075868170616
1.7000000000000002,0.0008169726926026653
1.75,0.0008266177774649145
1.8,0.0008356922115074206
1.85,0.0008441580546791896
1.9000000000000001,0.0008519900873777992
1.9500000000000002,0.0008591754087049394
2.0,0.0008657127082007095
2.0500000000000003,0.0008716112133613912
2.1,0.000876889431744551
2.15,0.0008815736827859453
2.2,0.0008856966041314762
2.25,0.00088929566141212
2.3000000000000003,0.0008924115619212472
2.35,0.0008950869946973132
2.4000000000000004,0.0008973653075830023
2.45,0.0008992894506289045
2.5,0.0009009010229805057
2.5500000000000003,0.0009022396321461572
2.6,0.0009033422464935546
2.6500000000000004,0.0009042428732413168
2.7,0.0009049723479545695
2.75,0.0009055582203103475
2.8000000000000003,0.000906024758974055
2.85,0.000906393102491758
2.9000000000000004,0.0009066814336952491
2.95,0.0009069051941990717
3.0,0.0009070773142843224
3.0500000000000003,0.0009072085998462809
3.1,0.0009073078105351022
3.1500000000000004,0.0009073821492943696
3.2,0.000907437358662326
3.25,0.0009074779862964309
3.3000000000000003,0.0009075076162465967
3.35,0.0009075290311469232
3.4000000000000004,0.000907544372115152
3.45,0.0009075552550543409
3.5,0.0009075629150627103
3.5500000000000003,0.0009075682506601028
3.6,0.0009075719255232635
3.6500000000000004,0.0009075744423073439
3.7,0.0009075761453039367
3.75,0.0009075772925249039
3.8000000000000003,0.0009075780489207924
3.85,0.0009075785560613184
3.9000000000000004,0.0009075788868972898
3.95,0.0009075790935089673
4.0,0.0009075792379285922
4.05,0.0009075793204699154
4.1000000000000005,0.0009075793695712452
4.15,0.0009075794019651
4.2,0.000907579422511984
4.25,0.000907579432785426
4.3,0.000907579443058868
4.3500000000000005,0.000907579444982994
4.4,0.000907579451408184
4.45,0.0009075794533323099
4.5,0.0009075794533323099
4.55,0.0009075794533323099
4.6000000000000005,0.0009075794533323099
4.65,0.0009075794533323099
4.7,0.0009075794533323099
4.75,0.0009075794533323099
4.800000000000001,0.0009075794533323099
4.8500000000000005,0.0009075794533323099
4.9,0.0009075794533323099
4.95,0.0009075794533323099
5.0,0.0009075794533323099
5.050000000000001,0.0009075794533323099
5.1000000000000005,0.0009075794533323099
5.15,0.0009075794533323099
5.2,0.0009075794533323099
5.25,0.0009075794533323099
5.300000000000001,0.0009075794533323099
5.3500000000000005,0.0009075794533323099
5.4,0.0009075794533323099
5.45,0.0009075794533323099
5.5,0.0009075794533323099
5.550000000000001,0.0009075794533323099
5.6000000000000005,0.0009075794533323099
5.65,0.0009075794533323099
5.7,0.0009075794533323099
5.75,0.0009075794533323099
5.800000000000001,0.0009075794533323099
5.8500000000000005,0.0009075794533323099
5.9,0.0009200018316670763
5.95,0.0009318820546043554
6.0,0.0011352586295131425
6.050000000000001,0.0011459377824729945
6.1000000000000005,0.001600863669346862
6.15,0.0016478584525220987
6.2,0.001656395410413995
6.25,0.0016640596313262446
6.300000000000001,0.0016752747779681305
6.3500000000000005,0.0016829862839279873
6.4,0.001696803728096578
6.45,0.0017974448586923044
6.5,0.0018060677881759487
6.550000000000001,0.0019222893380016182
6.6000000000000005,0.001931530256593431
6.65,0.0019407592079420737
6.7,0.0019499736674685386
6.75,0.0019591711348236444
6.800000000000001,0.0019683491096460313
6.8500000000000005,0.0019775050851611607
6.9,0.0019866365633904788
6.95,0.001995741120442833
7.0,0.002004816275974152
7.050000000000001,0.0020138596088283243
7.1000000000000005,0.00202286883565925
7.15,0.002031841501002495
7.2,0.002040775268740448
7.25,0.0020496679348145155
7.300000000000001,0.0020585171345922377
7.3500000000000005,0.002067320737759083
7.4,0.0020760764651581724
7.45,0.0020847822236297504
7.5,0.002093435859020031
7.550000000000001,0.0021020353494602315
7.6000000000000005,0.0021105786529426428
7.65,0.0021190637283909517
7.7,0.0021274886999322253
7.75,0.0021358516418363994
7.800000000000001,0.0021441507574496534
7.8500000000000005,0.0021523841594681403
7.9,0.0021605502131795654
7.95,0.0021686471565606014
8.0,0.0021766734028354833
8.05,0.0021846273487476494
8.1,0.002192507386299848
8.15,0.0022003121529612568
8.200000000000001,0.0022080401637819165
8.25,0.0022156900416291075
8.3,0.002223260541801937
8.35,0.00223075031170995
8.4,0.0022381582897149947
8.450000000000001,0.00224548320801491
8.5,0.0022527240934221504
8.55,0.002259879902503112
8.6,0.0022669496061384483
8.65,0.0022739323944987945
8.700000000000001,0.002280827419541622
8.75,0.0022876338150111366
8.8,0.0022943509519669364
8.85,0.0023009781143556486
8.9,0.0023075147051876796
8.950000000000001,0.0023139601688372496
9.0,0.0023203140193932834
9.05,0.0023265758554423754
9.1,0.0023327452797097543
9.15,0.002338821984028099
9.200000000000001,0.002344805627781185
9.25,0.0023506961023186425
9.3,0.002356493222994592
9.35,0.0023621968791984744
9.4,0.002367807014136658
9.450000000000001,0.002373323622710916
9.5,0.0023787468200413236
9.55,0.002384076663384294
9.600000000000001,0.0023893132960767175
9.65,0.002394456965006407
9.700000000000001,0.002399507852864668
9.75,0.0024044663788636883
9.8,0.002409332755203328
9.850000000000001,0.002414107451894504
9.9,0.002418790887051033
9.950000000000001,0.002423383503105733
10.0,0.0024278858587476627
10.05,0.0024322984263033766
10.100000000000001,0.002436621908764803
10.15,0.0024408568069358484
10.200000000000001,0.0024450039108117956
10.25,0.0024490638508766465
10.3,0.002453037338961904
10.350000000000001,0.002456925193822569
10.4,0.0024607281634272792
10.450000000000001,0.002464447073377443
10.5,0.002468082806808312
10.55,0.0024716361789960646
10.600000000000001,0.0024751081668848893
10.65,0.002478499648144245
10.700000000000001,0.002481811590498763
10.75,0.002485044985179643
10.8,0.00248820074634471
10.850000000000001,0.002491279964777402
10.9,0.0024942836312735078
10.950000000000001,0.0024972127977063163
11.0,0.0025000685133988103
11.05,0.0025028518090401794
11.100000000000001,0.0025055638326010833
11.15,0.002508205672964785
11.200000000000001,0.0025107784033235447
11.25,0.0025132831198320534
11.3,0.002515721000115273
11.350000000000001,0.002518093135896813
11.4,0.002520400728593108
11.450000000000001,0.0025226447647741495
11.5,0.002524826550176723
11.55,0.0025269470736564124
11.600000000000001,0.0025290076632335785
11.65,0.002531009289067517
11.700000000000001,0.0025329531705963323
11.75,0.00253484045136705
11.8,0.002536672297389139
11.850000000000001,0.0025496692321656106
11.9,0.0025515009348592473
11.950000000000001,0.004624317029826514
12.0,0.006747601231729712
12.05,0.01003918603576922
12.100000000000001,0.01929472844163602
12.15,0.027496761819770538
12.200000000000001,0.031463263546483794
12.25,0.03760446524969405
12.3,0.04318149055958752
12.350000000000001,0.050160387952631905
12.4,0.05562443414493444
12.450000000000001,0.05605086892335671
12.5,0.0611497615152517
12.55,0.07247893653592795
12.600000000000001,0.08075253879061077
12.65,0.08136161853563087
12.700000000000001,0.08196997077879994
12.75,0.08257750456611368
12.8,0.08318413172274985
12.850000000000001,0.08378976346039446
12.9,0.08439430911946602
12.950000000000001,0.0849976853446444
13.0,0.08559980040655249
13.05,0.08620057008203805
13.100000000000001,0.08679990724037186
13.15,0.087397724135407
13.200000000000001,0.08799393468121655
13.25,0.08858845638209255
13.3,0.08918120564442801
13.350000000000001,0.08977209528838753
13.4,0.0903610465783943
13.450000000000001,0.09094797394931604
13.5,0.09153279830740177
13.55,0.09211543823323234
13.600000000000001,0.09269581490682835
13.65,0.09327384995299118
13.700000000000001,0.09384946358465103
13.75,0.0944225813680185
13.8,0.09499312694407278
13.850000000000001,0.0955610261668307
13.9,0.0961262031898216
13.950000000000001,0.09668858906532536
14.0,0.09724810883463365
14.05,0.09780469599655946
14.100000000000001,0.09835827905923344
14.15,0.09890879050546435
14.200000000000001,0.09945616521252362
14.25,0.10000033678687022
14.3,0.10054124191685002
14.350000000000001,0.10107881773124894
14.4,0.1016130038183603
14.450000000000001,0.10214373951327256
14.5,0.10267096613354978
14.55,0.10319462783277875
14.600000000000001,0.1037146671206388
14.65,0.10423103225392252
14.700000000000001,0.10474366754437812
14.75,0.10525252512968308
14.8,0.10575755218190439
14.850000000000001,0.10625870278532124
14.9,0.10675592890677423
14.950000000000001,0.10724918653962223
15.0,0.10773843070403771
15.05,0.10822362072447841
15.100000000000001,0.10870471534026904
15.15,0.10918167660446126
15.200000000000001,0.10965446417955405
15.25,0.11012304489652054
15.3,0.11058738407470914
15.350000000000001,0.11104745019001848
15.4,0.11150320955939247
15.450000000000001,0.11195463640363051
15.5,0.11240169828548319
15.55,0.1128443722954492
15.600000000000001,0.11328263231661
15.65,0.11371645752659004
15.700000000000001,0.11414582354215305
15.75,0.11457071151347348
15.8,0.11499110332140432
15.850000000000001,0.115406982659837
15.9,0.11581833191314198
15.950000000000001,0.11622513911076257
16.0,0.11662739452959832
16.05,0.11702508233356541
16.1,0.11741819762328257
16.150000000000002,0.11780673065959174
16.2,0.11819067610154156
16.25,0.11857002929213287
16.3,0.11894478615386969
16.35,0.11931494509910531
16.400000000000002,0.1196805082134306
16.45,0.12004147326354622
16.5,0.12039784384925575
16.55,0.12074962391675745
16.6,0.12109682018954526
16.650000000000002,0.12143943664534536
16.7,0.12177748234414026
16.75,0.1221109667848859
16.8,0.12243990015207118
16.85,0.12276429299936753
16.900000000000002,0.12308416005937818
16.95,0.12339951460048582
17.0,0.12371037155295261
17.05,0.12401674868332146
17.1,0.12431866174544395
17.150000000000002,0.12461613189633597
17.2,0.1249091765303017
17.25,0.12519781830471916
17.3,0.1254820779089733
17.35,0.12576198029447183
17.400000000000002,0.12603754676930828
17.45,0.1263088033455684
17.5,0.12657577680087134
17.55,0.12683849262110797
17.6,0.1270969788277867
17.650000000000002,0.12735126410674275
17.7,0.12760137851372388
17.75,0.1278473507353437
17.8,0.1280892109333131
17.85,0.12832699412949233
17.900000000000002,0.12856073040190238
17.95,0.12879045274123327
18.0,0.12901619604382086
18.05,0.12923799322936674
18.1,0.12945588020677085
18.150000000000002,0.12966989205126436
18.2,0.12988006607170477
18.25,0.1300864378574449
18.3,0.13028904538933378
18.35,0.13048792593665529
18.400000000000002,0.1306831164332488
18.45,0.13087465935227377
18.5,0.13106258843383473
18.55,0.13124694635409503
18.6,0.13142777268448097
18.650000000000002,0.1316051049113453
18.7,0.13177898845623554
18.75,0.1319494586298035
18.8,0.13211655776576212
18.85,0.13228032930708217
18.900000000000002,0.13244081241355393
18.95,0.13259804879216414
19.0,0.13275208070028183
19.05,0.132902949540615
19.1,0.1330506982517306
19.150000000000002,0.13319536721821026
19.200000000000003,0.1333369983840934
19.25,0.13347563551806627
19.3,0.13361132011066715
19.35,0.13374409315214844
19.400000000000002,0.13387399946015685
19.450000000000003,0.13400107791967328
19.5,0.13412537442273267
19.55,0.1342469272983194
19.6,0.13436578138171992
19.650000000000002,0.13448197545333646
19.700000000000003,0.13459555484008975
19.75,0.13470655896400927
19.8,0.1348150293618767
19.85,0.13492100815902264
19.900000000000002,0.13502453607841583
19.950000000000003,0.13512565256039805
20.0,0.13522440109156908
20.05,0.13532081986388877
20.1,0.13541495147429633
20.150000000000002,0.13550683194156157
20.200000000000003,0.13559650580692392
20.25,0.1356840085645476
20.3,0.13576938235547467
20.35,0.13585266460157108
20.400000000000002,0.1359338939916015
20.450000000000003,0.13601310823597174
20.5,0.13609036265493105
20.55,0.1361656902775636
20.6,0.13623912059157006
20.650000000000002,0.1363106913975909
20.700000000000003,0.1363804415860293
20.75,0.13644840708223022
20.8,0.13651462428330466
20.85,0.136579128829863
20.900000000000002,0.1366419586864494
20.950000000000003,0.13670314365314346
21.0,0.13676272243587292
21.05,0.1368207270684677
21.1,0.13687719097709644
21.150000000000002,0.13693214739486567
21.200000000000003,0.1369856260490243
21.25,0.13703766111810856
21.3,0.13708828072479373
21.35,0.13713751558417048
21.400000000000002,0.13718539493452403
21.450000000000003,0.13723195806056704
21.5,0.13727724327277846
21.55,0.13732126440743975
21.6,0.13736405113973732
21.650000000000002,0.13740562775257964
21.700000000000003,0.13744605164424878
21.75,0.1374853661072365
21.8,0.13752356964594445
21.85,0.13756068940814417
21.900000000000002,0.1375967547506218
21.950000000000003,0.13763179219731364
22.0,0.13766582978858904
22.05,0.1376988943412382
22.1,0.13773100985026082
22.150000000000002,0.13776230590009225
22.200000000000003,0.13779279622777857
22.25,0.1378224493821273
22.3,0.1378512938063749
22.35,0.13787935288609396
22.400000000000002,0.13790665163812776
22.450000000000003,0.13793321479232334
22.5,0.13795906186199908
22.55,0.13798421300941308
22.6,0.13800868586661333
