repair_order,substation_id,Crew_ID,Crew_Origin_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,309042,0,D01,C57,0.0293090807826954,6.507141661540529,0.0293090807826954,6.477832580757833
2,305984,1,D02,C57,0.2766566541556225,2.0595510484061004,0.2766566541556225,1.7828943942504778
3,308269,2,D02,C57,0.0912514049822256,6.897706374155011,0.0912514049822256,6.806454969172786
4,308540,3,D02,C57,0.4549258862924641,1.5417302435132814,0.4549258862924641,1.0868043572208173
5,303899,4,D02,C57,0.1733616579258699,12.502601948087452,0.1733616579258699,12.329240290161582
6,302798,5,D02,C57,0.1100605199748342,4.55310388085325,0.1100605199748342,4.4430433608784154
7,310527,6,D02,C57,0.0496051556906579,8.428679807152692,0.0496051556906579,8.379074651462034
8,300648,7,D02,C57,0.1943803926702792,2.2604223166522743,0.1943803926702792,2.066041923981995
9,303169,8,D02,C57,0.2866015663812338,2.0509390265545355,0.2866015663812338,1.7643374601733017
10,309663,9,D02,C57,0.3139700623461909,9.5965432848432,0.3139700623461909,9.282573222497009
11,301541,10,D02,C57,0.1735050109360682,3.6755270258571318,0.1735050109360682,3.5020220149210637
12,307373,11,D02,C57,0.4809544074804533,1.8693232388121424,0.4809544074804533,1.388368831331689
13,306444,12,D03,C57,0.1918803188512978,5.65107405881117,0.1918803188512978,5.459193739959872
14,309703,13,D04,C57,0.5053798842637796,4.218669932658118,0.5053798842637796,3.7132900483943385
15,300429,14,D04,C57,0.1769893257114166,27.17859193595737,0.1769893257114166,27.001602610245953
16,301156,15,D04,C57,0.3432094004302999,9.009744881283721,0.3432094004302999,8.66653548085342
17,302923,16,D04,C57,0.47384791909278,2.971183383127591,0.47384791909278,2.4973354640348107
18,304040,17,D04,C57,0.4111930315978428,3.4363968639887523,0.4111930315978428,3.0252038323909094
19,307512,18,D04,C57,0.2433781497916179,12.238579805292014,0.2433781497916179,11.995201655500397
20,301105,19,D04,C57,0.2987770471461312,20.459552924655256,0.2987770471461312,20.160775877509124
21,303620,20,D04,C57,0.1815666350864873,26.308981185228625,0.1815666350864873,26.127414550142138
22,301745,21,D04,C57,0.3915507337577188,4.697074876568953,0.3915507337577188,4.305524142811234
23,302164,22,D04,C57,0.5046595337400043,1.6177938468479942,0.5046595337400043,1.1131343131079898
24,301558,23,D04,C57,0.3770330398239405,2.8188044963023944,0.3770330398239405,2.441771456478454
25,301636,24,D04,C57,0.1521644251288435,23.96561155091858,0.1521644251288435,23.813447125789736
26,300493,25,D04,C57,0.1810631386104234,32.435586986475094,0.1810631386104234,32.25452384786467
27,308907,26,D04,C57,0.4914329152376056,2.9448240099125482,0.4914329152376056,2.4533910946749424
28,307832,27,D04,C57,0.4511451673731101,3.5256564729703648,0.4511451673731101,3.074511305597255
29,303371,28,D04,C57,0.4215833118166912,4.102637562006345,0.4215833118166912,3.6810542501896544
30,300390,29,D04,C57,0.6015380988647312,1.6142360312949884,0.6015380988647312,1.0126979324302572
31,301194,30,D04,C57,0.2909494650763872,10.414310247564028,0.2909494650763872,10.12336078248764
32,309569,31,D04,C57,0.1476775688884651,20.130412102183595,0.1476775688884651,19.98273453329513
33,310199,32,D04,C57,0.181017085452713,32.81998664391254,0.181017085452713,32.63896955845983
34,306768,33,D04,C57,0.2252064427569911,14.757463803720523,0.2252064427569911,14.532257360963532
35,300829,34,D04,C57,0.4208140167635789,4.890172677320917,0.4208140167635789,4.469358660557338
36,303099,35,D05,C57,0.1203642887873139,8.751530942512598,0.1203642887873139,8.631166653725284
37,300232,36,D06,C57,0.2616313972067111,2.497696186497252,0.2616313972067111,2.2360647892905408
38,308991,37,D06,C57,0.4643508553235889,27.685951442829285,0.4643508553235889,27.221600587505698
39,308806,38,D06,C57,0.3340726138817751,1.4461224018856838,0.3340726138817751,1.1120497880039086
40,306694,39,D06,C57,0.2623191925962541,12.275656611483857,0.2623191925962541,12.013337418887604
41,300105,40,D06,C57,0.348513539446926,1.471313134205758,0.348513539446926,1.122799594758832
42,306623,41,D06,C57,0.250061698436536,1.8823770219379494,0.250061698436536,1.6323153235014134
43,302297,42,D06,C57,0.3264069530352149,2.4048235852171334,0.3264069530352149,2.0784166321819186
44,307785,43,D06,C57,0.1049123096516586,5.434955418018476,0.1049123096516586,5.330043108366818
45,306450,44,D06,C57,0.1336717642477929,3.07334803150248,0.1336717642477929,2.9396762672546872
46,305780,45,D06,C57,0.3565460041969184,2.8124884561377232,0.3565460041969184,2.455942451940805
47,309156,46,D06,C57,0.3115533622526005,1.7986493666476764,0.3115533622526005,1.4870960043950758
48,307039,47,D07,C57,0.2354967619913765,1.5824848436335035,0.2354967619913765,1.346988081642127
49,308471,48,D07,C57,0.2126403670485783,1.3416598802196302,0.2126403670485783,1.1290195131710519
50,301214,49,D07,C57,0.7118948956943992,33.07774950934024,0.7118948956943992,32.36585461364584
51,302187,50,D09,C57,0.3351309036985078,2.188294628826875,0.3351309036985078,1.853163725128367
52,308494,51,D09,C57,0.2622701878960461,12.695608823698453,0.2622701878960461,12.433338635802407
53,307693,52,D09,C57,0.4898367414752119,35.79462087153999,0.4898367414752119,35.30478413006478
54,301614,53,D10,C57,0.3113128415829281,3.5277648614436945,0.3113128415829281,3.2164520198607662
55,304073,54,D12,C57,0.2696518515442784,3.899488898897013,0.2696518515442784,3.629837047352735
56,306060,55,D12,C57,0.1511113041591167,3.555512071450152,0.1511113041591167,3.404400767291035
57,306844,56,D13,C57,0.0702713007478399,1.9817411635272213,0.0702713007478399,1.9114698627793814
58,302171,48,D07,C57,1.6651383807797866,11.40498644372505,0.3234785005601563,9.739848062945264
59,310504,38,D06,C57,1.7534861081653597,5.127164857171722,0.3073637062796759,3.3736787490063618
60,306279,40,D06,C57,1.633015386425885,3.240397918904769,0.161702252220127,1.6073825324788837
61,306489,3,D02,C57,2.359906448561291,34.311210569380144,0.8181762050480097,31.95130412081885
62,310204,47,D07,C57,1.912472249937494,5.0017983220527915,0.3299874063039905,3.0893260721152975
63,300627,29,D04,C57,1.854978060558638,3.298320555126166,0.2407420292636496,1.443342494567528
64,308786,22,D04,C57,1.8308119457274694,10.24172710402869,0.2130180988794751,8.41091515830122
65,301108,46,D06,C57,1.8898275070636272,5.813898500940428,0.0911781404159508,3.9240709938768004
66,301100,11,D02,C57,2.321504110902582,6.830099940357126,0.4521808720904393,4.508595829454544
67,309843,41,D06,C57,2.2078163692104127,16.885829716657252,0.3254393472724631,14.67801334744684
68,301637,56,D13,C57,2.1293731982458826,5.291175915774924,0.1476320347186614,3.1618027175290417
69,303344,8,D02,C57,2.3637554098203157,4.751842395375135,0.3128163832657804,2.38808698555482
70,305885,1,D02,C57,2.5480176992024464,6.455730985806666,0.488466650796346,3.9077132866042192
71,309758,50,D09,C57,2.5172881877069275,4.070084615608626,0.3289935588800524,1.5527964279016984
72,309553,7,D02,C57,2.7830999254669986,6.610718298589234,0.5226776088147244,3.8276183731222346
73,301543,42,D06,C57,2.4210356501770405,4.819273894554528,0.0162120649599073,2.3982382443774877
74,306091,36,D06,C57,2.825842259807831,4.89569428893225,0.3281460733105793,2.0698520291244193
75,307557,45,D06,C57,2.862785491470235,5.195020929498574,0.0502970353325117,2.3322354380283383
76,308206,23,D04,C57,3.1764894984016636,14.842907301311204,0.3576850020992693,11.66641780290954
