repair_order,substation_id,Crew_ID,Crew_Origin_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,306224,0,D01,C57,0.3761486162584437,21.275098113543955,0.3761486162584437,20.89894949728551
2,302164,1,D02,C57,0.258287344141801,21.607267766862172,0.258287344141801,21.34898042272037
3,305984,2,D02,C57,0.2766566541556225,31.163842825193957,0.2766566541556225,30.887186171038334
4,303099,3,D02,C57,0.1686100346685886,23.662959444704082,0.1686100346685886,23.494349410035493
5,308786,4,D02,C57,0.2665788993033194,28.978823908794755,0.2665788993033194,28.712245009491436
6,302187,5,D02,C57,0.3193202077730401,26.294884094762836,0.3193202077730401,25.975563886989796
7,307693,6,D02,C57,0.4134109793579708,36.11001073429912,0.4134109793579708,35.69659975494115
8,300232,7,D02,C57,0.2371825217203012,28.753225341105082,0.2371825217203012,28.516042819384783
9,300648,8,D02,C57,0.1943803926702792,26.08129505037395,0.1943803926702792,25.88691465770367
10,310527,9,D02,C57,0.0496051556906579,30.600784745743436,0.0496051556906579,30.55117959005278
11,308991,10,D02,C57,0.4568965074910148,29.966844614111714,0.4568965074910148,29.5099481066207
12,309553,11,D02,C57,0.3580708467927005,29.40848445122057,0.3580708467927005,29.05041360442787
13,304073,12,D03,C57,0.193107750086645,27.441024167019197,0.193107750086645,27.24791641693255
14,310199,13,D04,C57,0.181017085452713,34.8114809480983,0.181017085452713,34.630463862645584
15,309663,14,D04,C57,0.3749192673460872,28.173003349602762,0.3749192673460872,27.798084082256675
16,302171,15,D04,C57,0.2584074567421144,24.338059526360162,0.2584074567421144,24.079652069618046
17,309156,16,D04,C57,0.4321143606831696,22.555547628487368,0.4321143606831696,22.1234332678042
18,307564,17,D04,C57,0.5941711294247987,26.19021459328217,0.5941711294247987,25.596043463857374
19,306844,18,D04,C57,0.4890144987689858,28.89302077433758,0.4890144987689858,28.404006275568594
20,300429,19,D04,C57,0.1769893257114166,35.44431598204835,0.1769893257114166,35.267326656336934
21,307373,20,D04,C57,0.7886388037419285,25.711115674252806,0.7886388037419285,24.922476870510877
22,306369,21,D04,C57,0.6553522354864485,23.859019780218237,0.6553522354864485,23.20366754473179
23,301558,22,D04,C57,0.3770330398239405,30.979685971701315,0.3770330398239405,30.602652931877376
24,301156,23,D04,C57,0.3432094004302999,24.714587507790988,0.3432094004302999,24.371378107360687
25,304040,24,D04,C57,0.4111930315978428,25.33104644969438,0.4111930315978428,24.919853418096537
26,303620,25,D04,C57,0.1815666350864873,30.258661855264588,0.1815666350864873,30.0770952201781
27,308471,26,D04,C57,0.5574140904609067,24.220142613182567,0.5574140904609067,23.66272852272166
28,308540,27,D04,C57,0.7225142501628539,28.042347106370915,0.7225142501628539,27.319832856208063
29,308269,28,D04,C57,0.428341388493546,31.571648051859608,0.428341388493546,31.14330666336606
30,301636,29,D04,C57,0.1521644251288435,30.093461798194024,0.1521644251288435,29.94129737306518
31,300829,30,D04,C57,0.4208140167635789,30.39846108420744,0.4208140167635789,29.97764706744386
32,304450,31,D04,C57,0.7107804508358561,26.699761997965066,0.7107804508358561,25.98898154712921
33,300493,32,D04,C57,0.1810631386104234,32.5874345907077,0.1810631386104234,32.406371452097275
34,306060,33,D04,C57,0.5053613787369885,30.56880113774423,0.5053613787369885,30.06343975900724
35,307512,34,D04,C57,0.2433781497916179,31.667406367333985,0.2433781497916179,31.424028217542368
36,308581,35,D05,C57,0.3367142730981522,20.37035586003418,0.3367142730981522,20.033641586936028
37,309843,36,D06,C57,0.3481539240354417,30.631205813508014,0.3481539240354417,30.283051889472574
38,301745,37,D06,C57,0.2190626929047859,22.925847708672524,0.2190626929047859,22.70678501576774
39,307274,38,D06,C57,0.3710629822231248,20.95649494431868,0.3710629822231248,20.585431962095555
40,303371,39,D06,C57,0.2667186980626175,32.83953631124188,0.2667186980626175,32.57281761317926
41,308907,40,D06,C57,0.1787918072126947,26.526332271294756,0.1787918072126947,26.347540464082062
42,306489,41,D06,C57,0.4334960972843043,35.279656879390195,0.4334960972843043,34.84616078210589
43,306694,42,D06,C57,0.2623191925962541,24.283150008651948,0.2623191925962541,24.020830816055692
44,306450,43,D06,C57,0.1336717642477929,23.446733265349888,0.1336717642477929,23.313061501102094
45,301194,44,D06,C57,0.1005909094843577,32.22666340763373,0.1005909094843577,32.12607249814937
46,306279,45,D06,C57,0.4622130288874244,31.603819202016485,0.4622130288874244,31.14160617312906
47,300558,46,D06,C57,0.4613289516176845,23.940901029486184,0.4613289516176845,23.4795720778685
48,309042,47,D07,C57,0.3110215231395419,31.301050074245598,0.3110215231395419,30.990028551106057
49,301105,48,D07,C57,0.3936868945451524,30.048824534116203,0.3936868945451524,29.655137639571052
50,307039,49,D07,C57,0.2354967619913765,25.23508000570328,0.2354967619913765,24.999583243711903
51,301541,50,D09,C57,0.1406875795247603,30.91724531542911,0.1406875795247603,30.77655773590435
