repair_order,substation_id,Crew_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,306659,0,Local,0.2743902072399135,5.400853339778564,0.2743902072399135,5.1264631325386505
2,300704,1,Local,0.9335089062977034,1.594266206209882,0.9335089062977034,0.6607572999121786
3,308206,2,Local,0.4706062851920964,3.8449364178033147,0.4706062851920964,3.3743301326112185
4,303899,3,Local,0.3380650043264571,3.7657409731190787,0.3380650043264571,3.4276759687926215
5,305021,4,Local,0.6474265000387746,3.519008531646352,0.6474265000387746,2.8715820316075775
6,306012,5,Local,0.0360909143539319,3.630861880261524,0.0360909143539319,3.594770965907592
7,306419,6,Local,0.3449892080031755,5.863818941859613,0.3449892080031755,5.518829733856437
8,308325,7,Local,0.5386309209665211,2.270933853559067,0.5386309209665211,1.7323029325925459
9,304307,8,Local,0.4449325072017585,6.340316605788717,0.4449325072017585,5.895384098586958
10,300589,9,Local,0.2562541574300427,3.5065808429153265,0.2562541574300427,3.250326685485284
11,301555,10,Local,1.751676570336625,2.2241666604858943,1.751676570336625,0.47249009014926924
12,309042,11,Local,0.0789889837784506,3.470866641287683,0.0789889837784506,3.3918776575092324
13,309722,12,Local,1.1114958692121075,1.7848758603010109,1.1114958692121075,0.6733799910889033
14,306063,13,Local,0.9024397403624016,1.4459224105387731,0.9024397403624016,0.5434826701763714
15,303487,14,Local,0.0396396961940796,7.533068323832305,0.0396396961940796,7.493428627638226
16,306623,13,Local,2.0584497671984234,3.3534132886655157,0.6125273566596501,1.2949635214670923
17,301194,1,Local,2.791511375711691,7.697711034625319,1.1972451695018087,4.906199658913628
18,306768,12,Local,2.5242495357722516,6.941180049990202,0.7393736754712407,4.416930514217951
19,309391,10,Local,3.066508774910609,3.7290314336690438,0.8423421144247144,0.6625226587584347
20,304073,7,Local,2.805961287133336,5.4868747188677744,0.5350274335742693,2.6809134317344383
21,309569,13,Local,4.477574615322724,13.32112918499201,1.1241613266572086,8.843554569669287
22,308527,11,Local,4.31100622459488,8.357802835993002,0.8401395833071974,4.046796611398123
23,300144,9,Local,4.1149534823071665,5.961714705433054,0.6083726393918403,1.8467612231258872
24,301332,4,Local,4.151632641823562,8.182736699767073,0.6326241101772091,4.031104057943512
25,310527,5,Local,3.737908243548003,7.320236606514266,0.1070463632864793,3.582328362966263
26,306152,10,Local,5.008831556353548,16.379123188164176,1.279800122684504,11.370291631810627
27,304217,3,Local,4.153111123661879,9.79607050665606,0.3873701505428002,5.642959382994181
28,303099,2,Local,4.098629302962101,6.061511241140874,0.2536928851587863,1.9628819381787728
29,308579,0,Local,5.871203290271536,11.783172300696208,0.4703499504929716,5.911969010424673
30,307800,7,Local,6.150840094667814,7.997270967132609,0.6639653758000394,1.8464308724647955
31,303776,6,Local,6.782456893075763,9.535625818454104,0.9186379512161508,2.75316892537834
32,309284,9,Local,6.905517580250451,8.015331844776883,0.9438028748173968,1.1098142645264324
33,303531,2,Local,6.731150561049164,11.776496121266874,0.66963931990829,5.045345560217711
34,308581,8,Local,8.089162096651927,8.643390149231351,1.74884549086321,0.5542280525794228
35,307693,12,Local,7.665612472030557,18.93385256948082,0.724432422040355,11.268240097450263
36,300601,5,Local,8.30742020207032,9.1732559908782,0.987183595556055,0.8658357888078799
37,308991,14,Local,8.169889737013124,13.875964748417658,0.6368214131808183,5.706075011404534
38,304137,1,Local,8.676683578749774,10.020499619211623,0.9789725441244556,1.34381604046185
39,302260,7,Local,8.841300758845692,16.426995980109165,0.8440297917130829,7.585695221263473
40,309843,15,MutualAid,8.725752220427037,11.367482356945397,0.725752220427036,2.6417301365183605
41,310442,16,MutualAid,8.15014491103932,14.667586268460637,0.1501449110393204,6.517441357421317
42,303858,17,MutualAid,8.320614184623722,12.23490194241798,0.3206141846237212,3.9142877577942583
43,302171,18,MutualAid,8.715459419673586,10.561195253603534,0.715459419673585,1.845735833929948
44,310179,19,MutualAid,8.885547309544226,9.580785303950751,0.8855473095442263,0.6952379944065253
45,303265,20,MutualAid,8.555258564050646,16.865634670304914,0.5552585640506469,8.310376106254266
46,310199,21,MutualAid,9.240640700662862,20.60986348597665,1.2406407006628626,11.369222785313788
47,310464,22,MutualAid,8.355709547980721,16.99043641575026,0.3557095479807219,8.63472686776954
48,306691,23,MutualAid,9.24409802527023,17.819287299368263,1.24409802527023,8.575189274098035
49,306489,24,MutualAid,8.426918721527011,19.432159468789582,0.4269187215270114,11.00524074726257
50,301214,25,MutualAid,9.22940641841911,20.076706744525907,1.2294064184191098,10.847300326106797
51,304450,26,MutualAid,9.740847446561908,10.650703051941031,1.7408474465619088,0.909855605379123
52,309553,27,MutualAid,8.68228074019794,9.920745234339204,0.6822807401979412,1.2384644941412635
53,301637,28,MutualAid,8.99772020562791,9.828927041212982,0.9977202056279106,0.8312068355850706
54,308269,29,MutualAid,8.178649521243615,10.951567088443484,0.1786495212436148,2.7729175671998694
55,305781,9,Local,9.050738945860974,12.458785350588572,1.0354071010840924,3.408046404727598
56,301105,4,Local,8.843999037026775,11.500366965000387,0.661262337259701,2.6563679279736117
57,301100,11,Local,9.10870015844491,10.342225091625764,0.7508973224519071,1.2335249331808549
58,301636,8,Local,10.59700040335124,18.582972962624417,1.9536102541198896,7.985972559273179
59,300537,5,Local,10.98418635269073,20.444428039115053,1.810930361812529,9.460241686424322
60,303620,6,Local,10.604370281601474,16.413185903567747,1.0687444631473693,5.808815621966274
61,310458,19,MutualAid,11.271231225601444,18.41786022060811,1.6904459216506915,7.146628995006666
62,301638,3,Local,11.052670720781485,12.260924375016295,1.256600214125425,1.2082536542348088
63,300429,28,MutualAid,10.622555649968948,18.955478904897383,0.7936286087559667,8.332923254928435
64,300493,27,MutualAid,11.124295419093764,18.225101224948446,1.2035501847545598,7.100805805854682
