,GA_Efficiency
0.0,0.5032143608871786
0.05,0.5032353488008798
0.1,0.5033130650023417
0.15000000000000002,0.5033944280232494
0.2,0.5034885022039776
0.25,0.5035879919538848
0.30000000000000004,0.5037002694183468
0.35000000000000003,0.5038275381364238
0.4,0.5039668383050342
0.45,0.5041158846164013
0.5,0.5042720537768398
0.55,0.5044368741391534
0.6000000000000001,0.5046308584199887
0.65,0.5048428987631288
0.7000000000000001,0.5050641463188628
0.75,0.5053246054391041
0.8,0.505612005258774
0.8500000000000001,0.5059116640934843
0.9,0.5062239324514902
0.9500000000000001,0.506558965209855
1.0,0.5069102272721171
1.05,0.5072757703955983
1.1,0.5076559634238795
1.1500000000000001,0.5080511727872825
1.2000000000000002,0.5084617617420162
1.25,0.5088986756876608
1.3,0.5093572554254264
1.35,0.509834039383689
1.4000000000000001,0.51032848321929
1.4500000000000002,0.5108409530767086
1.5,0.5113721667149711
1.55,0.5119304362717924
1.6,0.5125242339706162
1.6500000000000001,0.5131391723504541
1.7000000000000002,0.513775050361547
1.75,0.5144322143103228
1.8,0.5151109974807948
1.85,0.5158117191191604
1.9000000000000001,0.5165346834185081
1.9500000000000002,0.5172801785066641
2.0,0.518048475440298
2.0500000000000003,0.518839827208483
2.1,0.5196544677489675
2.15,0.5204926109804695
2.2,0.5213544498543479
2.25,0.5222401554290199
2.3000000000000003,0.523176522345806
2.35,0.5241915392848985
2.4000000000000004,0.5252343724154853
2.45,0.5263052171438938
2.5,0.5274042721513623
2.5500000000000003,0.528531800458401
2.6,0.5296877838516822
2.6500000000000004,0.5308723149891127
2.7,0.5320949833057966
2.75,0.533349405382078
2.8000000000000003,0.5346375375477226
2.85,0.5359551619490639
2.9000000000000004,0.5373022565273068
2.95,0.5386787689008878
3.0,0.5400846158921557
3.0500000000000003,0.5415269167788906
3.1,0.5429993276096301
3.1500000000000004,0.5445019413049457
3.2,0.5460392165203308
3.25,0.5476055994654557
3.3000000000000003,0.549205202406014
3.35,0.5508728070166597
3.4000000000000004,0.5525841004718921
3.45,0.5543253311447115
3.5,0.5560961746778207
3.5500000000000003,0.5578962755958791
3.6,0.5597252475215362
3.6500000000000004,0.5615826734548044
3.7,0.5634681061153926
3.75,0.5653810683474377
3.8000000000000003,0.5673210535858579
3.85,0.5692875263833687
3.9000000000000004,0.5712799229969969
3.95,0.5732976520327578
4.0,0.5753400951469578
4.05,0.5774081249514065
4.1000000000000005,0.5795214283702937
4.15,0.5816602493845225
4.2,0.5838220937129963
4.25,0.5860062526476266
4.3,0.5882120039249625
