repair_order,substation_id,Crew_ID,Crew_Origin_ID,Resource_Type,Start_Time,Finish_Time,Travel_Time,Duration
1,301541,0,D01,C57,0.1721942639771488,30.9487519998815,0.1721942639771488,30.77655773590435
2,303620,1,D02,C57,0.391829570313094,30.468924790491194,0.391829570313094,30.0770952201781
3,303371,2,D02,C57,0.2884444026584378,32.861262015837696,0.2884444026584378,32.57281761317926
4,306623,3,D02,C57,0.2426073506039619,23.003806916278474,0.2426073506039619,22.761199565674513
5,300558,4,D02,C57,0.4440701079330163,23.923642185801516,0.4440701079330163,23.4795720778685
6,309569,5,D02,C57,0.3226055858593969,32.94050046019861,0.3226055858593969,32.617894874339214
7,303099,6,D02,C57,0.1686100346685886,23.662959444704082,0.1686100346685886,23.494349410035493
8,303899,7,D02,C57,0.1733616579258699,30.72307762500414,0.1733616579258699,30.54971596707827
9,306450,8,D02,C57,0.1092228887613831,23.422284389863478,0.1092228887613831,23.313061501102094
10,306694,9,D02,C57,0.25486484476368,24.275695660819373,0.25486484476368,24.020830816055692
11,301745,10,D02,C57,0.211608345072212,22.91839336083995,0.211608345072212,22.70678501576774
12,303169,11,D02,C57,0.2866015663812338,26.51281809471928,0.2866015663812338,26.226216528338046
13,306060,12,D03,C57,0.1981194150716702,30.26155917407891,0.1981194150716702,30.06343975900724
14,301558,13,D04,C57,0.3770330398239405,30.979685971701315,0.3770330398239405,30.602652931877376
15,301636,14,D04,C57,0.1521644251288435,30.093461798194024,0.1521644251288435,29.94129737306518
16,302171,15,D04,C57,0.2584074567421144,24.338059526360162,0.2584074567421144,24.079652069618046
17,308581,16,D04,C57,0.6370400225482094,20.670681609484237,0.6370400225482094,20.033641586936028
18,304137,17,D04,C57,0.5359353829031454,23.636747905602867,0.5359353829031454,23.100812522699723
19,308269,18,D04,C57,0.428341388493546,31.571648051859608,0.428341388493546,31.14330666336606
20,301637,19,D04,C57,0.3753487509392644,23.7678776586788,0.3753487509392644,23.392528907739536
21,308991,20,D04,C57,0.2535104899807856,29.763458596601488,0.2535104899807856,29.5099481066207
22,304040,21,D04,C57,0.4111930315978428,25.33104644969438,0.4111930315978428,24.919853418096537
23,302798,22,D04,C57,0.4423882170908189,26.23956268742054,0.4423882170908189,25.797174470329722
24,306844,23,D04,C57,0.4890144987689858,28.89302077433758,0.4890144987689858,28.404006275568594
25,300493,24,D04,C57,0.1810631386104234,32.5874345907077,0.1810631386104234,32.406371452097275
26,301156,25,D04,C57,0.3432094004302999,24.714587507790988,0.3432094004302999,24.371378107360687
27,310179,26,D04,C57,0.6348143493661523,23.74097260344087,0.6348143493661523,23.106158254074717
28,303303,27,D04,C57,0.6018230622083455,24.114594434765753,0.6018230622083455,23.512771372557406
29,308206,28,D04,C57,0.2798600662196588,29.1868862043262,0.2798600662196588,28.90702613810654
30,302187,29,D04,C57,0.6564101912843604,26.63197407827416,0.6564101912843604,25.975563886989796
31,309553,30,D04,C57,0.4809888733365895,29.53140247776446,0.4809888733365895,29.05041360442787
32,309853,31,D04,C57,0.7047804131612038,21.36342042574908,0.7047804131612038,20.658640012587878
33,306365,32,D04,C57,0.5873649663991208,29.112279868720744,0.5873649663991208,28.524914902321623
34,309703,33,D04,C57,0.5053798842637796,29.97580282109987,0.5053798842637796,29.47042293683609
35,300429,34,D04,C57,0.1769893257114166,35.44431598204835,0.1769893257114166,35.267326656336934
36,301614,35,D05,C57,0.1175433178478135,22.809990106022003,0.1175433178478135,22.692446788174188
37,301194,36,D06,C57,0.1005909094843577,32.22666340763373,0.1005909094843577,32.12607249814937
38,300105,37,D06,C57,0.348513539446926,31.02910399224119,0.348513539446926,30.680590452794263
39,307373,38,D06,C57,0.5054032829668631,25.42788015347774,0.5054032829668631,24.922476870510877
40,310504,39,D06,C57,0.1527434789566035,24.277753402893037,0.1527434789566035,24.12500992393643
41,307785,40,D06,C57,0.1049123096516586,25.486214448366535,0.1049123096516586,25.381302138714876
42,300232,41,D06,C57,0.2616313972067111,28.777674216591492,0.2616313972067111,28.516042819384783
43,308806,42,D06,C57,0.3340726138817751,23.085235867448368,0.3340726138817751,22.75116325356659
44,304450,43,D06,C57,0.453352124237406,26.442333671366615,0.453352124237406,25.98898154712921
45,307564,44,D06,C57,0.2791022759934821,25.875145739850854,0.2791022759934821,25.596043463857374
46,310527,45,D06,C57,0.0065647955391993,30.557744385591977,0.0065647955391993,30.55117959005278
47,305984,46,D06,C57,0.2939154978402907,31.181101668878625,0.2939154978402907,30.887186171038334
48,304073,47,D07,C57,0.1878033275774894,27.435719744510042,0.1878033275774894,27.24791641693255
49,308907,48,D07,C57,0.3182224550035761,26.665762919085637,0.3182224550035761,26.347540464082062
50,306224,49,D07,C57,0.2117729308870068,21.11072242817252,0.2117729308870068,20.89894949728551
51,300648,50,D09,C57,0.1153931578492692,26.00230781555294,0.1153931578492692,25.88691465770367
52,308540,51,D09,C57,0.471669166503367,27.79150202271143,0.471669166503367,27.319832856208063
53,300829,52,D09,C57,0.2831140421087373,30.2607611095526,0.2831140421087373,29.97764706744386
54,300390,53,D10,C57,0.3761216153407507,26.257621638280906,0.3761216153407507,25.881500022940156
55,306279,54,D12,C57,0.3617222417103262,31.503328414839384,0.3617222417103262,31.14160617312906
56,309042,55,D12,C57,0.2452995061335925,31.23532805723965,0.2452995061335925,30.990028551106057
57,302164,56,D13,C57,0.1226439340742554,21.471624356794624,0.1226439340742554,21.34898042272037
58,306768,16,D04,C57,21.164331736337335,51.71201201573334,0.4936501268530989,30.54768027939601
59,303540,49,D07,C57,21.30089139610648,43.62765735775855,0.1901689679339607,22.326765961652075
60,308367,31,D04,C57,21.4339632242176,47.86529588674435,0.0705427984685177,26.43133266252675
61,306369,56,D13,C57,21.83355347360714,45.037221018338926,0.3619291168125163,23.20366754473179
62,309843,35,D05,C57,23.21203734195591,53.49508923142848,0.4020472359339054,30.283051889472574
63,305885,10,D02,C57,22.934689837831083,46.23332134571061,0.0162964769911348,23.298631507879527
64,308786,3,D02,C57,23.179407065959587,51.89165207545102,0.1756001496811134,28.712245009491436
65,301517,42,D06,C57,23.690922850787448,47.92538693081612,0.6056869833390804,24.234464080028665
66,309663,8,D02,C57,23.7809518894954,51.57903597175208,0.3586674996319249,27.798084082256675
67,308471,17,D04,C57,23.732767191969504,47.395495714691165,0.0960192863666376,23.66272852272166
68,310199,6,D02,C57,24.050631610985164,58.68109547363075,0.3876721662810798,34.630463862645584
69,309156,26,D04,C57,23.98021480862266,46.10364807642686,0.2392422051817892,22.1234332678042
70,301105,19,D04,C57,23.923542282371514,53.578679921942566,0.1556646236927149,29.655137639571052
71,309758,4,D02,C57,24.58141380991639,46.2572173297214,0.6577716241148747,21.675803519805005
72,310204,27,D04,C57,24.301511498058467,53.47377703019292,0.186917063292713,29.172265532134457
73,307039,9,D02,C57,24.79753553823372,49.79711878194563,0.5218398774143463,24.999583243711903
74,307832,39,D06,C57,24.614476577038978,53.621645934139764,0.3367231741459409,29.00716935710079
75,301100,15,D04,C57,24.54839244373506,53.94515194997078,0.2103329173748991,29.396759506235718
76,307274,25,D04,C57,25.188062767548956,45.77349472964451,0.4734752597579668,20.585431962095555
77,308494,21,D04,C57,25.528209237507223,56.243619532199915,0.1971627878128434,30.715410294692695
78,300408,38,D06,C57,25.961924881764183,51.34127715159636,0.534044728286443,25.379352269832175
79,306444,40,D06,C57,25.75772341085437,50.06245248006761,0.2715089624878365,24.30472906921324
80,307693,44,D06,C57,26.469140200830047,62.165739955771194,0.5939944609791925,35.69659975494115
81,305780,50,D09,C57,26.516006233939308,50.15105507006771,0.5136984183863683,23.63504883612841
82,306091,22,D04,C57,26.611132480039878,49.71584392968249,0.3715697926193381,23.104711449642615
83,301214,53,D10,C57,26.97135160544853,63.004486770395005,0.7137299671676219,36.03313516494648
84,306489,43,D06,C57,27.25241243066393,62.09857321276982,0.8100787592973141,34.84616078210589
85,300627,11,D02,C57,26.73534155587368,50.64833808095014,0.2225234611544035,23.91299652507646
86,302923,29,D04,C57,27.043378169793023,50.72845389586119,0.411404091518863,23.685075726068167
87,307557,48,D07,C57,27.112700242108644,51.667311924662954,0.4469373230230088,24.554611682554313
88,307512,47,D07,C57,27.763419505602915,59.18744772314528,0.3276997610928739,31.424028217542368
89,302297,51,D09,C57,28.14172329683809,51.42059190629092,0.3502212741266614,23.278868609452832
90,301543,41,D06,C57,29.125910802798643,52.47828953689557,0.3482365862071495,23.352378734096934
91,301108,23,D04,C57,29.006300832939463,58.88506188823965,0.1132800586018824,29.87876105530019
92,303344,32,D04,C57,29.367939586008333,53.41709334663835,0.2556597172875884,24.04915376063002
