substation_id,sub_value_base,node_importance_score,node_importance_s_ref,node_importance_bonus,sub_value_final,importance_role_score,importance_voltage_score,importance_lines_score,importance_table_matched
300105,0.5621906118243007,0.20166666666666672,0.4516539058148974,0.091083537672671,0.6532741494969717,0.0,0.8,0.4166666666666667,False
300232,2.0664448015728745,0.21833333333333338,0.4516539058148974,0.09861110276958596,2.16505590434246,0.0,0.8,0.5833333333333334,False
300390,0.1937267722479567,0.6383333333333334,0.4516539058148974,0.2883057432118429,0.4820325154597996,0.6,0.8,0.5833333333333334,True
300429,1.5474138510270852,0.745,0.4516539058148974,0.33648215983209856,1.8838960108591838,0.6,1.0,1.25,True
300493,1.0912932330844303,0.19333333333333336,0.4516539058148974,0.08731975512421351,1.1786129882086438,0.0,0.8,0.3333333333333333,False
300627,0.3541086255338255,0.5533333333333333,0.4516539058148974,0.24991516121757656,0.604023786751402,0.6,0.5,0.3333333333333333,True
300648,1.3680811759940017,0.07333333333333333,0.4516539058148974,0.03312128642642581,1.4012024624204276,0.0,0.2,0.3333333333333333,False
300829,0.25966007032238847,0.8766666666666667,0.4516539058148974,0.3959499240977267,0.6556099944201152,1.0,0.8,0.16666666666666666,True
301100,0.019604281719032564,0.5883333333333334,0.4516539058148974,0.26572304792109797,0.2853273296401305,0.6,0.8,0.08333333333333333,True
301105,0.359298153727308,0.6466666666666667,0.4516539058148974,0.2920695257603003,0.6513676794876083,0.6,0.8,0.6666666666666666,True
301108,0.049739748010921264,0.20166666666666672,0.4516539058148974,0.091083537672671,0.14082328568359226,0.0,0.8,0.4166666666666667,False
301156,0.5700013502890539,0.07333333333333333,0.4516539058148974,0.03312128642642581,0.6031226367154796,0.0,0.2,0.3333333333333333,False
301194,1.409315332744911,0.22666666666666668,0.4516539058148974,0.10237488531804341,1.5116902180629546,0.0,0.8,0.6666666666666666,False
301214,0.2278685839187028,0.1766666666666667,0.4516539058148974,0.07979219002729855,0.30766077394600133,0.0,0.8,0.16666666666666666,False
301541,0.6622677978666927,0.935,0.4516539058148974,0.4222964019369291,1.0845641998036217,1.0,0.8,0.75,True
301543,0.018222616772417342,0.04000000000000001,0.4516539058148974,0.0180661562325959,0.03628877300501324,0.0,0.2,0.0,False
301558,0.8709989530247557,0.23500000000000004,0.4516539058148974,0.1061386678665009,0.9771376208912567,0.0,0.8,0.75,False
301614,0.6303785819573231,0.065,0.4516539058148974,0.02935750387796833,0.6597360858352914,0.0,0.2,0.25,False
301636,1.324618083879208,0.04833333333333334,0.4516539058148974,0.02182993878105338,1.3464480226602615,0.0,0.2,0.08333333333333333,False
301637,0.4753200901313286,0.13333333333333333,0.4516539058148974,0.06022052077531965,0.5355406109066483,0.0,0.5,0.3333333333333333,False
301745,0.35144483296901763,0.45999999999999996,0.4516539058148974,0.20776079667485278,0.5592056296438704,0.6,0.2,0.0,True
302164,0.6681876856524904,0.11666666666666667,0.4516539058148974,0.0526929556784047,0.7208806413308951,0.0,0.5,0.16666666666666666,False
302171,0.48038032222793864,0.05666666666666667,0.4516539058148974,0.025593721329510852,0.5059740435574495,0.0,0.2,0.16666666666666666,False
302187,1.0249629575440031,0.6633333333333334,0.4516539058148974,0.2995970908572153,1.3245600484012185,0.6,0.8,0.8333333333333334,True
302297,0.007321413935703763,0.04833333333333334,0.4516539058148974,0.02182993878105338,0.02915135271675714,0.0,0.2,0.08333333333333333,False
302798,0.40665762543947415,0.4766666666666666,0.4516539058148974,0.21528836177176774,0.6219459872112418,0.6,0.2,0.16666666666666666,True
302923,0.0,0.04833333333333334,0.4516539058148974,0.02182993878105338,0.02182993878105338,0.0,0.2,0.08333333333333333,False
