,GA_Efficiency
0.0,0.000626694114389449
0.05,0.000626694114389449
0.1,0.000626694114389449
0.15000000000000002,0.000626694114389449
0.2,0.0006266967185606768
0.25,0.0006267045709719276
0.30000000000000004,0.000626923166875238
0.35000000000000003,0.0006276698487441392
0.4,0.0006291684717625493
0.45,0.0006309658917034718
0.5,0.000633279386957287
0.55,0.0006360710063865598
0.6000000000000001,0.0006393460920483764
0.65,0.0006431589393945788
0.7000000000000001,0.000647541401139905
0.75,0.0006525779693128113
0.8,0.0006585031884725444
0.8500000000000001,0.000665127096355241
0.9,0.0006724624728821724
0.9500000000000001,0.0006805095977153704
1.0,0.0006892550501743019
1.05,0.0006986709495350683
1.1,0.0007087146026271466
1.1500000000000001,0.0007193288509631658
1.2000000000000002,0.0007304427703056261
1.25,0.0007419731533321126
1.3,0.0007538263063951115
1.35,0.0007659003745904081
1.4000000000000001,0.0007780880775913562
1.4500000000000002,0.0007902795056258928
1.5,0.0008023651338920932
1.55,0.000814238800313851
1.6,0.0008258003995130129
1.6500000000000001,0.0008369584124616341
1.7000000000000002,0.00084763197283106
1.75,0.0008577524973146913
1.8,0.0008672647579298772
1.85,0.0008761275199599761
1.9000000000000001,0.0008843135787982685
1.9500000000000002,0.0008918093520971539
2.0,0.0008986140165793996
2.0500000000000003,0.0009047383532675845
2.1,0.0009102033207682959
2.15,0.000915038360490412
2.2,0.000919279750411578
2.25,0.000922968845693663
2.3000000000000003,0.0009261503926554242
2.35,0.0009288710247623911
2.4000000000000004,0.0009311778741239319
2.45,0.0009331173546917868
2.5,0.0009347341922177903
2.5500000000000003,0.0009360706846626985
2.6,0.0009371660917010336
2.6500000000000004,0.0009380562729095002
2.7,0.0009387735620858574
2.75,0.0009393466095422322
2.8000000000000003,0.0009398005217295174
2.85,0.0009401569650483062
2.9000000000000004,0.0009404344811492817
2.95,0.0009406486915566413
3.0,0.0009408125791788109
3.0500000000000003,0.0009409369203939964
3.1,0.0009410303815316555
3.1500000000000004,0.0009411000486836219
3.2,0.0009411515153179155
3.25,0.0009411891990254456
3.3000000000000003,0.0009412165426141224
3.35,0.0009412362063792324
3.4000000000000004,0.0009412502296600592
3.45,0.0009412601196109247
3.5,0.0009412670545344145
3.5500000000000003,0.0009412718607904386
3.6,0.0009412751578751592
3.6500000000000004,0.0009412774061442852
3.7,0.0009412789232995727
3.75,0.0009412799403120352
3.8000000000000003,0.0009412806015970314
3.85,0.0009412810545258873
3.9000000000000004,0.0009412813398223896
3.95,0.0009412815178879656
4.0,0.0009412816443806907
4.05,0.0009412817156834956
4.1000000000000005,0.000941281759022292
4.15,0.0009412817883300388
4.2,0.0009412818074763142
4.25,0.0009412818182052726
4.3,0.0009412818253240576
4.3500000000000005,0.0009412818253240576
4.4,0.0009412818316688351
4.45,0.0009412818316688351
4.5,0.0009412818316688351
4.55,0.0009412818316688351
4.6000000000000005,0.0009412818316688351
4.65,0.0009412818316688351
4.7,0.0009412818316688351
4.75,0.0009412818316688351
4.800000000000001,0.0009412818316688351
4.8500000000000005,0.0009412818316688351
4.9,0.0009412818316688351
4.95,0.0009412818316688351
5.0,0.0009412818316688351
5.050000000000001,0.0009412818316688351
5.1000000000000005,0.0009412818316688351
5.15,0.0009412818316688351
5.2,0.0009412818316688351
5.25,0.0009412818316688351
5.300000000000001,0.0009412818316688351
5.3500000000000005,0.0009412818316688351
5.4,0.0009412818316688351
5.45,0.0009412818316688351
5.5,0.0009412818316688351
5.550000000000001,0.0009412818316688351
5.6000000000000005,0.0009412818316688351
5.65,0.0009412818316688351
5.7,0.0009412818316688351
5.75,0.0009412818316688351
5.800000000000001,0.0009412818316688351
5.8500000000000005,0.0009620462619362997
5.9,0.0009674931570434319
5.95,0.0009791351552865082
6.0,0.0011806614133877294
6.050000000000001,0.0012189444092042113
6.1000000000000005,0.0017061747441760942
6.15,0.0017142967167625227
6.2,0.001774513175795036
6.25,0.001793942562742392
6.300000000000001,0.001807938642648618
6.3500000000000005,0.001845558953760992
6.4,0.0018623789895611028
6.45,0.0018912480403347224
6.5,0.002013856292389131
6.550000000000001,0.0020239631960907003
6.6000000000000005,0.002034059513673611
6.65,0.002044142373368581
6.7,0.002054209055532586
6.75,0.0020642567960896287
6.800000000000001,0.0020742828842501733
6.8500000000000005,0.002084284560805405
6.9,0.0020942591121400345
6.95,0.0021042038922155656
7.0,0.0021141161944490472
7.050000000000001,0.0021239933910293745
7.1000000000000005,0.0021338329489890397
7.15,0.002143632240193821
7.2,0.0021533886803176625
7.25,0.002163099882234618
7.300000000000001,0.002172763250229251
7.3500000000000005,0.0021823764752150754
7.4,0.002191937082096572
7.45,0.0022014427549236345
7.5,0.0022108911856241896
7.550000000000001,0.002220280158691092
7.6000000000000005,0.0022296074251827724
7.65,0.002238870779853093
7.7,0.002248068186002299
7.75,0.002257197529801488
7.800000000000001,0.0022662568693183655
7.8500000000000005,0.002275244154149163
7.9,0.0022841575817261275
7.95,0.0022929952475648817
8.0,0.0023017554341521686
8.05,0.0023104363673971872
8.1,0.002319036338385513
8.15,0.002327553833727825
8.200000000000001,0.002335987262267503
8.25,0.0023443351074515116
8.3,0.0023525960296408477
8.35,0.002360768555719903
8.4,0.0023688515380300527
8.450000000000001,0.002376843593015006
8.5,0.0023847436643882193
8.55,0.0023925506202282882
8.6,0.0024002633585532857
8.65,0.002407880988677941
8.700000000000001,0.002415402595711858
8.75,0.0024228272406547524
8.8,0.0024301542431853103
8.85,0.0024373828373225994
8.9,0.0024445123733212036
8.950000000000001,0.002451542251530066
