scenario,substation_id,mean_repair_time_hr,task_threshold_hr,is_repair_task,avg_damage_state,p_ds_ge1,p_ds_ge2,p_ds_ge3,p_ds4
Northridge,307039,1.346988081642127,1.0,True,0.7520000000000001,0.602,0.14100000000000001,0.009,0.0
Northridge,307274,0.5465525822772117,1.0,False,0.409,0.38,0.026,0.003,0.0
Northridge,307373,1.388368831331689,1.0,True,0.726,0.5860000000000001,0.132,0.008,0.0
Northridge,307512,11.995201655500397,1.0,True,2.547,0.9750000000000001,0.843,0.5940000000000001,0.135
Northridge,307557,2.3322354380283383,1.0,True,0.9970000000000001,0.7020000000000001,0.232,0.062,0.001
Northridge,307564,0.9946459522624584,1.0,False,0.604,0.508,0.087,0.009,0.0
Northridge,307693,35.30478413006478,1.0,True,3.983,1.0,1.0,1.0,0.983
Northridge,307785,5.330043108366818,1.0,True,1.69,0.8660000000000001,0.528,0.29,0.006
Northridge,307832,3.074511305597255,1.0,True,1.2469999999999999,0.823,0.34700000000000003,0.075,0.002
Northridge,308206,11.66641780290954,1.0,True,2.458,0.9780000000000001,0.809,0.536,0.135
Northridge,308269,6.806454969172786,1.0,True,1.924,0.937,0.654,0.30000000000000004,0.033
Northridge,308367,0.9868448408019337,1.0,False,0.627,0.526,0.097,0.004,0.0
Northridge,308471,1.1290195131710519,1.0,True,0.65,0.531,0.105,0.014,0.0
Northridge,308494,12.433338635802407,1.0,True,2.564,0.9770000000000001,0.841,0.589,0.157
Northridge,308540,1.0868043572208173,1.0,True,0.658,0.552,0.10300000000000001,0.003,0.0
Northridge,308581,0.8186626609794746,1.0,False,0.535,0.475,0.055999999999999994,0.004,0.0
Northridge,308786,8.41091515830122,1.0,True,2.095,0.947,0.7050000000000001,0.386,0.057
Northridge,308806,1.1120497880039086,1.0,True,0.627,0.516,0.094,0.017,0.0
Northridge,308907,2.4533910946749424,1.0,True,1.056,0.7299999999999999,0.25,0.076,0.0
Northridge,308991,27.221600587505698,1.0,True,3.582,0.997,0.9830000000000001,0.9590000000000001,0.643
Northridge,309042,6.477832580757833,1.0,True,1.8860000000000001,0.925,0.659,0.276,0.026
Northridge,309156,1.4870960043950758,1.0,True,0.759,0.5900000000000001,0.14100000000000001,0.028,0.0
Northridge,309553,3.8276183731222346,1.0,True,1.4089999999999998,0.845,0.434,0.125,0.005
Northridge,309569,19.98273453329513,1.0,True,3.1319999999999997,0.996,0.9329999999999999,0.8089999999999999,0.394
Northridge,309663,9.282573222497009,1.0,True,2.226,0.962,0.746,0.435,0.083
Northridge,309703,3.7132900483943385,1.0,True,1.369,0.836,0.418,0.11,0.005
Northridge,309758,1.5527964279016984,1.0,True,0.7799999999999999,0.5880000000000001,0.16,0.032,0.0
Northridge,309843,14.67801334744684,1.0,True,2.794,0.985,0.895,0.686,0.228
Northridge,309853,0.6751649184295981,1.0,False,0.45199999999999996,0.40299999999999997,0.047,0.002,0.0
Northridge,310179,0.6673297907199354,1.0,False,0.42300000000000004,0.373,0.047,0.003,0.0
Northridge,310199,32.63896955845983,1.0,True,3.851,0.999,0.998,0.995,0.859
Northridge,310204,3.0893260721152975,1.0,True,1.227,0.7929999999999999,0.363,0.065,0.006
Northridge,310504,3.3736787490063618,1.0,True,1.293,0.7969999999999999,0.371,0.123,0.002
Northridge,310527,8.379074651462034,1.0,True,2.0780000000000003,0.948,0.7030000000000001,0.363,0.064
SanFernando,300105,1.3001701140059925,1.0,True,0.726,0.5800000000000001,0.14,0.006,0.0
SanFernando,300232,1.0361039746192147,1.0,True,0.668,0.559,0.108,0.001,0.0
SanFernando,300390,0.4504794317046605,1.0,False,0.356,0.331,0.025,0.0,0.0
SanFernando,300408,0.5705100624927013,1.0,False,0.439,0.405,0.031,0.003,0.0
SanFernando,300429,14.98996802835837,1.0,True,2.997,0.982,0.9560000000000001,0.898,0.161
SanFernando,300493,11.198874867757945,1.0,True,2.479,0.982,0.8330000000000001,0.534,0.13
SanFernando,300558,0.36045385928429363,1.0,False,0.29600000000000004,0.28,0.016,0.0,0.0
SanFernando,300627,0.43934589736484464,1.0,False,0.323,0.30200000000000005,0.021,0.0,0.0
SanFernando,300648,1.346313790744734,1.0,True,0.7030000000000001,0.562,0.128,0.013,0.0
SanFernando,300829,7.4173019509608045,1.0,True,2.017,0.947,0.6880000000000001,0.33499999999999996,0.047
SanFernando,301100,0.3719434166450079,1.0,False,0.316,0.29800000000000004,0.018,0.0,0.0
SanFernando,301105,1.2667814831328383,1.0,True,0.7200000000000001,0.5840000000000001,0.125,0.011,0.0
SanFernando,301108,0.5481912760242132,1.0,False,0.381,0.344,0.037,0.0,0.0
SanFernando,301156,1.106160920180652,1.0,True,0.615,0.514,0.089,0.012,0.0
SanFernando,301194,5.034315490203889,1.0,True,1.635,0.9000000000000001,0.526,0.19099999999999998,0.018
SanFernando,301214,30.567226598705624,1.0,True,3.731,1.0,0.992,0.978,0.761
SanFernando,301517,0.3953961800720281,1.0,False,0.33899999999999997,0.322,0.017,0.0,0.0
SanFernando,301541,1.346014437583725,1.0,True,0.716,0.569,0.137,0.01,0.0
SanFernando,301543,0.21868774982558228,1.0,False,0.203,0.195,0.008,0.0,0.0
SanFernando,301558,3.3381591921260223,1.0,True,1.283,0.8099999999999999,0.387,0.083,0.003
SanFernando,301614,0.7587583809310188,1.0,False,0.473,0.414,0.059,0.0,0.0
SanFernando,301636,14.577459878675102,1.0,True,2.8970000000000002,0.9830000000000001,0.9000000000000001,0.8420000000000001,0.172
SanFernando,301637,0.207389863833897,1.0,False,0.193,0.189,0.004,0.0,0.0
SanFernando,301745,0.3842090705439556,1.0,False,0.319,0.29800000000000004,0.021,0.0,0.0
SanFernando,302164,0.4251394477581345,1.0,False,0.355,0.338,0.017,0.0,0.0
SanFernando,302171,0.6819494153652985,1.0,False,0.48,0.427,0.051000000000000004,0.002,0.0
SanFernando,302187,0.6290891549424819,1.0,False,0.436,0.39299999999999996,0.042,0.001,0.0
SanFernando,302297,0.2769175830980288,1.0,False,0.229,0.223,0.006,0.0,0.0
SanFernando,302798,0.8059720799486959,1.0,False,0.517,0.445,0.063,0.009,0.0
SanFernando,302923,0.22733977210848424,1.0,False,0.22,0.213,0.007,0.0,0.0
SanFernando,303099,0.7803538270558745,1.0,False,0.522,0.457,0.062,0.003,0.0
SanFernando,303169,0.8296591905340329,1.0,False,0.524,0.451,0.067,0.006,0.0
SanFernando,303303,0.22617085356878924,1.0,False,0.216,0.211,0.005,0.0,0.0
SanFernando,303344,0.21685331605607275,1.0,False,0.197,0.192,0.005,0.0,0.0
SanFernando,303371,3.6238399723639114,1.0,True,1.3290000000000002,0.826,0.4,0.097,0.006
SanFernando,303540,0.3753103669236754,1.0,False,0.304,0.28600000000000003,0.018,0.0,0.0
SanFernando,303620,6.447558857355371,1.0,True,1.8530000000000002,0.925,0.626,0.268,0.034
SanFernando,303899,2.283797176001499,1.0,True,1.009,0.729,0.24000000000000002,0.039,0.001
SanFernando,304040,4.270412779866506,1.0,True,1.464,0.8190000000000001,0.441,0.201,0.003
SanFernando,304073,1.2178423744992175,1.0,True,0.687,0.5730000000000001,0.108,0.006,0.0
SanFernando,304137,0.3705738449893033,1.0,False,0.30200000000000005,0.28600000000000003,0.015,0.001,0.0
SanFernando,304450,0.24115228226848504,1.0,False,0.21500000000000002,0.20700000000000002,0.008,0.0,0.0
SanFernando,305780,0.23936627285686257,1.0,False,0.20700000000000002,0.201,0.006,0.0,0.0
SanFernando,305885,0.32810132062783826,1.0,False,0.27999999999999997,0.262,0.018,0.0,0.0
SanFernando,305984,2.0506205385992176,1.0,True,0.99,0.735,0.23099999999999998,0.024,0.0
SanFernando,306060,1.1368325379570652,1.0,True,0.679,0.561,0.113,0.005,0.0
SanFernando,306091,0.2572011257438506,1.0,False,0.22299999999999998,0.215,0.008,0.0,0.0
SanFernando,306224,0.21329860775813064,1.0,False,0.212,0.208,0.004,0.0,0.0
SanFernando,306279,0.6693530253626448,1.0,False,0.45799999999999996,0.412,0.045,0.001,0.0
SanFernando,306365,0.4093239817534969,1.0,False,0.33199999999999996,0.315,0.017,0.0,0.0
SanFernando,306369,0.3670144641227632,1.0,False,0.276,0.256,0.018000000000000002,0.002,0.0
SanFernando,306444,0.5017095345480277,1.0,False,0.347,0.31699999999999995,0.03,0.0,0.0
SanFernando,306450,0.7126176949692462,1.0,False,0.525,0.479,0.041999999999999996,0.004,0.0
SanFernando,306489,29.5729488390891,1.0,True,3.686,0.998,0.988,0.974,0.726
SanFernando,306623,0.3253323040162919,1.0,False,0.29400000000000004,0.28200000000000003,0.012,0.0,0.0
SanFernando,306694,0.5869257139621223,1.0,False,0.448,0.41,0.037,0.001,0.0
SanFernando,306768,3.7464874284563385,1.0,True,1.359,0.839,0.41600000000000004,0.099,0.005
SanFernando,306844,0.7866841213603121,1.0,False,0.494,0.425,0.068,0.001,0.0
SanFernando,307039,0.25614599657743564,1.0,False,0.21300000000000002,0.20700000000000002,0.006,0.0,0.0
SanFernando,307274,0.2492695382579902,1.0,False,0.223,0.21300000000000002,0.01,0.0,0.0
SanFernando,307373,0.2604157057089251,1.0,False,0.201,0.193,0.008,0.0,0.0
SanFernando,307512,8.436354397707401,1.0,True,2.131,0.9500000000000001,0.721,0.40499999999999997,0.055
SanFernando,307557,0.3074104853154996,1.0,False,0.242,0.226,0.015,0.001,0.0
SanFernando,307564,0.80975278205592,1.0,False,0.527,0.462,0.059,0.006,0.0
SanFernando,307693,31.593003697377544,1.0,True,3.82,1.0,1.0,1.0,0.82
SanFernando,307785,0.6677387301115522,1.0,False,0.47,0.415,0.052000000000000005,0.003,0.0
SanFernando,307832,0.41253632151889397,1.0,False,0.348,0.323,0.025,0.0,0.0
SanFernando,308206,1.9706273348009338,1.0,True,0.948,0.7050000000000001,0.221,0.022,0.0
SanFernando,308269,1.4418384934302504,1.0,True,0.793,0.628,0.154,0.011,0.0
SanFernando,308367,0.23137146937626976,1.0,False,0.203,0.195,0.008,0.0,0.0
SanFernando,308471,0.3354039123750549,1.0,False,0.274,0.26,0.014,0.0,0.0
SanFernando,308494,8.788661397820603,1.0,True,2.167,0.9620000000000002,0.7330000000000001,0.404,0.068
SanFernando,308540,0.25165985961982557,1.0,False,0.214,0.209,0.005,0.0,0.0
SanFernando,308581,0.15949895897099198,1.0,False,0.144,0.142,0.001,0.001,0.0
SanFernando,308786,0.7027191366038956,1.0,False,0.476,0.42,0.055,0.001,0.0
SanFernando,308806,0.4102569312570865,1.0,False,0.31,0.28700000000000003,0.023,0.0,0.0
SanFernando,308907,0.8392112867617005,1.0,False,0.549,0.476,0.066,0.007,0.0
SanFernando,308991,6.691924273382395,1.0,True,1.9010000000000002,0.934,0.639,0.29600000000000004,0.032
SanFernando,309042,1.9248894647748178,1.0,True,0.9410000000000001,0.7120000000000001,0.21400000000000002,0.015,0.0
SanFernando,309156,0.2471562890791436,1.0,False,0.219,0.20800000000000002,0.011,0.0,0.0
SanFernando,309553,0.4161713473258681,1.0,False,0.32,0.29800000000000004,0.022,0.0,0.0
SanFernando,309569,19.077148362797264,1.0,True,3.049,0.994,0.9249999999999999,0.778,0.352
SanFernando,309663,0.6299466904369363,1.0,False,0.43499999999999994,0.38999999999999996,0.044,0.001,0.0
SanFernando,309703,0.4061787308976706,1.0,False,0.29900000000000004,0.281,0.017,0.001,0.0
SanFernando,309758,0.4276269957270115,1.0,False,0.328,0.30400000000000005,0.024,0.0,0.0
SanFernando,309843,1.5296107455070564,1.0,True,0.782,0.61,0.157,0.013999999999999999,0.001
SanFernando,309853,0.12899161700107778,1.0,False,0.11800000000000001,0.117,0.001,0.0,0.0
SanFernando,310179,0.1968310136703907,1.0,False,0.182,0.178,0.004,0.0,0.0
SanFernando,310199,29.152826190521242,1.0,True,3.6719999999999997,0.998,0.991,0.973,0.71
SanFernando,310204,0.5751296524203316,1.0,False,0.443,0.41100000000000003,0.032,0.0,0.0
SanFernando,310504,0.7097125703664474,1.0,False,0.481,0.424,0.053000000000000005,0.004,0.0
SanFernando,310527,2.5097175456521224,1.0,True,1.066,0.7380000000000001,0.276,0.049,0.003
LongBeach,300105,1.7238431643266572,1.0,True,0.857,0.648,0.19,0.019,0.0
LongBeach,300232,12.787510955420522,1.0,True,2.583,0.9690000000000001,0.845,0.602,0.167
LongBeach,300390,20.155828131038735,1.0,True,3.157,0.994,0.9460000000000001,0.8300000000000001,0.387
LongBeach,300408,0.7126960211154372,1.0,False,0.516,0.46299999999999997,0.047999999999999994,0.005,0.0
LongBeach,300429,0.8748333814818344,1.0,False,0.453,0.34800000000000003,0.091,0.014,0.0
LongBeach,300493,0.3633686939015962,1.0,False,0.279,0.262,0.017,0.0,0.0
LongBeach,300558,0.25070325115685843,1.0,False,0.23399999999999999,0.226,0.008,0.0,0.0
LongBeach,300627,6.679828634487053,1.0,True,1.8890000000000002,0.903,0.6,0.375,0.011
LongBeach,300648,0.44813998549986384,1.0,False,0.35,0.326,0.023,0.001,0.0
