tract_id,AUC,T50,T80
6037101110,0.9900663323089378,4.5,7.800000000000001
6037101122,0.9900663323089378,4.5,7.800000000000001
6037101220,0.9900663323089378,4.5,7.800000000000001
6037101221,0.9900663323089378,4.5,7.800000000000001
6037101222,0.9900663323089378,4.5,7.800000000000001
6037101300,0.9900663323089378,4.5,7.800000000000001
6037101400,0.9900663323089378,4.5,7.800000000000001
6037102103,0.9822081139053075,7.95,12.55
6037102104,0.9822081139053075,7.95,12.55
6037102105,0.9814591145188849,8.35,13.05
6037102107,0.9900663323089378,4.5,7.800000000000001
6037103101,0.9900663323089378,4.5,7.800000000000001
6037103102,0.9900663323089378,4.5,7.800000000000001
6037103201,0.9900663323089378,4.5,7.800000000000001
6037103202,0.9900663323089378,4.5,7.800000000000001
6037103300,0.9900663323089378,4.5,7.800000000000001
6037103401,0.9900663323089378,4.5,7.800000000000001
6037103402,0.9900663323089378,4.5,7.800000000000001
6037104103,0.9814047178449178,8.35,13.05
6037104105,0.9814047178449178,8.35,13.05
6037104108,0.9814047178449178,8.35,13.05
6037104201,0.9762914367466394,11.15,16.35
6037104203,0.9814047178449178,8.35,13.05
6037104204,0.9814047178449178,8.35,13.05
6037104310,0.9794924680443117,9.4,14.200000000000001
6037104321,0.9794924680443117,9.4,14.200000000000001
6037104322,0.9794924680443117,9.4,14.200000000000001
6037104401,0.9794924680443117,9.4,14.200000000000001
6037104403,0.9794924680443117,9.4,14.200000000000001
6037104404,0.9794924680443117,9.4,14.200000000000001
6037104500,0.9814047178449178,8.35,13.05
6037104610,0.9814047178449178,8.35,13.05
6037104620,0.9814047178449178,8.35,13.05
6037104701,0.9814047178449178,8.35,13.05
6037104703,0.9814047178449178,8.35,13.05
6037104704,0.9814047178449178,8.35,13.05
6037104821,0.9814047178449178,8.35,13.05
6037104822,0.9814047178449178,8.35,13.05
6037104823,0.9814047178449178,8.35,13.05
6037104824,0.9814047178449178,8.35,13.05
6037106010,0.9762914367466394,11.15,16.35
6037106020,0.9762914367466394,11.15,16.35
6037106111,0.9762914367466394,11.15,16.35
6037106112,0.9762914367466394,11.15,16.35
6037106113,0.9762914367466394,11.15,16.35
6037106114,0.9762914367466394,11.15,16.35
6037106403,0.9762914367466394,11.15,16.35
