time_hr,Northridge_S3_Mean_Pop,Northridge_S3_Mean_SVI,Northridge_S4B_centrality-first_Pop,Northridge_S4B_impact-first_Pop,Northridge_S4B_betweenness-first_Pop,Northridge_S4B_degree-first_Pop,Northridge_S4B_closeness-first_Pop,Northridge_S4B_hospital-first_Pop,Northridge_S4B_random_Pop,Northridge_S4B_centrality-first_SVI,Northridge_S4B_impact-first_SVI,Northridge_S4B_betweenness-first_SVI,Northridge_S4B_degree-first_SVI,Northridge_S4B_closeness-first_SVI,Northridge_S4B_hospital-first_SVI,Northridge_S4B_random_SVI,SanFernando_S3_Mean_Pop,SanFernando_S3_Mean_SVI,SanFernando_S4B_centrality-first_Pop,SanFernando_S4B_impact-first_Pop,SanFernando_S4B_betweenness-first_Pop,SanFernando_S4B_degree-first_Pop,SanFernando_S4B_closeness-first_Pop,SanFernando_S4B_hospital-first_Pop,SanFernando_S4B_random_Pop,SanFernando_S4B_centrality-first_SVI,SanFernando_S4B_impact-first_SVI,SanFernando_S4B_betweenness-first_SVI,SanFernando_S4B_degree-first_SVI,SanFernando_S4B_closeness-first_SVI,SanFernando_S4B_hospital-first_SVI,SanFernando_S4B_random_SVI,LongBeach_S3_Mean_Pop,LongBeach_S3_Mean_SVI,LongBeach_S4B_centrality-first_Pop,LongBeach_S4B_impact-first_Pop,LongBeach_S4B_betweenness-first_Pop,LongBeach_S4B_degree-first_Pop,LongBeach_S4B_closeness-first_Pop,LongBeach_S4B_hospital-first_Pop,LongBeach_S4B_random_Pop,LongBeach_S4B_centrality-first_SVI,LongBeach_S4B_impact-first_SVI,LongBeach_S4B_betweenness-first_SVI,LongBeach_S4B_degree-first_SVI,LongBeach_S4B_closeness-first_SVI,LongBeach_S4B_hospital-first_SVI,LongBeach_S4B_random_SVI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05448394947797109,0.06050131693565594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1882414451370104,0.1772304263697003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.004878440665385212,0.005452246004145337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10522193085379362,0.10989677074324267,0.028025555805018566,0.0,0.03933494632366076,0.060908901072130595,0.02929869851566913,0.0,0.036572572542148386,0.024347893278353676,0.0,0.042578956055264065,0.06090023442422157,0.03447534205119584,0.0,0.039868374444817146,0.509343628861726,0.5026562970836894,0.2054708745598885,0.3334847110439877,0.19337955501576465,0.172647803391298,0.1340447564670634,0.2802628203957255,0.12568085796586728,0.1966264452383421,0.33090735705321417,0.1894562042902733,0.1692328956022846,0.13694563661426443,0.28045134837262814,0.12180808511738925
2.0,0.047118479198247076,0.05476138813201681,0.002386127946405062,0.0,0.012421037806096142,0.0185236478985463,0.012421037806096142,0.0,0.02578821651033657,0.002555871528305032,0.0,0.01430718512652722,0.021646297245340392,0.01430718512652722,0.0,0.029654414777790756,0.2962487819875946,0.27972933480700035,0.13898760098831386,0.06899148234609503,0.17352418740504513,0.17223415843693704,0.1742206838135525,0.0,0.1556549045380897,0.12556048620067406,0.06101509526703795,0.16676739463122148,0.1718726021573188,0.18376027849697418,0.0,0.16016981271845576,0.6391008826667939,0.6189983462186832,0.5228992144762277,0.5603851814163896,0.46789760309897566,0.4143428280024576,0.40482065716133364,0.5487598230312156,0.39463016365935366,0.5203201210079982,0.5513981189283149,0.46081605922512203,0.4022644940524043,0.4084334082192703,0.5453079314336728,0.3898598664948346
3.0,0.06378597254087634,0.07435132629025255,0.012421037806096142,0.0,0.03778743655452435,0.05206880195074853,0.03846888618397216,0.0,0.05933337056253881,0.01430718512652722,0.0,0.04437032569831404,0.06140439232824477,0.04561910990995637,0.0,0.06941250986069514,0.3606773907377757,0.3418657572760101,0.29351592554869177,0.19634048025011197,0.2960548942779171,0.2962487819875946,0.29470826030991815,0.16282538079061082,0.2613348363048319,0.26806819340934324,0.1915794965414736,0.2746410814960466,0.27972933480700035,0.28361777532375876,0.13469558808454868,0.24984043367515513,0.7589978519809828,0.7296897098757129,0.6870686265006349,0.6860898031721504,0.6870686265006349,0.6212959865166574,0.6817189826187324,0.6860898031721504,0.6107909859439338,0.6504464317979928,0.6503869451069876,0.6504464317979928,0.5928792866235371,0.645024321502535,0.6503869451069876,0.5802913574587263
4.0,0.06378597254087634,0.07435132629025255,0.012421037806096142,0.0,0.03778743655452435,0.0544549298971536,0.03846888618397216,0.0,0.06378597254087634,0.01430718512652722,0.0,0.04437032569831404,0.06396026385654979,0.04561910990995637,0.0,0.07435132629025255,0.49337967801136495,0.4930616323880284,0.41558436480872674,0.30237509677159613,0.3993051058038253,0.330216272436194,0.35385228235936056,0.2939335839321131,0.31477452531099503,0.4124678576907802,0.3015862499024591,0.38829337109320095,0.32208654833791595,0.3522398914081356,0.28167158837730416,0.30492202987624506,0.7929653424295819,0.7720469234066287,0.7519929465982593,0.7929653424295819,0.7519929465982593,0.7519929465982593,0.7929653424295819,0.7929653424295819,0.7610296894520728,0.7211903426949635,0.7720469234066287,0.7211903426949635,0.7211903426949635,0.7720469234066287,0.7720469234066287,0.7436007393495684
5.0,0.08872139123266959,0.10554765341079687,0.03735645649788939,0.02493541869179325,0.07189304291462063,0.07939034858894685,0.0634043048757654,0.0,0.06378597254087634,0.04550351224707154,0.03119632712054432,0.0867104206776189,0.09515659097709411,0.0768154370305007,0.0,0.07435132629025255,0.5654405337668325,0.5740984443063513,0.4751894038038422,0.47608037295272626,0.4503466583584889,0.42931532472752465,0.5161617996351651,0.48279128840800606,0.45355324468241887,0.47695638401561974,0.4752178668452558,0.4370351929378263,0.43127148588053643,0.5278129647272848,0.480928468675866,0.465840595149708,0.8166013523527487,0.8022002664768486,0.7756289565214258,0.8166013523527487,0.7519929465982593,0.7519929465982593,0.8166013523527487,0.8166013523527487,0.7610296894520728,0.7513436857651833,0.8022002664768486,0.7211903426949635,0.7211903426949635,0.8022002664768486,0.8022002664768486,0.7436007393495684
6.0,0.12917750865731617,0.15556851521986614,0.06937279438649721,0.05695175658040104,0.10390938080322845,0.11140668647755467,0.09542064276437322,0.0,0.09580231042948413,0.08774980782583969,0.07344262269931245,0.12895671625638702,0.13740288655586225,0.11906173260926883,0.0,0.11659762186902069,0.5893825894457908,0.5957326565133545,0.5285976259358507,0.5695700217671738,0.5285976259358507,0.4991314594828006,0.5401038553141235,0.5695700217671738,0.5654405337668325,0.522348933735566,0.573205514447231,0.522348933735566,0.4985905962226232,0.5494471769342884,0.573205514447231,0.5740984443063513,0.8166013523527487,0.8022002664768486,0.8166013523527487,0.8166013523527487,0.7929653424295819,0.7929653424295819,0.8166013523527487,0.8166013523527487,0.7929653424295819,0.8022002664768486,0.8022002664768486,0.7720469234066287,0.7720469234066287,0.8022002664768486,0.8022002664768486,0.7720469234066287
7.0,0.14657050738357283,0.1696509856965747,0.0794090421944888,0.05695175658040104,0.11394562861122005,0.12144293428554628,0.10545689057236485,0.0,0.12073772912127739,0.0958534218299079,0.07344262269931245,0.13706033026045528,0.14550650055993053,0.12716534661333706,0.0,0.14779394898956505,0.6418464282059109,0.6487537041082442,0.5596754005716175,0.5893825894457908,0.5285976259358507,0.5285976259358507,0.5695700217671738,0.5695700217671738,0.5893825894457908,0.5523100476732133,0.5957326565133545,0.522348933735566,0.522348933735566,0.573205514447231,0.573205514447231,0.5957326565133545,0.8563023399098357,0.8325387867918141,0.8378263125658054,0.8378263125658054,0.8378263125658054,0.8166013523527487,0.8378263125658054,0.8166013523527487,0.8378263125658054,0.8166606065574449,0.8166606065574449,0.8166606065574449,0.8022002664768486,0.8166606065574449,0.8022002664768486,0.8166606065574449
8.0,0.18198625511281175,0.20586653550867867,0.09501222224511072,0.05695175658040104,0.12954880866184196,0.14548589387220695,0.10545689057236485,0.0,0.15634682725419824,0.10954182957588832,0.07344262269931245,0.15074873800643568,0.16696947453621203,0.12716534661333706,0.0,0.18407451375863002,0.6980947366072064,0.7086611566950403,0.6278091917844777,0.6690078235874481,0.6278091917844777,0.676708672482853,0.649195255908831,0.6690078235874481,0.6107686535701442,0.6323763932958816,0.6779634690192473,0.6323763932958816,0.6856012230377979,0.6554363269531238,0.6779634690192473,0.6187925901705968,0.8792622708787224,0.852206051010435,0.8634657404244186,0.8378263125658054,0.8634657404244186,0.8719055199604576,0.847862560373797,0.8462660921018439,0.8536228430201089,0.8384526283074933,0.8166606065574449,0.8384526283074933,0.8462271945377946,0.824764220561513,0.8244351727877461,0.8304140292603863
9.0,0.18198625511281175,0.20586653550867867,0.09501222224511072,0.05695175658040104,0.12954880866184196,0.14548589387220695,0.10545689057236485,0.0,0.15634682725419824,0.10954182957588832,0.07344262269931245,0.15074873800643568,0.16696947453621203,0.12716534661333706,0.0,0.18407451375863002,0.7563477476315741,0.7622766518651295,0.7055783503039321,0.7253909179825493,0.6749179408384376,0.6980947366072064,0.6980947366072064,0.6980947366072064,0.7291863522500367,0.711362812432951,0.7338899544990745,0.6801323331660393,0.7086611566950403,0.7086611566950403,0.7086611566950403,0.7330668869541264,0.8792622708787224,0.852206051010435,0.8719055199604576,0.8719055199604576,0.8719055199604576,0.8792622708787224,0.8719055199604576,0.8719055199604576,0.8636590908281008,0.8462271945377946,0.8462271945377946,0.8462271945377946,0.852206051010435,0.8462271945377946,0.8462271945377946,0.8385176432644545
