id,PGA_Northridge_IDW,PGA_SanFernando_IDW,PGA_LongBeach_IDW
306623,0.167243072635519,0.09090979409620313,0.2600350345060915
304137,0.12160734564934234,0.08959057346092593,0.36637082418469574
301100,0.19810567903554244,0.07043799483522836,0.19521283634355088
301636,0.7301309262420833,0.5136114666467873,0.06214592776040806
309843,0.37005572303445433,0.12115095772432329,0.10588157383597016
308206,0.3132956105947775,0.1361225847717624,0.08180845620834189
306152,0.7481375137708409,0.7020274168410089,0.05651043846251173
307693,0.7706255265029798,0.5142282258169326,0.06318367539861948
309042,0.24145041461878272,0.13564131483601666,0.13918633438134467
310527,0.2641902070278804,0.14900036011459486,0.10602299961416746
304073,0.180103384587132,0.11096028648491321,0.3380637092386716
310179,0.1049302345498495,0.06843094470418509,0.37299137484310807
303099,0.35418229740664087,0.11801860908830625,0.1399185323892923
300429,0.4235478457863948,0.26972102660339503,0.07701851268397052
308269,0.24149329287762764,0.12111163147101124,0.16792980772190466
301194,0.291091346812804,0.20538647316301392,0.08584196185153073
303899,0.34221594031574726,0.14623372753624617,0.09995830926932454
300493,0.728117101997533,0.31515210692022777,0.07057031532999274
301105,0.44227806814319875,0.11476053466782342,0.13371554756909773
309553,0.1942145376843397,0.07480881957590452,0.19875649058737418
309569,0.4293158529146702,0.406023493390468,0.066422580734428
306012,0.22403784169771643,0.1464504873181781,0.12767027419714058
308581,0.12372435725136355,0.06627848041747715,0.3080695223961938
304217,0.4915913916351316,0.22526375260235132,0.08376144906355741
308991,0.5782397347436322,0.2382290570431583,0.07495921740018699
303620,0.5618974048068864,0.23678585816376382,0.08005438857803102
310199,0.7713143118906394,0.6348537077251792,0.05809276908005207
304450,0.10088547401680871,0.06030292406211053,0.3321495736117982
309722,0.1857264264881844,0.0672118583078216,0.2095423776946451
300601,0.11885794370295741,0.07713427860940258,0.3425094502376764
308325,0.2955827070587304,0.08624879980798107,0.17539421855990955
300589,0.3193544921564039,0.1783905946608368,0.08859282454408943
300144,0.4049149499406267,0.11548872605723667,0.11739349919540869
301637,0.20322696210700378,0.0713746568373364,0.2013340433573639
306063,0.09768970966690488,0.06330353440384327,0.37724666115379674
306691,0.7934530912985086,0.5650352354322923,0.056685552482830415
300704,0.12041443465096811,0.0683533321406446,0.3146084997027018
303487,0.4071068148519968,0.3410330430114505,0.0700369935863736
301332,0.3145445292401768,0.2126977221490826,0.08323023567160541
303858,0.2513208906170397,0.20181444028555592,0.08044066538674643
303776,0.25823446638911,0.1592972587323596,0.09369847181850195
305781,0.20173875160468746,0.1816216340924786,0.08173995309202962
306489,0.7543293870241976,0.6525820706606192,0.057730530886245114
301555,0.10703631545400634,0.06021931923809053,0.31815586044496014
303265,0.846847250566107,0.37845219879621583,0.06061570295240788
305021,0.34538095043096184,0.11899563647484167,0.10409842720671098
306768,0.3600683471443111,0.17831329055745768,0.07749112831438235
307800,0.37866560859565285,0.11646547627926061,0.12599969067901134
309284,0.11924552997136971,0.08975851945920346,0.3767899440550359
310442,0.4258012707662716,0.2801091699762517,0.07541951802651911
