AUC,T50,T80,scenario,rule
0.956092525870906,20.900000000000002,30.650000000000002,2pc50,Stage4_degree-first
0.9562009385782336,20.900000000000002,30.700000000000003,2pc50,Stage4_closeness-first
0.9661244464729691,15.9,23.35,2pc50,Stage4_hospital-first
0.9544096755950461,21.8,31.1,2pc50,Stage4_random
0.9560483176952496,20.85,29.75,2pc50,Stage4_centrality-first_SVIpop
0.9645880910381405,15.55,25.450000000000003,2pc50,Stage4_impact-first_SVIpop
0.9569225437794109,20.200000000000003,29.35,2pc50,Stage4_betweenness-first_SVIpop
0.9574501970314929,20.05,30.05,2pc50,Stage4_degree-first_SVIpop
0.9576697635597833,19.950000000000003,30.05,2pc50,Stage4_closeness-first_SVIpop
0.9676058545986547,15.100000000000001,22.5,2pc50,Stage4_hospital-first_SVIpop
0.9541649378269023,21.8,31.1,2pc50,Stage4_random_SVIpop
0.9610603655183615,17.95,27.200000000000003,2pc50,Stage5_GA_Balanced
0.9592105583328833,19.1,28.700000000000003,2pc50,Stage5_GA_HospFirst
0.962830990155935,17.0,26.650000000000002,2pc50,Stage5_GA_Efficiency
0.9619358759474825,17.5,26.55,2pc50,Stage5_GA_Balanced_SVI
0.9600352374285168,18.7,27.950000000000003,2pc50,Stage5_GA_HospFirst_SVI
0.9644584187559527,16.0,25.55,2pc50,Stage5_GA_Efficiency_SVI
