substation_id,scenario,mean_func0
300144,SanFernando,0.5866233058140797
300429,SanFernando,0.041317879441163795
300493,SanFernando,0.04522687891337107
300537,SanFernando,0.02665913142038648
300589,SanFernando,0.3364473395928136
300601,SanFernando,0.8025955266535321
300704,SanFernando,0.8436400211117087
301100,SanFernando,0.7175747881330237
301105,SanFernando,0.42342257784942566
301194,SanFernando,0.13024761743387944
301214,SanFernando,0.0227501319481792
301332,SanFernando,0.24263135225983884
301555,SanFernando,0.8885935150420924
301636,SanFernando,0.036431630100904694
301637,SanFernando,0.803572776521584
301638,SanFernando,0.7175747881330237
302171,SanFernando,0.5778280570016132
302260,SanFernando,0.05402212772583746
303099,SanFernando,0.5651238087169397
303265,SanFernando,0.04034062957311197
303487,SanFernando,0.044249629045319254
303531,SanFernando,0.13220211716998312
303620,SanFernando,0.10874812033673942
303776,SanFernando,0.410718329564752
303858,SanFernando,0.24849485146814976
303899,SanFernando,0.3129933427595699
304073,SanFernando,0.43221782666189207
304137,SanFernando,0.6999842905080909
304217,SanFernando,0.1077708704686876
304307,SanFernando,0.08724862323959937
304450,SanFernando,0.7938002778410658
305021,SanFernando,0.3911733322037156
305781,SanFernando,0.3129933427595699
306012,SanFernando,0.279766847245808
306063,SanFernando,0.8719802672852115
306152,SanFernando,0.0227501319481792
306419,SanFernando,0.10874812033673942
306489,SanFernando,0.026659131420386478
306623,SanFernando,0.70487053984835
306659,SanFernando,0.11558886941310217
306691,SanFernando,0.037408879968956504
306768,SanFernando,0.17324661162815955
307693,SanFernando,0.0227501319481792
307800,SanFernando,0.5768508071335614
308206,SanFernando,0.2973573448707408
308269,SanFernando,0.4029003306203374
308325,SanFernando,0.6091000527792716
308527,SanFernando,0.2191773554265951
308579,SanFernando,0.08822587310765119
308581,SanFernando,0.863185018472745
308991,SanFernando,0.09702112192011757
309042,SanFernando,0.3012663443429481
309284,SanFernando,0.7322335361538009
309391,SanFernando,0.8377765219033977
309553,SanFernando,0.7009615403761428
309569,SanFernando,0.028613631156490123
309722,SanFernando,0.8367992720353459
309843,SanFernando,0.4390585757382548
310179,SanFernando,0.8250722736187239
310199,SanFernando,0.0227501319481792
310442,SanFernando,0.06281737653830385
310458,SanFernando,0.05988562693414839
310464,SanFernando,0.029590881024541944
310527,SanFernando,0.27488059790554886
