substation_id,scenario,mean_func0
300144,Northridge,0.06281737653830385
300429,Northridge,0.024704631684282843
300493,Northridge,0.0227501319481792
300537,Northridge,0.0227501319481792
300589,Northridge,0.11363436967699853
300601,Northridge,0.5876005556821315
300704,Northridge,0.5406925620156442
301100,Northridge,0.14002011611439769
301105,Northridge,0.025681881552334664
301194,Northridge,0.058908377066096564
301214,Northridge,0.0227501319481792
301332,Northridge,0.1126571198089467
301555,Northridge,0.628645050140308
301636,Northridge,0.025681881552334664
301637,Northridge,0.2611990997528234
301638,Northridge,0.5455788113559032
302171,Northridge,0.07943062429518478
302260,Northridge,0.1888826095169887
303099,Northridge,0.09018037284375482
303265,Northridge,0.0227501319481792
303487,Northridge,0.032522630628697397
303531,Northridge,0.024704631684282843
303620,Northridge,0.02861363115649012
303776,Northridge,0.1800873607045223
303858,Northridge,0.16640586255179682
303899,Northridge,0.04229512930921561
304073,Northridge,0.19181435912114417
304137,Northridge,0.5387380622795406
304217,Northridge,0.024704631684282843
304307,Northridge,0.02568188155233466
304450,Northridge,0.5055115667657786
305021,Northridge,0.03838612983700833
305781,Northridge,0.269017098697238
306012,Northridge,0.11363436967699853
306063,Northridge,0.6950980411678318
306152,Northridge,0.0227501319481792
306419,Northridge,0.024704631684282843
306489,Northridge,0.02470463168428284
306623,Northridge,0.38042358365514556
306659,Northridge,0.024704631684282843
306691,Northridge,0.027636381288438303
306768,Northridge,0.040340629573111964
307693,Northridge,0.0227501319481792
307800,Northridge,0.07747612455908116
308206,Northridge,0.04522687891337107
308269,Northridge,0.09702112192011758
308325,Northridge,0.054022127725837456
308527,Northridge,0.031545380760645586
308579,Northridge,0.024704631684282843
308581,Northridge,0.5279883137309704
308991,Northridge,0.024704631684282843
309042,Northridge,0.09506662218401393
309284,Northridge,0.5563285599044733
309391,Northridge,0.26999434856528975
309553,Northridge,0.1556561140032268
309569,Northridge,0.02665913142038648
309722,Northridge,0.2963800950026889
309843,Northridge,0.03936337970506015
310179,Northridge,0.6218043010639454
310199,Northridge,0.0227501319481792
310442,Northridge,0.03056813089259376
310458,Northridge,0.05402212772583746
310464,Northridge,0.0227501319481792
310527,Northridge,0.08627137337154754
