substation_id,scenario,avg_damage_state
300105,2pc50,3.7619999999999996
300232,2pc50,3.647
300390,2pc50,3.5679999999999996
300408,2pc50,3.535
300429,2pc50,3.947
300493,2pc50,3.8409999999999997
300558,2pc50,3.4370000000000003
300627,2pc50,3.409
300648,2pc50,3.5389999999999997
300829,2pc50,3.747
301100,2pc50,3.711
301105,2pc50,3.7089999999999996
301108,2pc50,3.719
301156,2pc50,3.446
301194,2pc50,3.811
301214,2pc50,3.959
301517,2pc50,3.458
301541,2pc50,3.767
301543,2pc50,3.3990000000000005
301558,2pc50,3.7569999999999997
301614,2pc50,3.357
301636,2pc50,3.726
301637,2pc50,3.386
301745,2pc50,3.367
302164,2pc50,3.287
302171,2pc50,3.42
302187,2pc50,3.5439999999999996
302297,2pc50,3.424
302798,2pc50,3.537
302923,2pc50,3.42
303099,2pc50,3.3930000000000002
303169,2pc50,3.5839999999999996
303303,2pc50,3.3890000000000002
303344,2pc50,3.426
303371,2pc50,3.84
303540,2pc50,3.3280000000000003
303620,2pc50,3.73
303899,2pc50,3.742
304040,2pc50,3.488
304073,2pc50,3.622
304137,2pc50,3.386
304450,2pc50,3.5649999999999995
305780,2pc50,3.4299999999999997
305885,2pc50,3.386
305984,2pc50,3.764
306060,2pc50,3.7349999999999994
306091,2pc50,3.4030000000000005
306224,2pc50,3.229
306279,2pc50,3.8049999999999997
306365,2pc50,3.695
306369,2pc50,3.388
306444,2pc50,3.42
306450,2pc50,3.408
306489,2pc50,3.9530000000000003
306623,2pc50,3.3820000000000006
306694,2pc50,3.439
306768,2pc50,3.7849999999999997
306844,2pc50,3.643
307039,2pc50,3.496
307274,2pc50,3.2409999999999997
307373,2pc50,3.4779999999999998
307512,2pc50,3.7889999999999997
307557,2pc50,3.452
307564,2pc50,3.5300000000000002
307693,2pc50,3.992
307785,2pc50,3.492
307832,2pc50,3.711
308206,2pc50,3.671
308269,2pc50,3.7769999999999997
308367,2pc50,3.584
308471,2pc50,3.4040000000000004
308494,2pc50,3.7699999999999996
308540,2pc50,3.631
308581,2pc50,3.241
308786,2pc50,3.683
308806,2pc50,3.367
308907,2pc50,3.553
308991,2pc50,3.735
309042,2pc50,3.756
309156,2pc50,3.339
309553,2pc50,3.6999999999999997
309569,2pc50,3.855
309663,2pc50,3.681
309703,2pc50,3.7139999999999995
309758,2pc50,3.312
309843,2pc50,3.7479999999999998
309853,2pc50,3.253
310179,2pc50,3.409
310199,2pc50,3.9589999999999996
310204,2pc50,3.7179999999999995
310504,2pc50,3.4619999999999997
310527,2pc50,3.7689999999999997
