tract_id,scenario,supply
6037120104,SanFernando,0.010499999999999999
6037120105,SanFernando,0.010499999999999999
6037120106,SanFernando,0.010499999999999999
6037120107,SanFernando,0.010499999999999999
6037120108,SanFernando,0.010499999999999999
6037120300,SanFernando,0.0405
6037120400,SanFernando,0.0405
6037121010,SanFernando,0.0405
6037121020,SanFernando,0.0405
6037121101,SanFernando,0.0405
6037121102,SanFernando,0.0405
6037121210,SanFernando,0.0405
6037121221,SanFernando,0.0405
6037121222,SanFernando,0.0405
6037121600,SanFernando,0.0405
6037121801,SanFernando,0.0405
6037121802,SanFernando,0.0405
6037121900,SanFernando,0.0405
6037122000,SanFernando,0.0405
6037122120,SanFernando,0.031
6037122121,SanFernando,0.0405
6037122122,SanFernando,0.0405
6037122200,SanFernando,0.031
6037122410,SanFernando,0.0405
6037122420,SanFernando,0.031
6037123010,SanFernando,0.031
6037123020,SanFernando,0.031
6037123103,SanFernando,0.031
6037123104,SanFernando,0.031
6037123203,SanFernando,0.031
6037123204,SanFernando,0.031
6037123205,SanFernando,0.031
6037123206,SanFernando,0.031
6037123301,SanFernando,0.031
6037123303,SanFernando,0.031
6037123304,SanFernando,0.031
6037123410,SanFernando,0.0405
6037123420,SanFernando,0.031
6037123510,SanFernando,0.0405
6037123520,SanFernando,0.031
6037123601,SanFernando,0.031
6037123602,SanFernando,0.031
6037123700,SanFernando,0.031
6037123800,SanFernando,0.031
6037123901,SanFernando,0.031
6037123902,SanFernando,0.031
6037124000,SanFernando,0.031
6037124102,SanFernando,0.031
6037124103,SanFernando,0.031
6037124104,SanFernando,0.031
6037124105,SanFernando,0.031
6037124201,SanFernando,0.031
6037124203,SanFernando,0.031
6037124204,SanFernando,0.031
6037124300,SanFernando,0.031
6037124400,SanFernando,0.031
6037124500,SanFernando,0.031
6037124600,SanFernando,0.031
6037124700,SanFernando,0.031
6037124902,SanFernando,0.031
6037124903,SanFernando,0.031
6037125101,SanFernando,0.031
6037125102,SanFernando,0.031
6037125200,SanFernando,0.031
6037125310,SanFernando,0.031
6037125321,SanFernando,0.031
6037125322,SanFernando,0.031
6037125402,SanFernando,0.031
6037125403,SanFernando,0.031
6037125404,SanFernando,0.031
6037125501,SanFernando,0.031
6037125502,SanFernando,0.031
6037125600,SanFernando,0.031
6037127102,SanFernando,0.0405
6037127103,SanFernando,0.0405
6037127104,SanFernando,0.0405
6037127210,SanFernando,0.010499999999999999
6037127220,SanFernando,0.0405
6037127300,SanFernando,0.028
6037127400,SanFernando,0.028
6037127520,SanFernando,0.010499999999999999
6037127603,SanFernando,0.1413260330831379
6037127604,SanFernando,0.1409002610020835
6037127605,SanFernando,0.14340654569097594
6037127606,SanFernando,0.1411832090759798
6037127711,SanFernando,0.1393352970888197
6037127712,SanFernando,0.1388365111760085
6037127803,SanFernando,0.0405
6037127804,SanFernando,0.16799999999999998
6037127805,SanFernando,0.16799999999999998
6037127806,SanFernando,0.16799999999999998
6037127910,SanFernando,0.0405
6037127920,SanFernando,0.0405
6037128101,SanFernando,0.0405
6037128102,SanFernando,0.0405
6037128210,SanFernando,0.031
6037128220,SanFernando,0.031
6037128302,SanFernando,0.16799999999999998
6037128303,SanFernando,0.16799999999999998
6037128400,SanFernando,0.16799999999999998
6037128500,SanFernando,0.031
6037128601,SanFernando,0.031
6037128602,SanFernando,0.031
6037128703,SanFernando,0.031
6037128704,SanFernando,0.031
6037128801,SanFernando,0.13818396516774517
6037128802,SanFernando,0.16799999999999998
6037128910,SanFernando,0.16799999999999998
6037131021,SanFernando,0.028
6037131022,SanFernando,0.028
6037131023,SanFernando,0.028
6037131024,SanFernando,0.16799999999999998
6037131100,SanFernando,0.028
6037131200,SanFernando,0.028
6037131300,SanFernando,0.028
6037131400,SanFernando,0.028
6037131600,SanFernando,0.028
6037131701,SanFernando,0.028
6037131702,SanFernando,0.028
6037131801,SanFernando,0.028
6037131802,SanFernando,0.028
6037131900,SanFernando,0.028
6037132001,SanFernando,0.16799999999999998
6037132002,SanFernando,0.16799999999999998
6037132101,SanFernando,0.1465391391548268
6037132102,SanFernando,0.14516011778540247
6037132301,SanFernando,0.16799999999999998
6037132302,SanFernando,0.16799999999999998
6037132501,SanFernando,0.16799999999999998
6037132502,SanFernando,0.16799999999999998
6037132700,SanFernando,0.16799999999999998
6037132900,SanFernando,0.16799999999999998
6037133000,SanFernando,0.16799999999999998
6037133101,SanFernando,0.16799999999999998
6037133102,SanFernando,0.16799999999999998
6037134001,SanFernando,0.05650000000000001
6037134002,SanFernando,0.05650000000000001
6037134101,SanFernando,0.028
6037134103,SanFernando,0.07168023401776336
6037134104,SanFernando,0.05650000000000001
6037134201,SanFernando,0.05650000000000001
6037134302,SanFernando,0.07472000601986274
6037134303,SanFernando,0.05650000000000001
6037134304,SanFernando,0.0718318487517138
6037134305,SanFernando,0.07208943141145419
6037134306,SanFernando,0.05650000000000001
6037134421,SanFernando,0.08046066955957601
6037134422,SanFernando,0.075334279511044
6037134423,SanFernando,0.07838119523818217
6037134424,SanFernando,0.08426621371385395
6037134520,SanFernando,0.05650000000000001
6037134521,SanFernando,0.05650000000000001
6037134522,SanFernando,0.05650000000000001
6037134710,SanFernando,0.05650000000000001
6037134720,SanFernando,0.05650000000000001
6037134801,SanFernando,0.05650000000000001
6037134802,SanFernando,0.05650000000000001
6037134901,SanFernando,0.16799999999999998
6037134904,SanFernando,0.05650000000000001
6037134905,SanFernando,0.05650000000000001
6037134906,SanFernando,0.05650000000000001
6037134907,SanFernando,0.05650000000000001
6037135102,SanFernando,0.05650000000000001
6037135111,SanFernando,0.05650000000000001
6037135113,SanFernando,0.05650000000000001
6037135115,SanFernando,0.05650000000000001
6037135116,SanFernando,0.05650000000000001
6037135201,SanFernando,0.07223846409636164
6037135202,SanFernando,0.07619388499185051
6037135204,SanFernando,0.08058177594580739
6037135205,SanFernando,0.08422284706014883
6037137000,SanFernando,0.07890954655015778
6037137103,SanFernando,0.05650000000000001
6037137104,SanFernando,0.05650000000000001
6037137202,SanFernando,0.05650000000000001
6037137203,SanFernando,0.07160131705578297
6037137301,SanFernando,0.07614515905299518
6037137302,SanFernando,0.0824549325721737
6037137401,SanFernando,0.07464746850648842
6037137402,SanFernando,0.07895334572283724
6037137501,SanFernando,0.05650000000000001
6037137502,SanFernando,0.05650000000000001
6037137504,SanFernando,0.147490600498135
6037138000,SanFernando,0.07767428010938977
6037139001,SanFernando,0.16799999999999998
6037139200,SanFernando,0.16799999999999998
6037139301,SanFernando,0.16799999999999998
6037139302,SanFernando,0.16799999999999998
6037139303,SanFernando,0.16799999999999998
6037139401,SanFernando,0.16799999999999998
6037139402,SanFernando,0.16799999999999998
6037139502,SanFernando,0.16799999999999998
6037139504,SanFernando,0.16799999999999998
6037139505,SanFernando,0.16799999999999998
6037139506,SanFernando,0.16799999999999998
6037139600,SanFernando,0.16799999999999998
6037139701,SanFernando,0.14482870675347387
6037139703,SanFernando,0.14893183411260452
6037139704,SanFernando,0.1447340396925179
6037139705,SanFernando,0.14036097881443266
6037139801,SanFernando,0.16799999999999998
6037139802,SanFernando,0.1480454607691667
6037141101,SanFernando,0.031
6037141102,SanFernando,0.031
6037141201,SanFernando,0.031
6037141202,SanFernando,0.031
6037141303,SanFernando,0.16799999999999998
6037141304,SanFernando,0.16799999999999998
6037141305,SanFernando,0.16799999999999998
6037141306,SanFernando,0.16799999999999998
6037141400,SanFernando,0.13983216724838443
6037141500,SanFernando,0.13811436060582466
6037141600,SanFernando,0.543
6037141700,SanFernando,0.6984999999999999
6037143101,SanFernando,0.2957056916082677
6037143102,SanFernando,0.031
6037143200,SanFernando,0.031
6037143301,SanFernando,0.031
6037143302,SanFernando,0.031
6037143401,SanFernando,0.031
6037143402,SanFernando,0.031
6037143500,SanFernando,0.031
6037143602,SanFernando,0.031
6037143603,SanFernando,0.031
6037143605,SanFernando,0.29679942820263533
6037143606,SanFernando,0.29929888262789744
6037143700,SanFernando,0.2725
6037143801,SanFernando,0.3772977312482345
6037143802,SanFernando,0.3786675640039261
6037143901,SanFernando,0.37678118233121216
6037143902,SanFernando,0.37491431062632347
6037181000,SanFernando,0.40149999999999997
6037181300,SanFernando,0.40149999999999997
6037181400,SanFernando,0.40149999999999997
6037181500,SanFernando,0.40149999999999997
6037181600,SanFernando,0.40149999999999997
6037183101,SanFernando,0.40149999999999997
6037183103,SanFernando,0.40149999999999997
6037183104,SanFernando,0.40149999999999997
6037183220,SanFernando,0.40149999999999997
6037183221,SanFernando,0.40149999999999997
6037183222,SanFernando,0.40149999999999997
6037183300,SanFernando,0.40149999999999997
6037183401,SanFernando,0.40149999999999997
6037183402,SanFernando,0.28400000000000003
6037183510,SanFernando,0.40149999999999997
6037183520,SanFernando,0.40149999999999997
6037183610,SanFernando,0.40149999999999997
6037183620,SanFernando,0.40149999999999997
6037183701,SanFernando,0.40149999999999997
6037183702,SanFernando,0.40149999999999997
6037183810,SanFernando,0.40149999999999997
6037183820,SanFernando,0.503691344353022
6037185101,SanFernando,0.5028483024045256
6037185102,SanFernando,0.28400000000000003
