substation_id,scenario,mean_func0
300144,2pc50,0.027636381288438303
300429,2pc50,0.0227501319481792
300493,2pc50,0.023727381816231023
300537,2pc50,0.0227501319481792
300589,2pc50,0.024704631684282843
300601,2pc50,0.02568188155233466
300704,2pc50,0.02470463168428284
301100,2pc50,0.02568188155233466
301105,2pc50,0.0227501319481792
301194,2pc50,0.024704631684282843
301214,2pc50,0.0227501319481792
301332,2pc50,0.0227501319481792
301555,2pc50,0.03349988049674923
301636,2pc50,0.02372738181623102
301637,2pc50,0.029590881024541944
301638,2pc50,0.02861363115649012
302171,2pc50,0.029590881024541944
302260,2pc50,0.027636381288438303
303099,2pc50,0.028613631156490123
303265,2pc50,0.02372738181623102
303487,2pc50,0.0227501319481792
303531,2pc50,0.0227501319481792
303620,2pc50,0.02861363115649012
303776,2pc50,0.027636381288438303
303858,2pc50,0.02665913142038648
303899,2pc50,0.02470463168428284
304073,2pc50,0.026659131420386478
304137,2pc50,0.026659131420386485
304217,2pc50,0.024704631684282843
304307,2pc50,0.024704631684282843
304450,2pc50,0.02568188155233466
305021,2pc50,0.02372738181623102
305781,2pc50,0.025681881552334664
306012,2pc50,0.024704631684282843
306063,2pc50,0.028613631156490127
306152,2pc50,0.0227501319481792
306419,2pc50,0.024704631684282843
306489,2pc50,0.02372738181623102
306623,2pc50,0.029590881024541944
306659,2pc50,0.0227501319481792
306691,2pc50,0.024704631684282843
306768,2pc50,0.023727381816231023
307693,2pc50,0.0227501319481792
307800,2pc50,0.029590881024541944
308206,2pc50,0.0227501319481792
308269,2pc50,0.0227501319481792
308325,2pc50,0.024704631684282843
308527,2pc50,0.024704631684282843
308579,2pc50,0.024704631684282843
308581,2pc50,0.02861363115649012
308991,2pc50,0.024704631684282843
309042,2pc50,0.024704631684282843
309284,2pc50,0.03056813089259376
309391,2pc50,0.029590881024541944
309553,2pc50,0.02568188155233466
309569,2pc50,0.02372738181623102
309722,2pc50,0.02568188155233466
309843,2pc50,0.0227501319481792
310179,2pc50,0.026659131420386485
310199,2pc50,0.0227501319481792
310442,2pc50,0.02372738181623102
310458,2pc50,0.02372738181623102
310464,2pc50,0.0227501319481792
310527,2pc50,0.0227501319481792
