substation_id,scenario,mean_func0
300144,LongBeach,0.579782556737717
300429,LongBeach,0.6100773026473234
300493,LongBeach,0.7253927870774383
300537,LongBeach,0.7928230279730138
300589,LongBeach,0.7361425356260083
300601,LongBeach,0.0843168736354439
300704,LongBeach,0.10581637073258396
301100,LongBeach,0.14686086519076041
301105,LongBeach,0.3325383401206063
301194,LongBeach,0.6051910533070644
301214,LongBeach,0.8270267733548277
301332,LongBeach,0.7644827817995112
301555,LongBeach,0.09799837178816939
301636,LongBeach,0.879798266229626
301637,LongBeach,0.2670625989611343
301638,LongBeach,0.07356712508687388
302171,LongBeach,0.5240793142587632
302260,LongBeach,0.9227972604239061
303099,LongBeach,0.45958082296734304
303265,LongBeach,0.7879367786327549
303487,LongBeach,0.7410287849662673
303531,LongBeach,0.6501445472374481
303620,LongBeach,0.64037204855693
303776,LongBeach,0.7058477897164018
303858,LongBeach,0.7576420327231483
303899,LongBeach,0.5123523158421414
304073,LongBeach,0.04327237917726743
304137,LongBeach,0.07747612455908115
304217,LongBeach,0.6276678002722562
304307,LongBeach,0.6511217971054999
304450,LongBeach,0.050113128253630165
305021,LongBeach,0.4888983190088977
305781,LongBeach,0.776209780216133
306012,LongBeach,0.3540378372177464
306063,LongBeach,0.07649887469102934
306152,LongBeach,0.829958522958983
306419,LongBeach,0.6735985440706918
306489,LongBeach,0.8524352699241751
306623,LongBeach,0.16347411294764136
306659,LongBeach,0.6423265482930334
306691,LongBeach,0.9003205134587142
306768,LongBeach,0.6677350448623809
307693,LongBeach,0.7508012836467856
307800,LongBeach,0.5231020643907114
308206,LongBeach,0.6433037981610854
308269,LongBeach,0.21624560582243965
308325,LongBeach,0.18595085991283322
308527,LongBeach,0.6716440443345881
308579,LongBeach,0.7019387902441945
308581,LongBeach,0.09702112192011755
308991,LongBeach,0.6960752910358836
309042,LongBeach,0.29051659579437805
309284,LongBeach,0.08529412350349572
309391,LongBeach,0.30908434328736256
309553,LongBeach,0.14686086519076041
309569,LongBeach,0.7713235308758739
309722,LongBeach,0.23579060318347606
309843,LongBeach,0.5006253174255195
310179,LongBeach,0.07454437495492569
310199,LongBeach,0.814322525070154
310442,LongBeach,0.6823937928831582
310458,LongBeach,0.8592760190005377
310464,LongBeach,0.7771870300841848
310527,LongBeach,0.46251257257149847
