tract_id,AUC,T50,T80
6037101110,0.9526389352652626,18.0,42.0
6037101122,0.9526798429060875,18.0,42.0
6037101220,0.9540765227734026,18.0,42.0
6037101221,0.9526338869083701,18.0,42.0
6037101222,0.9526628881749422,18.0,42.0
6037101300,0.9590122856509296,14.0,36.0
6037101400,0.9581364797792727,18.0,36.0
6037102103,0.9570605818504965,18.0,33.0
6037102104,0.9578726944466585,18.0,33.0
6037102105,0.9642641995035539,14.0,25.0
6037102107,0.9496567554991093,25.0,42.0
6037103101,0.9525613408854995,18.0,42.0
6037103102,0.9525308131646042,18.0,42.0
6037103201,0.950947571598194,25.0,42.0
6037103202,0.9508884828606886,25.0,42.0
6037103300,0.947654333905861,25.0,42.0
6037103401,0.95095349641338,25.0,42.0
6037103402,0.9525044100855072,18.0,42.0
6037104103,0.9489317293451537,25.0,42.0
6037104105,0.9489645668571265,25.0,42.0
6037104108,0.9477268956889392,25.0,42.0
6037104201,0.9266524845331656,42.0,47.0
6037104203,0.9489300378266567,25.0,42.0
6037104204,0.9496560864441871,25.0,42.0
6037104310,0.9408108057597181,33.0,36.0
6037104321,0.9452347666794142,33.0,36.0
6037104322,0.9434134831636157,33.0,36.0
6037104401,0.9405857411593378,33.0,36.0
6037104403,0.940847040605734,33.0,36.0
6037104404,0.9410173442696267,33.0,36.0
6037104500,0.94773465103226,25.0,42.0
6037104610,0.9460482307706432,25.0,42.0
6037104620,0.9460060554668362,25.0,42.0
6037104701,0.947702565082089,25.0,42.0
6037104703,0.9454942369304257,25.0,36.0
6037104704,0.946260475252768,25.0,42.0
6037104821,0.9464784215778692,25.0,36.0
6037104822,0.9462641979261881,25.0,42.0
6037104823,0.9466091823629165,25.0,36.0
6037104824,0.946715643473045,25.0,36.0
6037106010,0.9205307635316957,46.0,47.0
6037106020,0.9238033545837019,46.0,47.0
6037106111,0.9266156136079773,42.0,47.0
6037106112,0.9259237626364705,42.0,47.0
6037106113,0.9240311233592392,46.0,47.0
6037106114,0.9210790707016673,46.0,47.0
6037106403,0.9102337672440383,47.0,47.0
6037106405,0.9079530956169297,47.0,47.0
6037106406,0.9179829733886161,46.0,47.0
6037106407,0.915695332864301,46.0,47.0
6037106408,0.9130096755385388,47.0,47.0
6037106510,0.9096806785519351,46.0,46.0
6037106520,0.9107616383065074,47.0,47.0
6037106603,0.9147667557966607,42.0,46.0
6037106604,0.9091588474245219,46.0,46.0
6037106641,0.9110515179618547,42.0,46.0
6037106642,0.9185219247623969,42.0,46.0
6037106643,0.9196297024076723,42.0,46.0
6037106645,0.9145407719888787,42.0,46.0
6037106646,0.9269244476154397,36.0,46.0
6037106648,0.9176672821269657,46.0,47.0
6037106649,0.9395698527277663,33.0,36.0
6037107010,0.9077648712515968,47.0,47.0
6037107020,0.9130611134690951,47.0,47.0
6037108101,0.9469661556291116,20.0,42.0
6037108102,0.9520685915316474,20.0,20.0
6037108103,0.944112841908955,20.0,42.0
6037108104,0.9435233707325532,20.0,42.0
6037108202,0.9429906213044036,20.0,46.0
6037108203,0.9443189530430867,20.0,42.0
6037108204,0.9478786213436651,20.0,36.0
6037109100,0.9370958734323659,33.0,33.0
6037109200,0.9222859452980753,36.0,46.0
6037109300,0.9234769344275872,36.0,46.0
6037109400,0.9373723328341678,33.0,33.0
6037109601,0.9396398410167365,33.0,36.0
6037109603,0.9403470879651606,33.0,36.0
6037109604,0.937388201087181,33.0,33.0
6037109700,0.9291329032314035,36.0,46.0
6037109800,0.9300926600766317,36.0,46.0
6037111100,0.929100049601141,36.0,46.0
6037111201,0.9300879211095907,36.0,46.0
6037111202,0.9324171376758003,36.0,46.0
6037111204,0.94915617572091,20.0,36.0
6037111205,0.9434074413661513,20.0,42.0
6037111206,0.944812489926998,20.0,42.0
6037111302,0.9566924524188897,15.0,42.0
6037111303,0.9326307522913594,36.0,46.0
6037111304,0.942735934001307,20.0,46.0
6037111401,0.9304728760336353,36.0,46.0
6037111402,0.9297818307862028,36.0,46.0
6037113101,0.9429223513633007,20.0,46.0
6037113102,0.9485695057917064,20.0,36.0
6037113211,0.9436409560475449,20.0,46.0
6037113212,0.94453584748974,20.0,42.0
6037113213,0.9439215802029738,20.0,46.0
6037113231,0.9678240416992636,9.0,36.0
6037113232,0.9683146251649263,9.0,36.0
6037113234,0.9687182005347933,9.0,36.0
6037113237,0.9432834687732149,20.0,46.0
6037113238,0.9688810971515217,9.0,36.0
6037113239,0.9680205949635727,9.0,36.0
6037113301,0.9572827758737754,15.0,42.0
6037113303,0.9569629320440851,15.0,42.0
6037113322,0.9443942374640013,20.0,42.0
6037113323,0.9424163005200635,20.0,46.0
6037113324,0.9438090821567395,20.0,46.0
6037113423,0.9570898791156086,15.0,42.0
6037113424,0.9576735347952682,15.0,36.0
6037113425,0.9566212392336961,15.0,42.0
6037113426,0.9570492786593363,15.0,42.0
6037113427,0.9687717351368976,9.0,36.0
6037113428,0.955172745986867,15.0,42.0
6037115101,0.955341007034545,15.0,42.0
6037115103,0.9571475232610402,15.0,42.0
6037115104,0.9572869709134543,15.0,42.0
6037115202,0.9629058870296016,15.0,15.0
6037115203,0.9572696787525389,15.0,42.0
6037115204,0.9579722741048785,15.0,36.0
6037115301,0.9579533713826206,15.0,36.0
6037115302,0.9649660749220299,15.0,15.0
6037115401,0.9561748260299279,15.0,42.0
6037115403,0.9582499396747769,15.0,36.0
6037115404,0.9694359419979466,15.0,15.0
6037117101,0.9452940442012013,33.0,36.0
6037117102,0.9410435615430495,33.0,36.0
6037117201,0.9450908739855898,33.0,36.0
6037117202,0.9453312795725524,33.0,36.0
6037117301,0.9331391216758995,36.0,46.0
6037117302,0.9567097916450555,15.0,42.0
6037117303,0.9554727475078485,15.0,42.0
6037117404,0.9485126270262645,25.0,36.0
6037117405,0.9457935573053704,33.0,42.0
6037117407,0.9469194604809117,33.0,42.0
6037117408,0.9486021164943479,25.0,36.0
6037117510,0.9457264374381016,33.0,42.0
6037117520,0.9468678435548725,33.0,36.0
6037117530,0.9485570618944855,25.0,36.0
6037119001,0.9462661643109403,25.0,42.0
6037119003,0.9450281644086945,33.0,36.0
6037119004,0.9461676290862496,25.0,42.0
6037119201,0.943411508213852,33.0,36.0
6037119202,0.9405865531912964,33.0,36.0
6037119310,0.9432562636878382,33.0,36.0
6037119320,0.945332251414753,33.0,36.0
6037119340,0.9457531600418477,33.0,42.0
6037119341,0.9455777688205359,33.0,42.0
6037119342,0.9452659804249384,33.0,36.0
6037119400,0.9489541535208141,25.0,42.0
6037119700,0.9568789342951296,18.0,33.0
6037119801,0.9476683677095129,25.0,42.0
6037119802,0.9477004156336994,25.0,42.0
6037119900,0.9496584125800197,25.0,42.0
6037120010,0.9489205832773149,25.0,42.0
6037120020,0.976878405664716,7.0,18.0
6037120030,0.9769863128118996,7.0,18.0
6037120103,0.9469021863771803,33.0,42.0
6037120104,0.9486334039354777,25.0,36.0
6037120105,0.9468683485406738,33.0,36.0
6037120106,0.9486487182856915,25.0,36.0
6037120107,0.9484562908282476,25.0,36.0
6037120108,0.9458613489778214,33.0,42.0
6037120300,0.958734118604108,18.0,36.0
6037120400,0.9578660809303942,18.0,33.0
6037121010,0.9629816188493664,18.0,25.0
6037121020,0.959744499762455,18.0,25.0
6037121101,0.9583772674346781,18.0,25.0
6037121102,0.9449286638028384,25.0,33.0
6037121210,0.9459727306489998,25.0,36.0
6037121221,0.9633893016887912,18.0,18.0
6037121222,0.964370904379393,18.0,18.0
6037121600,0.9581564161293002,18.0,33.0
6037121801,0.9629981821364418,18.0,25.0
6037121802,0.963620832235939,18.0,18.0
6037121900,0.9634002249603901,18.0,18.0
6037122000,0.9587587399412737,18.0,33.0
6037122120,0.9584759680885284,18.0,25.0
6037122121,0.9604460996979236,18.0,25.0
6037122122,0.9607728061619741,18.0,25.0
6037122200,0.9587863904823558,18.0,33.0
6037122410,0.9697759066156383,14.0,18.0
6037122420,0.9694601035145131,14.0,18.0
6037123010,0.9710814862344804,14.0,18.0
6037123020,0.9697553871954006,14.0,18.0
6037123103,0.9710917336877939,14.0,18.0
6037123104,0.9747863381920736,13.0,14.0
6037123203,0.9711116491277065,14.0,18.0
6037123204,0.9694748763644944,14.0,18.0
6037123205,0.9715598989444639,14.0,14.0
6037123206,0.9715631772848752,14.0,14.0
6037123301,0.9705231554606144,14.0,18.0
6037123303,0.9687338118517488,14.0,18.0
6037123304,0.9704798886429608,14.0,18.0
6037123410,0.9787340194265699,7.0,14.0
6037123420,0.9790693532005907,7.0,14.0
6037123510,0.9789592491256082,7.0,14.0
6037123520,0.979318376062524,7.0,14.0
6037123601,0.9833458449641237,7.0,13.0
6037123602,0.9818378336613004,7.0,13.0
6037123700,0.9792753009589266,7.0,14.0
6037123800,0.9793803793647055,7.0,14.0
6037123901,0.9694307660259429,14.0,18.0
6037123902,0.9705344829556085,14.0,18.0
6037124000,0.9792434297433938,7.0,14.0
6037124102,0.9698169289911325,14.0,18.0
6037124103,0.9710417766082062,14.0,14.0
6037124104,0.9700512061585386,14.0,14.0
6037124105,0.9711197742939921,14.0,18.0
6037124201,0.9699928416875747,14.0,14.0
6037124203,0.9745070059353992,13.0,14.0
6037124204,0.9745093234738954,13.0,14.0
6037124300,0.9743885670471031,13.0,13.0
6037124400,0.9815594546808644,7.0,13.0
6037124500,0.9853658282940274,7.0,7.0
6037124600,0.9818281399807425,7.0,13.0
6037124700,0.9816437999567676,7.0,13.0
6037124902,0.9791075978701053,7.0,14.0
6037124903,0.9794568045907188,7.0,14.0
6037125101,0.9687990706513577,14.0,18.0
6037125102,0.9786283960866534,7.0,14.0
6037125200,0.975314117895432,13.0,14.0
6037125310,0.9751502213898107,13.0,14.0
6037125321,0.9759011533170622,13.0,14.0
6037125322,0.9751309756640792,13.0,14.0
6037125402,0.9753216228774353,13.0,14.0
6037125403,0.9752453791235774,13.0,14.0
6037125404,0.9751987762549006,13.0,14.0
6037125501,0.9751237249791074,13.0,14.0
6037125502,0.9752640191375693,13.0,14.0
6037125600,0.9752255098337371,13.0,14.0
6037127102,0.9762445969212021,7.0,18.0
6037127103,0.9765704540687837,7.0,14.0
6037127104,0.9764476585395533,7.0,18.0
6037127210,0.9770385604779155,7.0,18.0
6037127220,0.9761046661984257,8.0,18.0
6037127300,0.9768888943045189,7.0,18.0
6037127400,0.9554404351781483,15.0,42.0
6037127520,0.948926724559981,25.0,42.0
6037127603,0.9768978976519382,7.0,18.0
6037127604,0.9768607556077937,7.0,18.0
6037127605,0.9677795500648199,9.0,36.0
6037127606,0.9770010419172198,7.0,18.0
6037127711,0.9760772637823082,8.0,18.0
6037127712,0.9764557708341141,7.0,18.0
6037127803,0.9764033268189375,7.0,18.0
6037127804,0.9761155954589534,8.0,18.0
6037127805,0.9764394572283273,7.0,18.0
6037127806,0.9782887196158793,7.0,14.0
6037127910,0.9783851339905605,7.0,14.0
6037127920,0.9786149372693747,7.0,14.0
6037128101,0.9792002464678257,7.0,14.0
6037128102,0.9787924591121884,7.0,14.0
6037128210,0.9792089808334062,7.0,14.0
6037128220,0.9813710699555589,7.0,13.0
6037128302,0.9765631298853327,7.0,14.0
6037128303,0.9786982927338506,7.0,14.0
6037128400,0.9784715851619661,7.0,14.0
6037128500,0.9792436570073375,7.0,14.0
6037128601,0.98129507856342,7.0,13.0
6037128602,0.981839901144024,7.0,13.0
6037128703,0.979256463107386,7.0,14.0
6037128704,0.9809752369842993,7.0,13.0
6037128801,0.9764557822157934,7.0,18.0
6037128802,0.9786987555244554,7.0,14.0
6037128910,0.9784189033781492,7.0,14.0
6037131021,0.9576156528236681,15.0,36.0
6037131022,0.9561531310690312,15.0,42.0
6037131023,0.956016372811169,15.0,42.0
6037131024,0.9694955021190824,9.0,15.0
6037131100,0.9567549607834162,15.0,42.0
6037131200,0.9553836273413189,15.0,42.0
6037131300,0.9564842545219288,15.0,42.0
6037131400,0.9562376762161058,15.0,42.0
6037131600,0.9567084136338353,15.0,42.0
6037131701,0.9555412285561335,15.0,42.0
6037131702,0.9559724729464271,15.0,42.0
6037131801,0.9556978923510878,15.0,42.0
6037131802,0.9551299656579723,15.0,42.0
6037131900,0.9565275927821612,15.0,42.0
6037132001,0.9689223843752451,9.0,36.0
6037132002,0.9680389351884021,9.0,36.0
6037132101,0.9683735873189718,9.0,36.0
6037132102,0.968108486640735,9.0,36.0
6037132301,0.9695150266993048,9.0,36.0
6037132302,0.9681278497611074,9.0,36.0
6037132501,0.9689105659793242,9.0,15.0
6037132502,0.9802518192043117,9.0,9.0
6037132700,0.9690486787235167,9.0,15.0
6037132900,0.9801104161313839,9.0,9.0
6037133000,0.9685582998341646,9.0,36.0
6037133101,0.9816994538003648,9.0,9.0
6037133102,0.981699544465286,9.0,9.0
6037134001,0.9802522773158624,9.0,9.0
6037134002,0.9801673619142942,9.0,9.0
6037134101,0.9560942732251315,15.0,42.0
6037134103,0.9688539986774417,9.0,36.0
6037134104,0.968239576233718,9.0,36.0
6037134201,0.9687125348052393,9.0,36.0
6037134302,0.9689922419930875,9.0,36.0
6037134303,0.9690032730244879,9.0,15.0
6037134304,0.9687673262778314,9.0,36.0
6037134305,0.9686959397842955,9.0,36.0
6037134306,0.9687569562067585,9.0,36.0
6037134421,0.9687221696426497,9.0,36.0
6037134422,0.9688270534077066,9.0,36.0
6037134423,0.9680779795170118,9.0,36.0
6037134520,0.9819194891078915,9.0,9.0
6037134521,0.9799553835717696,9.0,9.0
