t,lcc_size,avg_degree,lcc_fraction
254.0,50,7.92,1.0
255.0,50,7.92,1.0
256.0,50,7.92,1.0
257.0,50,7.92,1.0
258.0,50,7.92,1.0
259.0,50,7.92,1.0
260.0,50,7.92,1.0
261.0,50,7.92,1.0
262.0,50,7.92,1.0
263.0,50,7.92,1.0
264.0,50,7.92,1.0
265.0,50,7.92,1.0
266.0,50,7.92,1.0
267.0,50,7.92,1.0
268.0,50,7.92,1.0
269.0,50,7.92,1.0
270.0,50,7.92,1.0
271.0,50,7.92,1.0
272.0,50,7.92,1.0
273.0,50,7.92,1.0
274.0,50,7.92,1.0
275.0,50,7.92,1.0
276.0,50,7.92,1.0
277.0,50,7.92,1.0
278.0,50,7.92,1.0
279.0,50,7.92,1.0
280.0,50,7.92,1.0
281.0,50,7.92,1.0
282.0,50,7.92,1.0
283.0,50,7.92,1.0
284.0,50,7.92,1.0
285.0,50,7.92,1.0
286.0,50,7.92,1.0
287.0,50,7.92,1.0
288.0,50,7.92,1.0
289.0,50,7.92,1.0
290.0,50,7.92,1.0
291.0,50,7.92,1.0
292.0,50,7.92,1.0
293.0,50,7.92,1.0
294.0,50,7.92,1.0
295.0,50,7.92,1.0
296.0,50,7.92,1.0
297.0,50,7.92,1.0
298.0,50,7.92,1.0
299.0,50,7.92,1.0
300.0,50,7.92,1.0
301.0,50,7.92,1.0
302.0,50,7.92,1.0
303.0,50,7.92,1.0
304.0,50,7.92,1.0
305.0,50,7.92,1.0
306.0,50,7.92,1.0
307.0,50,7.92,1.0
308.0,50,7.92,1.0
309.0,50,7.92,1.0
310.0,50,7.92,1.0
311.0,50,7.92,1.0
312.0,50,7.92,1.0
313.0,50,7.92,1.0
314.0,50,7.92,1.0
315.0,50,7.92,1.0
316.0,50,7.92,1.0
317.0,50,7.92,1.0
318.0,50,7.92,1.0
319.0,50,7.92,1.0
320.0,50,7.92,1.0
321.0,50,7.92,1.0
322.0,50,7.92,1.0
323.0,50,7.92,1.0
324.0,50,7.92,1.0
325.0,50,7.92,1.0
326.0,50,7.92,1.0
327.0,50,7.92,1.0
328.0,50,7.92,1.0
329.0,50,7.92,1.0
330.0,50,7.92,1.0
331.0,50,7.92,1.0
332.0,50,7.92,1.0
333.0,50,7.92,1.0
334.0,50,7.92,1.0
335.0,50,7.92,1.0
336.0,50,7.92,1.0
337.0,50,7.92,1.0
338.0,50,7.92,1.0
339.0,50,7.92,1.0
340.0,50,7.92,1.0
341.0,50,7.92,1.0
342.0,50,7.92,1.0
343.0,50,7.92,1.0
344.0,50,7.92,1.0
345.0,50,7.92,1.0
346.0,50,7.92,1.0
347.0,50,7.92,1.0
348.0,50,7.92,1.0
349.0,50,7.92,1.0
350.0,50,7.92,1.0
351.0,50,7.92,1.0
352.0,50,7.92,1.0
353.0,50,7.92,1.0
354.0,50,7.92,1.0
355.0,50,7.92,1.0
356.0,50,7.92,1.0
357.0,50,7.92,1.0
358.0,50,7.92,1.0
359.0,50,7.92,1.0
360.0,50,7.92,1.0
361.0,50,7.92,1.0
362.0,50,7.92,1.0
363.0,50,7.92,1.0
364.0,50,7.92,1.0
365.0,50,7.92,1.0
