tract_id,cluster,T50,T80,AUC,Init_Prob,Grid_Centrality,Grid_ImpactLambda2,Grid_Betweenness,N_subs,Redundancy_HHI,Redundancy_MaxShare,Dist_to_CrewYard_km,Pre_1970_Ratio,Pop_Density,SVI_THEME1,SVI_THEME2,SVI_THEME3,SVI_THEME4,NRI_BUILDVALUE,NRI_RISK_SCORE,NRI_EAL_SCORE,PC1,PC2,PC3,PC4,PC5,PC6
6037207305,1,5.666666666666667,6.333333333333333,0.9885658463380945,0.0311111111111111,8.857142857142858,0.15198048802795933,0.05753830223403028,7,0.38176526076435935,0.5808739699174542,4.264221388249699,0.8931034482758621,10167.23897964621,0.6768,0.0239,0.1999,0.9386,445369904.0,92.89349759786899,93.88989360452825,-0.49215227700370695,-2.204554222797705,2.127580572524762,-0.039995249978464764,1.0125934831985766,0.3213711281697863
6037207306,0,5.666666666666667,6.0,0.9888390721085867,0.0433333333333333,9.4,0.21012546148473335,0.07872269568803514,5,0.47518081804057827,0.6597618271739929,2.8765213404171295,0.7396449704142012,31248.777189968012,0.676,0.0496,0.4385,0.8365,421342669.0,89.2451124958379,83.72595532799399,-1.572918622505186,-2.4701122844010204,2.656926058714393,1.4806669805917472,1.0057790602709626,-0.05137523574061671
6037207307,0,5.666666666666667,5.666666666666667,0.9890267540704948,0.05111111111111106,8.5,0.2594235780421047,0.0901046277060645,4,0.5877337028568692,0.7491306346239701,2.6993098483094258,0.8584615384615385,74369.2272140335,0.757,0.0867,0.648,0.8884,113237017.0,48.860771535936834,39.15729149540832,-3.6131742818807524,-2.1971638403560383,0.6422313227596659,5.4946660830159155,0.05932723481493874,-0.3616341167293386
6037207308,1,5.666666666666667,6.0,0.9890178053244916,0.05111111111111106,8.5,0.2594235780421047,0.0901046277060645,4,0.5742710902370595,0.7386211847667674,2.6993098483094258,0.847237269772481,71527.33964446097,0.5272,0.0003,0.2386,0.7055,166323945.0,39.681539266517625,43.13479108438828,-2.6965185564089675,-3.4280386060457873,-0.03286103841346088,5.393246019204962,-0.1735460589103185,-0.3271306874492937
6037207400,1,5.666666666666667,6.666666666666667,0.9880227550044083,0.01,8.6,0.2137996689221516,0.0572129608030388,10,0.22850461912327308,0.413914911185716,3.26218606478201,0.04488778054862843,6275.709406738024,0.851,0.021,0.6458,0.893,1676778063.0,99.93459544308611,99.91779599314184,0.14578931028046335,-1.5936669009310556,3.800558495318764,-1.855592871003496,-1.127432364516367,-1.063586411081863
6037207501,1,5.666666666666667,7.0,0.9879546954637082,0.01,8.6,0.2137996689221516,0.0572129608030388,10,0.21177535136701,0.38883653291734993,3.26218606478201,0.4474802671523983,38466.044814678215,0.4858,0.0066,0.5931,0.5784,339228218.0,65.48660990343909,66.44432440049792,-1.3830420297660684,-1.9139486392695404,-0.19753296596968353,1.3129251148347543,-1.271344043933547,-0.7174187556130895
6037207502,0,5.666666666666667,6.333333333333333,0.9881796409192019,0.01,8.333333333333334,0.23621850133683797,0.06255277453692797,9,0.2598594256426492,0.4510146553305265,3.0992437291666097,0.13488880787458987,22607.77394445926,0.9162,0.766,0.5976,0.9329,2026430227.0,99.8168672406412,99.65004579937525,-0.419714339234504,-0.8140446552281604,4.70529333011347,-1.5364895404544516,-0.94034801490822,-0.39414574028396976
6037207711,1,5.666666666666667,7.0,0.9879045081863064,0.007777777777777766,8.6,0.2137996689221516,0.0572129608030388,10,0.20060267154132455,0.37107283021976556,3.26218606478201,0.1291304347826087,8169.912545982992,0.1772,0.0031,0.4292,0.969,1579570500.0,98.82866384436095,99.053479578176,0.8461301872190206,-2.627006500768703,3.172417307312301,-1.956346231637893,-1.4557948568619608,-0.9276506441362842
6037207712,0,5.666666666666667,6.333333333333333,0.9882409840539296,0.013333333333333334,8.333333333333334,0.23621850133683797,0.06255277453692797,9,0.27999257344138345,0.4771011596935596,3.0992437291666097,0.45406670567583385,27904.665139851382,0.6559,0.5134,0.6855,0.8293,1622010987.0,99.4315749417305,99.11571975479721,-0.5128879185656894,-1.3128130240987568,3.9326785075865556,-1.1080212319276355,-0.6889929532812055,0.3039152537333839
6037207901,0,5.666666666666667,7.0,0.9879296244982068,0.008888888888888866,8.6,0.2137996689221516,0.0572129608030388,10,0.20607575621305382,0.3798846456774069,3.26218606478201,0.06199147617202635,41114.579497541024,0.5458,0.0393,0.6721,0.8592,486273168.0,83.89026304523615,83.01430349719331,-1.1983641951562558,-1.2552343316020758,1.7036181532009507,0.41431897608151197,-1.845905106505168,-2.068549044083177
6037207902,1,5.666666666666667,6.333333333333333,0.9881680630587389,0.01,8.333333333333334,0.23621850133683797,0.06255277453692797,9,0.2562880821498877,0.44620219110965265,3.0992437291666097,0.0613627564847077,26700.232503143376,0.5133,0.005,0.5959,0.6318,1410369743.0,97.94391856538077,97.73469243958003,0.1991487007532383,-2.319147724708189,3.4113071339976675,-0.895421345040596,-1.5290799037132137,-1.1545649978083292
6037208001,1,5.666666666666667,7.0,0.9879410536031389,0.006666666666666667,7.909090909090909,0.19436333538377418,0.052011782548217096,11,0.17246324967486804,0.33063717244244284,3.9011071191157414,0.4067103109656301,11025.89943724836,0.498,0.0154,0.733,0.4903,332919121.0,82.4644437045141,79.3714916504216,-0.4780069756266577,-1.5788470331653153,0.40838732223077523,0.029261652379147823,-0.9599575438170023,-0.13038324198200377
6037208002,0,5.666666666666667,7.0,0.98784047348166,0.004444444444444433,7.909090909090909,0.19436333538377418,0.052011782548217096,11,0.15332869351289452,0.2941367330476805,3.9011071191157414,0.62,27178.947285153914,0.9836,0.4715,0.8383,0.6973,316152208.0,83.1612995290872,74.34882683138784,-1.991198237977866,0.13088151833611875,0.8384668900144828,0.3857949229338356,-0.7155371105427139,0.3190857025170274
6037208301,0,5.666666666666667,7.0,0.9878269123908067,0.0033333333333333335,7.909090909090909,0.19436333538377418,0.052011782548217096,11,0.15102469880969904,0.28944324761265405,3.9011071191157414,0.477891156462585,53050.82445270682,0.9542,0.6699,0.9253,0.7735,116248510.0,54.18351329496266,38.31646193954483,-3.3317863219362778,0.6089362315019211,-1.1316902726088849,2.5808788879381215,-1.4260522633853623,-0.7219577620141797
