id,lat,lon
300144,34.0509730360001,-118.4760319
300429,34.17619826,-118.3596448
300493,34.2292951100001,-118.5434782
301105,34.0331442630001,-118.4600055
301194,34.1093400830001,-118.2544222
301636,34.2735632820001,-118.458755
301637,33.962,-118.376219
302171,34.04740878,-118.4522527
303099,34.0380813470001,-118.3708133
303620,34.1793531860001,-118.5436866
303899,34.0881192410001,-118.3469878
304073,33.94797761,-118.2549111
304137,33.84773309,-118.3034261
304450,33.7788659230001,-118.2273228
306489,34.3125282570001,-118.4811313
306623,33.9464505350001,-118.3128075
306768,34.12370611,-118.3370583
307693,34.2805920000001,-118.478304
308206,34.1059585250001,-118.358772
308269,34.01532207,-118.2039437
308581,33.7704535940001,-118.264895
308991,34.1894990280001,-118.5918789
309042,34.037716,-118.22984
309553,33.919,-118.425293
309569,34.24329813,-118.3918025
309843,34.06826245,-118.4884048
310179,33.7980000000001,-118.257816
310199,34.3110069570001,-118.4893478
310527,34.06701,-118.2261
