OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
206374574,28387,RIDGEVIEW SKILLED NURSING FACILITY,550008392,Skilled Nursing Facility,9825 GLEN CENTER DRIVE,San Diego,92131,37,San Diego,Not Applicable,45,Open,2023-02-15,Long Term Care Facility,Skilled Nursing Facility,32.90151250,-117.08900720
206380762,22750,SAN FRANCISCO HEALTH CARE,220000011,Skilled Nursing Facility,1477 GROVE STREET,SAN FRANCISCO,94117,38,San Francisco,Not Applicable,168,Open,1971-02-08,Long Term Care Facility,Skilled Nursing Facility,37.77527690,-122.44079640
206380772,22401,CENTRAL GARDENS POST ACUTE,220000013,Skilled Nursing Facility,1355 ELLIS STREET,SAN FRANCISCO,94115,38,San Francisco,Not Applicable,92,Open,1963-07-19,Long Term Care Facility,Skilled Nursing Facility,37.78263030,-122.42863090
206380814,22415,THE AVENUES TRANSITIONAL CARE CENTER,220000024,Skilled Nursing Facility,2043 19TH AVENUE,SAN FRANCISCO,94116,38,San Francisco,Not Applicable,140,Open,1968-07-16,Long Term Care Facility,Skilled Nursing Facility,37.74964650,-122.47644960
206380830,22424,HAYES CONVALESCENT HOSPITAL,220000032,Skilled Nursing Facility,1250 HAYES STREET,SAN FRANCISCO,94117,38,San Francisco,Not Applicable,34,Open,1965-05-25,Long Term Care Facility,Skilled Nursing Facility,37.77540180,-122.43712480
206380849,22435,LAWTON SKILLED NURSING & REHABILITATION CENTER,220000036,Skilled Nursing Facility,1575 7TH AVENUE,SAN FRANCISCO,94122,38,San Francisco,Not Applicable,68,Open,1962-01-08,Long Term Care Facility,Skilled Nursing Facility,37.75898560,-122.46412250
206380921,22481,PACIFIC HEIGHTS TRANSITIONAL CARE CENTER,220000057,Skilled Nursing Facility,2707 PINE STREET,SAN FRANCISCO,94115,38,San Francisco,Not Applicable,120,Open,1970-02-19,Long Term Care Facility,Skilled Nursing Facility,37.78687180,-122.44048690
206380938,22483,CITY VIEW POST ACUTE,220000062,Skilled Nursing Facility,1359 PINE STREET,SAN FRANCISCO,94109,38,San Francisco,Not Applicable,180,Open,1970-06-08,Long Term Care Facility,Skilled Nursing Facility,37.78965230,-122.41828600
206380948,22591,SEQUOIAS SAN FRANCISCO CONVALESCENT HOSPITAL,220000065,Skilled Nursing Facility,1400 GEARY BOULEVARD,SAN FRANCISCO,94109,38,San Francisco,Not Applicable,50,Open,1969-06-18,Long Term Care Facility,Skilled Nursing Facility,37.78551850,-122.42734790
206380984,22477,VICTORIAN POST ACUTE,220000077,Skilled Nursing Facility,2121 PINE STREET,SAN FRANCISCO,94115,38,San Francisco,Not Applicable,90,Open,1967-10-30,Long Term Care Facility,Skilled Nursing Facility,37.78804600,-122.43110830
