"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US06037104401","Census Tract 1044.01; Los Angeles County; California","665","59","0","13","0","13","37","34","0","13","54","35","17","22","56","37","240","63","135","54","126","53",
"1400000US06037104403","Census Tract 1044.03; Los Angeles County; California","605","84","0","13","0","13","49","37","37","34","6","9","107","74","20","21","292","74","89","49","5","8",
"1400000US06037104404","Census Tract 1044.04; Los Angeles County; California","765","103","0","13","30","30","12","14","0","13","23","23","116","73","44","39","266","72","258","96","16","17",
"1400000US06037104500","Census Tract 1045; Los Angeles County; California","647","88","0","13","0","13","22","32","0","13","3","8","24","24","109","53","254","76","172","77","63","49",
"1400000US06037104610","Census Tract 1046.10; Los Angeles County; California","716","85","0","13","46","30","16","24","51","35","51","34","69","39","83","44","174","55","208","95","18","18",
"1400000US06037104620","Census Tract 1046.20; Los Angeles County; California","722","95","0","13","19","29","22","20","17","25","0","13","8","10","68","58","333","97","246","71","9","12",
"1400000US06037104701","Census Tract 1047.01; Los Angeles County; California","953","105","0","13","11","16","21","22","21","18","38","30","63","35","136","54","283","92","320","117","60","34",
"1400000US06037104703","Census Tract 1047.03; Los Angeles County; California","670","62","6","10","73","45","15","29","42","39","166","64","161","76","23","33","105","53","53","39","26","29",
"1400000US06037104704","Census Tract 1047.04; Los Angeles County; California","1262","130","0","13","59","50","218","84","74","54","440","134","167","84","235","93","44","51","25","39","0","13",
"1400000US06037104821","Census Tract 1048.21; Los Angeles County; California","772","59","0","13","2","5","23","22","44","32","187","67","39","35","41","31","347","85","66","45","23","32",
"1400000US06037104822","Census Tract 1048.22; Los Angeles County; California","659","102","0","13","19","21","38","21","41","33","79","44","118","74","132","53","180","55","48","35","4","6",
"1400000US06037104823","Census Tract 1048.23; Los Angeles County; California","729","99","0","13","126","57","31","36","0","13","11","15","33","31","150","90","240","92","138","81","0","13",
"1400000US06037104824","Census Tract 1048.24; Los Angeles County; California","510","118","0","13","0","13","5","8","0","13","12","19","16","25","90","67","321","131","66","60","0","13",
"1400000US06037106010","Census Tract 1060.10; Los Angeles County; California","941","95","13","18","0","13","81","44","18","16","262","72","233","86","257","87","50","33","8","10","19","16",
"1400000US06037106020","Census Tract 1060.20; Los Angeles County; California","1328","121","0","13","21","29","61","83","123","84","175","86","223","111","163","92","339","120","190","101","33","39",
"1400000US06037106111","Census Tract 1061.11; Los Angeles County; California","1445","162","8","12","0","13","80","41","160","74","329","123","343","83","392","147","89","46","44","57","0","13",
"1400000US06037106112","Census Tract 1061.12; Los Angeles County; California","1431","124","0","19","13","17","165","53","30","25","277","108","121","72","299","102","364","157","148","83","14","20",
"1400000US06037106113","Census Tract 1061.13; Los Angeles County; California","1047","94","0","13","154","66","66","50","117","58","171","78","117","50","280","67","96","46","46","53","0","13",
"1400000US06037106114","Census Tract 1061.14; Los Angeles County; California","1803","187","21","29","91","46","120","72","183","126","736","158","63","62","88","61","262","95","200","153","39","30",
"1400000US06037106403","Census Tract 1064.03; Los Angeles County; California","883","80","0","13","0","13","0","13","56","65","31","34","94","60","54","33","534","88","45","31","69","62",
"1400000US06037106405","Census Tract 1064.05; Los Angeles County; California","1222","158","46","75","86","58","9","15","183","108","530","142","169","93","69","50","77","57","32","51","21","29",
"1400000US06037106406","Census Tract 1064.06; Los Angeles County; California","1984","280","0","19","296","135","324","120","118","87","464","231","190","92","220","120","244","108","118","79","10","17",
"1400000US06037106407","Census Tract 1064.07; Los Angeles County; California","915","86","5","8","90","43","230","78","24","19","223","70","221","81","83","42","5","10","34","33","0","13",
"1400000US06037106408","Census Tract 1064.08; Los Angeles County; California","1080","100","0","13","0","13","121","54","132","59","337","116","239","81","183","73","22","29","21","24","25","24",
"1400000US06037106510","Census Tract 1065.10; Los Angeles County; California","1716","228","0","19","155","90","748","252","42","46","295","114","290","119","51","47","34","23","28","33","73","76",
"1400000US06037106520","Census Tract 1065.20; Los Angeles County; California","1497","157","10","17","93","74","50","46","40","36","307","85","162","92","150","71","552","155","93","67","40","47",
"1400000US06037106603","Census Tract 1066.03; Los Angeles County; California","1200","220","0","13","11","15","0","13","15","23","305","101","282","113","511","190","55","41","13","19","8","12",
"1400000US06037106604","Census Tract 1066.04; Los Angeles County; California","1258","92","0","13","38","39","70","58","113","62","274","133","225","99","201","85","314","139","14","18","9","15",
"1400000US06037106641","Census Tract 1066.41; Los Angeles County; California","782","78","0","13","0","13","19","25","14","22","13","15","142","52","513","100","53","36","16","20","12","18",
"1400000US06037106642","Census Tract 1066.42; Los Angeles County; California","1194","187","0","13","0","13","34","42","31","40","52","41","87","109","399","138","541","145","41","46","9","17",
"1400000US06037106643","Census Tract 1066.43; Los Angeles County; California","1468","241","0","13","0","13","174","68","275","124","347","81","267","196","239","117","53","41","14","22","99","53",
"1400000US06037106645","Census Tract 1066.45; Los Angeles County; California","1300","204","0","13","33","53","7","13","0","13","72","55","42","32","914","157","226","147","0","13","6","11",
"1400000US06037106646","Census Tract 1066.46; Los Angeles County; California","996","88","0","13","33","33","27","33","4","7","14","17","46","28","211","72","622","92","34","26","5","8",
"1400000US06037106648","Census Tract 1066.48; Los Angeles County; California","1198","97","0","13","209","83","46","40","37","33","218","107","147","80","212","79","249","116","65","81","15","23",
"1400000US06037106649","Census Tract 1066.49; Los Angeles County; California","681","51","0","13","0","13","32","24","245","57","55","29","0","13","30","27","311","73","8","9","0","13",
