,TRACT,TRACTFIPS,SOVI_SCORE,NRI_ID
3388,575002,6037575002,60.79999924,T06037575002
3389,575101,6037575101,91,T06037575101
3390,575102,6037575102,93.87000275,T06037575102
3391,575103,6037575103,88.62999725,T06037575103
3392,575201,6037575201,98.68000031,T06037575201
3393,575202,6037575202,96.13999939,T06037575202
3394,575300,6037575300,99.80000305,T06037575300
3395,575401,6037575401,99.58000183,T06037575401
3396,575402,6037575402,99.66000366,T06037575402
3397,575801,6037575801,96.63999939,T06037575801
3398,575802,6037575802,99.29000092,T06037575802
3399,575803,6037575803,99.40000153,T06037575803
3400,575901,6037575901,91.73000336,T06037575901
3401,575902,6037575902,79.07998657,T06037575902
3402,576001,6037576001,41.63000107,T06037576001
3403,576200,6037576200,91.98000336,T06037576200
3404,576301,6037576301,91.51999664,T06037576301
3405,576302,6037576302,97.97000122,T06037576302
3406,576401,6037576401,97.23000336,T06037576401
3407,576402,6037576402,99.48999786,T06037576402
3408,576403,6037576403,97.51999664,T06037576403
3409,576501,6037576501,98.04000092,T06037576501
3410,576502,6037576502,82.69999695,T06037576502
3411,576503,6037576503,73.91000366,T06037576503
3412,576601,6037576601,63.22000122,T06037576601
3413,576602,6037576602,52.04999924,T06037576602
3414,576700,6037576700,44.06999969,T06037576700
3415,576801,6037576801,66.91000366,T06037576801
3416,576802,6037576802,58.24000168,T06037576802
3417,576901,6037576901,91.62000275,T06037576901
3418,576903,6037576903,93.43000031,T06037576903
3419,576904,6037576904,77.37000275,T06037576904
3420,577000,6037577000,46.09000015,T06037577000
3421,577100,6037577100,33.34000015,T06037577100
3422,577200,6037577200,43.86000061,T06037577200
3423,577300,6037577300,14.18000031,T06037577300
3424,577400,6037577400,17.86000061,T06037577400
3425,577501,6037577501,27.78000069,T06037577501
3426,577504,6037577504,7.840000153,T06037577504
3427,577602,6037577602,30.54000092,T06037577602
3428,577604,6037577604,2.00999999,T06037577604
3429,577605,6037577605,15.39000034,T06037577605
3430,577606,6037577606,14.18000031,T06037577606
3431,577700,6037577700,65.40000153,T06037577700
3432,577800,6037577800,47.97000122,T06037577800
3433,577900,6037577900,80.70999908,T06037577900
3434,578000,6037578000,99.25,T06037578000
3435,578100,6037578100,50,T06037578100
3436,599000,6037599000,80.95999908,T06037599000
3437,599100,6037599100,16.86000061,T06037599100
3438,600100,6037600100,96.41000366,T06037600100
3439,600201,6037600201,95.06001282,T06037600201
3440,600202,6037600202,99.33000183,T06037600202
3441,600302,6037600302,73,T06037600302
3442,600303,6037600303,98.27999878,T06037600303
3443,600304,6037600304,93.80000305,T06037600304
3444,600400,6037600400,87.93000031,T06037600400
3445,600501,6037600501,63.27000046,T06037600501
3446,600601,6037600601,53.79999924,T06037600601
3447,600602,6037600602,92.48999786,T06037600602
3448,600702,6037600702,55.47999954,T06037600702
3449,600703,6037600703,28.20999908,T06037600703
3450,600704,6037600704,65.81999969,T06037600704
3451,600801,6037600801,55.65999985,T06037600801
3452,600802,6037600802,80.94999695,T06037600802
3453,600902,6037600902,99.83999634,T06037600902
3454,600911,6037600911,60.47999954,T06037600911
3455,600912,6037600912,77.33999634,T06037600912
3456,601001,6037601001,90.11000061,T06037601001
3457,601002,6037601002,97.02999878,T06037601002
3458,601100,6037601100,99,T06037601100
3459,601202,6037601202,77.98000336,T06037601202
3460,601211,6037601211,94.15000153,T06037601211
3461,601212,6037601212,85.56999969,T06037601212
3462,601301,6037601301,63.95999908,T06037601301
3463,601302,6037601302,87.66999817,T06037601302
3464,601303,6037601303,94.63999939,T06037601303
3465,601401,6037601401,97.84999847,T06037601401
3466,601402,6037601402,69.08000183,T06037601402
3467,601501,6037601501,85.30000305,T06037601501
3468,601502,6037601502,94.48000336,T06037601502
3469,601600,6037601600,71.98000336,T06037601600
3470,601700,6037601700,98.16000366,T06037601700
3471,601801,6037601801,76.63999939,T06037601801
3472,601802,6037601802,82.18000031,T06037601802
3473,601900,6037601900,95.19999695,T06037601900
3474,602002,6037602002,83.99001312,T06037602002
3475,602003,6037602003,93.31999969,T06037602003
3476,602103,6037602103,98.69999695,T06037602103
3477,602104,6037602104,86.45999908,T06037602104
3478,602105,6037602105,83.16000366,T06037602105
3479,602106,6037602106,71.62000275,T06037602106
3480,602201,6037602201,38.40999985,T06037602201
3481,602202,6037602202,77.83000183,T06037602202
3482,602301,6037602301,70.70999908,T06037602301
3483,602302,6037602302,20.46999931,T06037602302
3484,602402,6037602402,70.41000366,T06037602402
3485,602403,6037602403,84.98000336,T06037602403
3486,602404,6037602404,92.41999817,T06037602404
3487,602504,6037602504,93.06999969,T06037602504
3488,602505,6037602505,98.23000336,T06037602505
3489,602506,6037602506,93.48999786,T06037602506
3490,602507,6037602507,95.05000305,T06037602507
3491,602510,6037602510,96.86000061,T06037602510
3492,602511,6037602511,87.77999878,T06037602511
3493,602512,6037602512,55.43000031,T06037602512
3494,602513,6037602513,81.91999817,T06037602513
3495,602601,6037602601,68.37000275,T06037602601
3496,602602,6037602602,88.73999786,T06037602602
3497,602700,6037602700,47.25999832,T06037602700
3498,602801,6037602801,99.66999817,T06037602801
3499,602802,6037602802,62.27000046,T06037602802
3500,602900,6037602900,95.62999725,T06037602900
3501,603004,6037603004,79.20999908,T06037603004
3502,603005,6037603005,83.17001343,T06037603005
3503,603006,6037603006,50.50999832,T06037603006
3504,603007,6037603007,82.77999878,T06037603007
3505,603008,6037603008,95.95999908,T06037603008
3506,603101,6037603101,75.33000183,T06037603101
3507,603102,6037603102,80.66999817,T06037603102
3508,603200,6037603200,50.06999969,T06037603200
3509,603301,6037603301,84.01999664,T06037603301
3510,603302,6037603302,82.44999695,T06037603302
3511,603400,6037603400,61.15000153,T06037603400
3512,603500,6037603500,70.08000183,T06037603500
3513,603600,6037603600,59.91999817,T06037603600
3514,603702,6037603702,54.40000153,T06037603702
3515,603703,6037603703,36.61000061,T06037603703
3516,603705,6037603705,58.68000031,T06037603705
3517,603706,6037603706,95.5,T06037603706
3518,603801,6037603801,90.90000153,T06037603801
3519,603802,6037603802,86.30000305,T06037603802
3520,603901,6037603901,76.01000214,T06037603901
3521,603902,6037603902,89.33999634,T06037603902
3522,604001,6037604001,83.83999634,T06037604001
3523,604002,6037604002,79.38999939,T06037604002
3524,604101,6037604101,67.41000366,T06037604101
3525,604102,6037604102,43.52000046,T06037604102
3526,604200,6037604200,79.43000031,T06037604200
3527,609900,6037609900,84.19999695,T06037609900
3528,620001,6037620001,26.53000069,T06037620001
3529,620002,6037620002,37.56000137,T06037620002
3530,620101,6037620101,30.35000038,T06037620101
3531,620102,6037620102,20.53000069,T06037620102
3532,620201,6037620201,0.370000005,T06037620201
3533,620301,6037620301,14.10000038,T06037620301
3534,620303,6037620303,24.30999947,T06037620303
3535,620305,6037620305,5.599999905,T06037620305
3536,620400,6037620400,22.69000053,T06037620400
3537,620501,6037620501,19.61000061,T06037620501
3538,620521,6037620521,24.76000023,T06037620521
3539,620522,6037620522,15.14999962,T06037620522
3540,620601,6037620601,64.98000336,T06037620601
3541,620602,6037620602,12.14000034,T06037620602
3542,620701,6037620701,22.87000084,T06037620701
3543,620703,6037620703,1.809999943,T06037620703
3544,620704,6037620704,5.550000191,T06037620704
3545,620801,6037620801,32.72000122,T06037620801
3546,620802,6037620802,2.579999924,T06037620802
3547,620901,6037620901,3.579999924,T06037620901
3548,620904,6037620904,3.779999971,T06037620904
3549,621001,6037621001,23.53000069,T06037621001
3550,621005,6037621005,15.77999973,T06037621005
3551,621102,6037621102,4.769999981,T06037621102
3552,621104,6037621104,17.09000015,T06037621104
3553,621201,6037621201,30.03000069,T06037621201
3554,621204,6037621204,25.13999939,T06037621204
3555,621301,6037621301,50.70000076,T06037621301
3556,621324,6037621324,13.53999996,T06037621324
3557,621326,6037621326,11.80000019,T06037621326
3558,621400,6037621400,27.13999939,T06037621400
3559,650001,6037650001,68.29000092,T06037650001
3560,650003,6037650003,73.26999664,T06037650003
3561,650004,6037650004,49.18000031,T06037650004
3562,650101,6037650101,67.26999664,T06037650101
3563,650102,6037650102,34.45999908,T06037650102
3564,650200,6037650200,49.34999847,T06037650200
3565,650300,6037650300,69.33000183,T06037650300
3566,650401,6037650401,30.67000008,T06037650401
3567,650501,6037650501,25.95999908,T06037650501
3568,650502,6037650502,33.45999908,T06037650502
3569,650603,6037650603,64.54000092,T06037650603
3570,650604,6037650604,74.97000122,T06037650604
3571,650605,6037650605,47.66999817,T06037650605
3572,650606,6037650606,93.62999725,T06037650606
3573,650607,6037650607,42.22000122,T06037650607
3574,650701,6037650701,25.57999992,T06037650701
3575,650702,6037650702,29.44000053,T06037650702
3576,650801,6037650801,47.04000092,T06037650801
3577,650802,6037650802,46.18999863,T06037650802
3578,650901,6037650901,71.80000305,T06037650901
3579,650903,6037650903,58.56999969,T06037650903
3580,650904,6037650904,29.04000092,T06037650904
3581,651001,6037651001,79.84999847,T06037651001
3582,651002,6037651002,51.56000137,T06037651002
3583,651101,6037651101,62.47000122,T06037651101
3584,651102,6037651102,56.54999924,T06037651102
3585,651201,6037651201,21.30999947,T06037651201
3586,651221,6037651221,70.08999634,T06037651221
3587,651222,6037651222,66.19999695,T06037651222
3588,651302,6037651302,53.81000137,T06037651302
3589,651304,6037651304,19.95000076,T06037651304
3590,651401,6037651401,57.86999893,T06037651401
3591,651402,6037651402,63.43999863,T06037651402
3592,670001,6037670001,67.51999664,T06037670001
3593,670002,6037670002,76.19999695,T06037670002
3594,670003,6037670003,64.27999878,T06037670003
3595,670101,6037670101,74.30999756,T06037670101
3596,670102,6037670102,69.20999908,T06037670102
3597,670201,6037670201,23.37999916,T06037670201
3598,670202,6037670202,5.070000172,T06037670202
3599,670324,6037670324,16.12000084,T06037670324
3600,670326,6037670326,8.940000534,T06037670326
3601,670328,6037670328,15.34000015,T06037670328
3602,670405,6037670405,43.41999817,T06037670405
3603,670406,6037670406,13.14999962,T06037670406
3604,670407,6037670407,51.34999847,T06037670407
3605,670413,6037670413,34.75999832,T06037670413
3606,670416,6037670416,55.54000092,T06037670416
3607,670417,6037670417,23.31999969,T06037670417
3608,670418,6037670418,5.75,T06037670418
3609,670500,6037670500,13.43000031,T06037670500
3610,670603,6037670603,4.179999828,T06037670603
3611,670604,6037670604,13.53999996,T06037670604
3612,670701,6037670701,28.93000031,T06037670701
3613,670702,6037670702,9.359999657,T06037670702
3614,700101,6037700101,49.68999863,T06037700101
3615,700102,6037700102,80.62999725,T06037700102
3616,700200,6037700200,47.91999817,T06037700200
3617,700300,6037700300,40.52000046,T06037700300
3618,700400,6037700400,34.52000046,T06037700400
3619,700501,6037700501,38.70999908,T06037700501
3620,700502,6037700502,43.63999939,T06037700502
3621,700600,6037700600,21.45999908,T06037700600
3622,700700,6037700700,5.159999847,T06037700700
3623,700801,6037700801,65.73999786,T06037700801
3624,700802,6037700802,74.12000275,T06037700802
3625,700901,6037700901,33.72000122,T06037700901
3626,700902,6037700902,59.58000183,T06037700902
3627,701000,6037701000,36.09000015,T06037701000
3628,701201,6037701201,8.529999733,T06037701201
3629,701202,6037701202,9.670000076,T06037701202
3630,701302,6037701302,38.09000015,T06037701302
3631,701304,6037701304,32.52000046,T06037701304
3632,701402,6037701402,76.41999817,T06037701402
3633,701501,6037701501,49.77999878,T06037701501
3634,701502,6037701502,51.18999863,T06037701502
3635,701601,6037701601,23.72999954,T06037701601
3636,701602,6037701602,68.19999695,T06037701602
3637,701701,6037701701,57.25999832,T06037701701
3638,701702,6037701702,69.31999969,T06037701702
3639,701801,6037701801,94.40000153,T06037701801
3640,701802,6037701802,79.55000305,T06037701802
3641,701902,6037701902,75.80000305,T06037701902
3642,702002,6037702002,58.20000076,T06037702002
3643,702102,6037702102,52.22000122,T06037702102
3644,702201,6037702201,43.15000153,T06037702201
3645,702202,6037702202,22.62999916,T06037702202
3646,702300,6037702300,55.68000031,T06037702300
3647,702400,6037702400,43.95999908,T06037702400
3648,702501,6037702501,27.81999969,T06037702501
3649,702502,6037702502,51.95999908,T06037702502
3650,702600,6037702600,48.84000015,T06037702600
3651,702700,6037702700,39.58000183,T06037702700
3652,702801,6037702801,68.91000366,T06037702801
3653,702802,6037702802,52.38000107,T06037702802
3654,702803,6037702803,86.23999786,T06037702803
