OBJECTID,CT20,FIP23,CITY,CSA,CT20FIP23CSA,Shape__Area,Shape__Length
2946,106642,44000,Los Angeles,Granada Hills,10664244000Granada Hills,16979520.9238281,20368.8403185667
2947,106643,44000,Los Angeles,Granada Hills,10664344000Granada Hills,46711472.4160156,32863.948997842
2948,106645,44000,Los Angeles,Granada Hills,10664544000Granada Hills,27208036.9589844,30206.6780625888
2949,106646,44000,Los Angeles,Granada Hills,10664644000Granada Hills,15888369.4492188,23434.5608932597
2950,106648,44000,Los Angeles,Sylmar,10664844000Sylmar,8537177.57324219,13658.9619039462
2951,106649,44000,Los Angeles,Sylmar,10664944000Sylmar,11958236.6621094,20747.1385345839
2952,107010,44000,Los Angeles,Sylmar,10701044000Sylmar,7370509.70996094,12980.1313822392
2953,107020,44000,Los Angeles,Sylmar,10702044000Sylmar,10684958.0048828,14657.1430466137
2954,108101,44000,Los Angeles,Porter Ranch,10810144000Porter Ranch,12147429.8271484,14665.5346536853
2955,108102,44000,Los Angeles,Porter Ranch,10810244000Porter Ranch,23504317.9335938,18954.727827785
2956,108103,44000,Los Angeles,Porter Ranch,10810344000Porter Ranch,27594440.7480469,36679.3279176729
2957,108104,44000,Los Angeles,Porter Ranch,10810444000Porter Ranch,8898100.56835938,14767.7798808683
2958,108202,44000,Los Angeles,Porter Ranch,10820244000Porter Ranch,62166702.6044922,35934.6163229721
2959,108203,44000,Los Angeles,Porter Ranch,10820344000Porter Ranch,14814850.8242188,16838.3098837511
2960,108204,44000,Los Angeles,Porter Ranch,10820444000Porter Ranch,15419983.0732422,22338.1426783864
2961,109100,44000,Los Angeles,Mission Hills,10910044000Mission Hills,29112126.9570313,26332.5619425142
2962,109200,44000,Los Angeles,Granada Hills,10920044000Granada Hills,10960701.9160156,16021.4937732738
2963,109300,44000,Los Angeles,Granada Hills,10930044000Granada Hills,13271541.4951172,17489.8964158149
2964,109400,44000,Los Angeles,Mission Hills,10940044000Mission Hills,13893170.7763672,17558.7617668644
2965,109601,44000,Los Angeles,Mission Hills,10960144000Mission Hills,24194199.2597656,20078.9853451217
2966,109603,44000,Los Angeles,Mission Hills,10960344000Mission Hills,10751126.0058594,13424.3706743481
2967,109604,44000,Los Angeles,Mission Hills,10960444000Mission Hills,12644911.4443359,14355.8238376204
2968,109700,44000,Los Angeles,Granada Hills,10970044000Granada Hills,17079248.8476563,17939.7370848016
2969,109800,44000,Los Angeles,North Hills,10980044000North Hills,15061745.8955078,16580.1713879502
2970,111100,44000,Los Angeles,Granada Hills,11110044000Granada Hills,11401093.0449219,13565.3086857448
2971,111201,44000,Los Angeles,Granada Hills,11120144000Granada Hills,20587358.9804688,25205.2643526784
2972,111202,44000,Los Angeles,Granada Hills,11120244000Granada Hills,20091187.7939453,20760.0187410246
2973,111204,44000,Los Angeles,Porter Ranch,11120444000Porter Ranch,35638844.1455078,25925.7194472626
2974,111205,44000,Los Angeles,Northridge,11120544000Northridge,12475071.9873047,14721.4819161781
2975,111206,44000,Los Angeles,Porter Ranch,11120644000Porter Ranch,28228426.8076172,24117.8962404964
2976,111302,44000,Los Angeles,Northridge,11130244000Northridge,16712849.8066406,17844.3462
2977,111303,44000,Los Angeles,Granada Hills,11130344000Granada Hills,16832194.0068359,18129.7816051185
2978,111304,44000,Los Angeles,Granada Hills,11130444000Granada Hills,4708248.531,8773.62459546345
2979,111401,44000,Los Angeles,North Hills,11140144000North Hills,9049504.47949219,12357.1110795051
2980,111402,44000,Los Angeles,Granada Hills,11140244000Granada Hills,10452896.6933594,13227.8594525333
2981,113101,44000,Los Angeles,Chatsworth,11310144000Chatsworth,24410269.4560547,21418.7127574744
2982,113102,44000,Los Angeles,Chatsworth,11310244000Chatsworth,39509545.7304688,24889.4439234209
2983,113211,44000,Los Angeles,Chatsworth,11321144000Chatsworth,78918395.9560547,38035.5219120883
2984,113212,44000,Los Angeles,Chatsworth,11321244000Chatsworth,10747243.0644531,14205.0272418108
2985,113213,44000,Los Angeles,Chatsworth,11321344000Chatsworth,14001230.0546875,16854.9308388033
2986,113231,99037,Unincorporated,West Chatsworth,11323199037West Chatsworth,25040453.0683594,24564.1685258126
2987,113231,44000,Los Angeles,West Hills,11323144000West Hills,19531273.7089844,30741.4741777073
2988,113232,44000,Los Angeles,West Hills,11323244000West Hills,22234731.6884766,23603.7291003209
2989,113234,44000,Los Angeles,Canoga Park,11323444000Canoga Park,11009845.9326172,16791.454885694
2990,113235,99037,Unincorporated,Lake Manor,11323599037Lake Manor,15267921.5185547,28914.8470205024
2991,113237,44000,Los Angeles,Chatsworth,11323744000Chatsworth,51092068.0078125,36478.3721381932
2992,113238,44000,Los Angeles,Canoga Park,11323844000Canoga Park,7638549.08398438,10875.5954158668
2993,113239,44000,Los Angeles,Canoga Park,11323944000Canoga Park,4673649.9609375,9748.09156382847
2994,113301,44000,Los Angeles,Northridge,11330144000Northridge,24428270.7675781,22682.3450797432
2995,113303,44000,Los Angeles,Chatsworth,11330344000Chatsworth,43922199.1464844,31056.8673581184
2996,113322,44000,Los Angeles,Chatsworth,11332244000Chatsworth,19228375.3457031,20126.4359079974
2997,113323,44000,Los Angeles,Chatsworth,11332344000Chatsworth,7791404.08398438,11018.3776804465
2998,113324,44000,Los Angeles,Chatsworth,11332444000Chatsworth,3492170.48925781,7928.50992994545
2999,113423,44000,Los Angeles,Winnetka,11342344000Winnetka,7648931.84667969,11074.9964142852
3000,113424,44000,Los Angeles,Northridge,11342444000Northridge,12305461.4638672,14671.6541693556
3001,113424,44000,Los Angeles,Winnetka,11342444000Winnetka,6434574.72753906,10228.0667657296
3002,113425,44000,Los Angeles,Canoga Park,11342544000Canoga Park,3651830.51269531,7977.63440166727
3003,113426,44000,Los Angeles,Winnetka,11342644000Winnetka,20084074.2226563,21380.9240252693
3004,113427,44000,Los Angeles,Canoga Park,11342744000Canoga Park,1235112.80664063,4812.48884126706
3005,113427,44000,Los Angeles,Winnetka,11342744000Winnetka,1555037.4296875,7149.69248745375
3006,113428,44000,Los Angeles,Winnetka,11342844000Winnetka,13674399.8466797,15162.1913229088
3007,115101,44000,Los Angeles,Northridge,11510144000Northridge,41786193.1132813,26402.1082985248
3008,115103,44000,Los Angeles,Northridge,11510344000Northridge,16345380,22256.5715215771
3009,115104,44000,Los Angeles,Northridge,11510444000Northridge,10980251.0683594,20303.8029885324
3010,115202,44000,Los Angeles,Northridge,11520244000Northridge,18742297.0673828,18760.6256179504
3011,115203,44000,Los Angeles,Northridge,11520344000Northridge,6509085.22949219,13182.1395253106
3012,115204,44000,Los Angeles,Northridge,11520444000Northridge,8296246.24316406,12908.1107876561
3013,115301,44000,Los Angeles,Northridge,11530144000Northridge,17664148.7958984,21866.8520327345
3014,115302,44000,Los Angeles,Northridge,11530244000Northridge,9015590.21679688,12558.0506693004
3015,115401,44000,Los Angeles,Northridge,11540144000Northridge,20505371.1591797,20433.1768807626
3016,115403,44000,Los Angeles,Northridge,11540344000Northridge,7574462.17578125,11112.5814700466
3017,115404,44000,Los Angeles,Northridge,11540444000Northridge,10262342.984375,13016.1989309122
3018,117101,44000,Los Angeles,North Hills,11710144000North Hills,8389698.95507813,11705.3617322341
3019,117102,44000,Los Angeles,North Hills,11710244000North Hills,11180125.6845703,13728.5362419713
3020,117201,44000,Los Angeles,North Hills,11720144000North Hills,8520591.8359375,13684.3054643662
3021,117202,44000,Los Angeles,North Hills,11720244000North Hills,19522763.6835938,18091.2237639379
3022,117301,44000,Los Angeles,North Hills,11730144000North Hills,14335357.5791016,16182.4434292211
3023,117302,44000,Los Angeles,Northridge,11730244000Northridge,22083856.5927734,26192.6017057612
3024,117303,44000,Los Angeles,North Hills,11730344000North Hills,19379837.4423828,18107.3353554598
3025,117404,44000,Los Angeles,North Hills,11740444000North Hills,19003833.7578125,17700.6461454448
3026,117405,44000,Los Angeles,North Hills,11740544000North Hills,2172354.12304688,5943.24060922372
3027,117407,44000,Los Angeles,North Hills,11740744000North Hills,2134618.85742188,5893.74273842589
3028,117408,44000,Los Angeles,North Hills,11740844000North Hills,4052553.39550781,8247.10233918902
3029,117510,44000,Los Angeles,North Hills,11751044000North Hills,3606871.28710938,8182.45420869503
3030,117520,44000,Los Angeles,North Hills,11752044000North Hills,3505938.219,7769.73813503206
3031,117530,44000,Los Angeles,North Hills,11753044000North Hills,5993660.66308594,9951.55126326763
3032,119001,44000,Los Angeles,Arleta,11900144000Arleta,11480051.2695313,13913.1585511664
3033,119003,44000,Los Angeles,Arleta,11900344000Arleta,9137813.83984375,12860.0447165474
3034,119004,44000,Los Angeles,Arleta,11900444000Arleta,9096246.49609375,12883.8214539302
3035,119201,44000,Los Angeles,Arleta,11920144000Arleta,10248355.7265625,12948.164360218
3036,119202,44000,Los Angeles,Arleta,11920244000Arleta,10430024.5087891,16847.2139280782
3037,119310,44000,Los Angeles,Panorama City,11931044000Panorama City,4615440.63183594,10045.0807804798
3038,119320,44000,Los Angeles,Panorama City,11932044000Panorama City,5345222.16601563,9354.25218721459
3039,119340,44000,Los Angeles,Panorama City,11934044000Panorama City,1314702.0234375,4632.27868163975
